commGIS,ProvCap,Distance
200411,Svay Rieng,32.1788599
200407,Svay Rieng,30.75691555
140109,Prey Veng,15.81038888
140502,Svay Rieng,35.56153819
80127,Kandal,20.27436189
80109,Kandal,14.90480857
140701,Prey Veng,12.50466858
80108,Kandal,17.69995314
80122,Kandal,12.62885762
50712,Kampong Spueu,11.20807493
81012,Kandal,16.07624101
200402,Svay Rieng,30.79129403
50709,Kampong Spueu,12.33134745
50601,Kampong Spueu,45.45505799
140704,Prey Veng,14.21043859
80107,Kandal,10.54525509
141011,Prey Veng,18.17959841
200408,Svay Rieng,34.69876686
80113,Kandal,12.88321646
90301,Koh Kong,31.85969987
50710,Kampong Spueu,6.511461403
80105,Kandal,8.762199177
81009,Kandal,10.72908347
140504,Prey Veng,23.90898917
80102,Kandal,17.16773325
50305,Kandal,23.07920538
90803,Kampong Spueu,62.00720643
50308,Kampong Spueu,18.64553826
80110,Kandal,12.62936273
50608,Kampong Spueu,23.61853874
90302,Koh Kong,20.76861144
80103,Kandal,14.97102628
50606,Kampong Spueu,12.62358872
140708,Prey Veng,8.001374732
80119,Kandal,9.534434272
80612,Prey Veng,9.965003818
80211,Prey Veng,16.41984564
50702,Kampong Spueu,6.582511593
80604,Prey Veng,11.67865236
80126,Kandal,10.86168501
120512,Kandal,15.43006265
81011,Kandal,11.92339682
80118,Kampong Spueu,17.75160995
80117,Kampong Spueu,21.86866657
50205,Kampong Spueu,1.766330086
50611,Kampong Spueu,18.02826403
80204,Kandal,18.73316826
81013,Kandal,7.813376059
80114,Kandal,6.803857621
80106,Kandal,20.15526578
81002,Kandal,10.31456329
81105,Kandal,5.812194072
90301,Koh Kong,39.31228765
50706,Kampong Spueu,11.54436618
120514,Kandal,11.51651489
200406,Svay Rieng,38.69821997
50202,Kampong Spueu,4.06292779
141009,Prey Veng,13.41919974
81106,Kandal,4.196605448
200414,Prey Veng,39.9979194
80124,Kandal,7.831318082
140507,Prey Veng,27.5887719
81101,Kandal,3.31806714
50701,Kampong Spueu,6.240186558
120513,Kandal,15.84853852
81102,Kandal,2.324826596
141101,Prey Veng,5.484801992
80606,Prey Veng,13.69116735
200602,Svay Rieng,1.7788943
140903,Prey Veng,46.69522403
210609,Takeo,22.53054668
80410,Takeo,28.95995403
140911,Svay Rieng,40.30628726
80402,Takeo,35.56031552
140313,Svay Rieng,28.25063107
140308,Svay Rieng,36.65727512
90103,Krong Preah Sihanouk,46.99689828
140901,Prey Veng,45.31875524
90801,Krong Preah Sihanouk,57.96296732
200705,Svay Rieng,20.64955483
210709,Takeo,11.5407009
200704,Svay Rieng,27.41439476
50108,Takeo,24.02343065
210702,Takeo,12.82886784
200709,Svay Rieng,12.7746606
90607,Krong Preah Sihanouk,56.07787857
210608,Takeo,23.3144018
210605,Takeo,15.2794866
200506,Svay Rieng,4.689018481
200507,Svay Rieng,16.87121976
210906,Takeo,33.91245548
200505,Svay Rieng,10.07312868
140310,Svay Rieng,22.16175466
90601,Krong Preah Sihanouk,53.42232201
140301,Svay Rieng,29.58147615
70302,Kampot,44.74284754
210602,Takeo,25.18158704
50107,Takeo,18.33038145
200514,Svay Rieng,10.58386576
210701,Takeo,15.95787469
80504,Prey Veng,42.32940916
210703,Takeo,15.79130181
70404,Takeo,40.33729274
140904,Prey Veng,40.19185948
210603,Takeo,21.81880841
210708,Takeo,16.03600451
200708,Svay Rieng,7.429441107
200710,Svay Rieng,4.263825325
210606,Takeo,29.81170822
80411,Takeo,32.69553162
50106,Kampong Spueu,34.95649249
140909,Prey Veng,41.30931149
210610,Takeo,26.81604041
200512,Svay Rieng,9.114814319
70309,Kampot,40.68728684
210611,Takeo,19.03162686
200711,Svay Rieng,11.4361599
90602,Krong Preah Sihanouk,56.0608581
140309,Svay Rieng,29.17621845
50103,Takeo,23.45994577
200509,Svay Rieng,14.3016573
50101,Takeo,33.38805083
80403,Takeo,38.65286906
140307,Svay Rieng,35.86525392
200706,Svay Rieng,22.72751403
140610,Prey Veng,39.19107462
80404,Takeo,37.00983018
210710,Takeo,19.32679221
50109,Takeo,28.43070715
50111,Takeo,23.09227008
90202,Koh Kong,61.70804598
140906,Svay Rieng,39.67721228
80405,Takeo,35.24976342
210704,Takeo,19.06446272
200510,Svay Rieng,19.7942697
200303,Svay Rieng,10.39544929
50105,Takeo,27.87595721
210612,Takeo,28.34445878
210705,Takeo,21.34638748
140311,Svay Rieng,24.72643146
80505,Prey Veng,36.24254938
140907,Prey Veng,36.36669851
210607,Takeo,24.65227558
210613,Takeo,23.21050136
210707,Takeo,22.29838349
200307,Svay Rieng,15.16658088
200702,Svay Rieng,18.26432316
50104,Kampong Spueu,34.1453753
140607,Prey Veng,32.40556153
140910,Prey Veng,34.65515618
140601,Prey Veng,37.35296383
200517,Svay Rieng,13.39971682
140305,Svay Rieng,33.52786067
210213,Takeo,26.86168557
200309,Svay Rieng,11.09022459
50113,Kampong Spueu,29.41304768
210604,Takeo,29.14800893
50307,Takeo,27.31347225
200501,Svay Rieng,17.40877891
200308,Svay Rieng,13.60831534
210201,Takeo,26.47405206
80408,Kandal,35.03569486
80407,Prey Veng,42.48027165
200513,Svay Rieng,19.23390779
210206,Takeo,26.10685105
81007,Kandal,31.77391429
50102,Kampong Spueu,29.77224289
140106,Prey Veng,34.14769434
50309,Kampong Spueu,28.06127482
50115,Kampong Spueu,26.95904439
140905,Prey Veng,31.31189262
200306,Svay Rieng,16.6467296
210209,Kandal,28.66615455
50303,Kampong Spueu,28.43660334
140306,Svay Rieng,30.60323664
210214,Takeo,26.06573855
140703,Prey Veng,27.70057054
140707,Prey Veng,25.6710529
80506,Prey Veng,29.76175473
200301,Svay Rieng,18.57680559
200508,Svay Rieng,20.62641529
200516,Svay Rieng,23.76228755
140103,Prey Veng,30.61172155
50114,Kampong Spueu,26.55552719
81001,Kandal,29.74246204
210215,Kandal,29.33638082
200304,Svay Rieng,17.62327756
140102,Prey Veng,27.45914171
140107,Prey Veng,28.4290581
90102,Krong Preah Sihanouk,65.12857672
200302,Svay Rieng,20.71544147
210203,Kandal,27.1889898
200310,Svay Rieng,22.07080051
81003,Kandal,25.62907232
50310,Kampong Spueu,25.99832451
210205,Takeo,30.18064217
70303,Kampot,34.0514681
210505,Takeo,28.44877081
90103,Krong Preah Sihanouk,41.89943447
210506,Takeo,23.03060785
70105,Takeo,27.31900941
211005,Takeo,17.11691692
70109,Takeo,21.48649438
70314,Takeo,34.7119664
70308,Kampot,28.43412924
70110,Takeo,21.19788939
211006,Takeo,17.30622375
70310,Takeo,30.23285861
70307,Takeo,35.27472173
210303,Takeo,18.61581624
211002,Takeo,15.92130373
210301,Takeo,28.06714692
200211,Svay Rieng,26.56872703
70311,Takeo,30.32407447
211001,Takeo,13.49980998
70304,Kampot,39.55729386
90201,Krong Preah Sihanouk,54.0342946
200110,Svay Rieng,45.8474442
70103,Takeo,20.00532506
200103,Svay Rieng,40.20378294
70402,Kampot,39.68769789
90201,Krong Preah Sihanouk,57.01073097
90201,Krong Preah Sihanouk,56.36704665
210305,Takeo,20.1385555
211004,Takeo,12.80568138
200212,Svay Rieng,33.94828224
90201,Krong Preah Sihanouk,57.56097868
70401,Takeo,33.50761714
