"","X","commGIS","tot_pop","family","male_18_60","fem_18_60","pop_over61","tot_ind","numPrimLivFarm","land_confl","Pax_migt_in","Pax_migt_out","prop_ind","F6_24_sch","M6_24_sch","F15_45_ill","M15_45_ill","propPrimLivFarm","propPrimSec","propSecSec","propTerSec","propQuatSec","Les1_R_Land","pig_fam","garbage","crim_case","dist_sch","KM_Comm","KM_Heal_cent","Province","Commune","year","diffPix","ForPix","areaKM","pop_den","mean_elev","dist_border","habitat","dist_provCap","elc","PA_cat","PA"
"43",43,20701,17697,3286,4505,4444,755,0,2828,72,210,243,0,0.6510661688125,0.6809389614375,0.101454268875,0.0941809728125,0.894385768375,0.894385768375,0.0018719373125,0.0182736863125,0.0725927843125,0.0402719369375,0.0545479224375,0,0.00471689775,5.208333333,8.5,8.25,"Battambang","Sdau",2007,0,24,209.9690816,84.2838377209914,77.21879388,36.56389956,"CP",30.00345891,0,"none",0
"44",44,20702,4451,989,914,1047,339,0,974,27,98,25,0,0.707267379428571,0.711850422857143,0.255403663857143,0.198506825285714,0.983637957428571,0.986166402428571,0.002579365,0.0112542325714286,0.0866795684285714,0.187819927142857,0.09201425,0,0.015432947,3.5,2.5,5.5,"Battambang","Andaeuk Haeb",2007,0,86,134.2996458,33.1423063217044,114.6430473,43.05591809,"CP",39.35572403,0,"none",0
"45",45,20703,6127,1040,1261,1351,361,0,995,49,136,69,0,0.732346055714286,0.719891039428571,0.377363982714286,0.319946601,0.953829553571429,0.955961749714286,0.00129870128571429,0.00545454542857143,0.0570823671428571,0.0132906894285714,0.0870627567142857,0.00213219614285714,0.00288371128571429,11.83333333,2.5,2,"Battambang","Phlov Meas",2007,0,162,282.4030758,21.6959393329667,89.74146761,30.7695957,"MC",32.33653949,0,"MUA",1
"46",46,20704,11134,2316,2540,2657,717,0,2172,12,119,191,0,0.569300605571429,0.558076357714286,0.211239962428571,0.173647358142857,0.931982618142857,0.931982618142857,0.00208212842857143,0.0203893025714286,0.0554470294285714,0.364140058571429,0.0305668222857143,0,0.00134164585714286,5.333333333,7,3,"Battambang","Traeng",2007,0,166,343.7355254,32.3911821073586,108.3081067,35.20879046,"MC",25.44357407,0,"none",0
"47",47,20802,5405,1005,1453,1651,316,0,619,6,13,13,0,0.84382537,0.78981340275,0.0785755675,0.0884199975,0.69508114425,0.82958330875,0.001111111,0.0443337485,0.14229964775,0.32125237225,0.05090080125,0,0.0020112045,1.55,1,1,"Battambang","Norea",2007,0,2,7.24861101,745.660098540727,9.718002081,78.88213997,"CP",5.762565827,0,"none",0
"48",48,20803,12956,2822,3016,3113,909,0,2368,71,51,38,0,0.583142444,0.5800367444,0.0889270788,0.075436701,0.82687739,0.8416537556,0.0004716982,0.0082071126,0.0985366426,0.419064428,0.3604349156,0,0.0018529232,6.333333333,1,5,"Battambang","Ta Pon",2007,-9,152,191.2085781,67.7584663237449,7.479526736,95.88525362,"NF",23.07385406,0,"MUA",1
"49",49,20804,8702,1671,1820,2068,686,0,1419,10,0,25,0,0.803761524833333,0.841101193666667,0.0836877866666667,0.0803584835,0.821831963,0.880476805333333,0,0.0270549418333333,0.0787015431666667,0.338847470333333,0.153843311166667,0,0.000967019,5.0416666665,2.5,7,"Battambang","Roka",2007,0,44,152.3413666,57.1217141753014,7.731214205,96.62322465,"NF",23.50323676,0,"MUA",1
"50",50,20805,8714,1686,1945,2053,842,0,1577,21,37,24,0,0.740628464333333,0.742837210166667,0.0955028335,0.1439704515,0.945451942333333,0.984053927333333,0,0.00939162683333333,0.128751119166667,0.207485095,0.145832526166667,0,0.00501719466666667,3,2,2.25,"Battambang","Kampong Preah",2007,0,246,268.257822,32.483675350201,6.289158535,102.943632,"NF",31.80245672,0,"MUA",1
"51",51,20806,9422,1803,2275,2367,806,0,1539,5,19,7,0,0.751825023,0.758648801,0.0927843315,0.0822346091666667,0.8532048395,0.866605114833333,0,0.00579742266666667,0.0536960495,0.0779553845,0.564719699833333,0,0.000881824,1.5833333335,2.25,2,"Battambang","Kampong Preang",2007,-20,233,319.2466429,29.5132312572237,7.131250245,97.11220937,"NF",31.73464572,0,"MUA",1
"52",52,21206,10287,2243,2450,2337,472,0,2054,20,178,151,0,0.602473275666667,0.641080538444444,0.187586682222222,0.146361776111111,0.929425300666667,0.929425300666667,0.000567859222222222,0.0160700387777778,0.083733225,0.0113333816666667,0.112036077555556,0,0.00260627466666667,10.33333333,6,6,"Battambang","Ta Krai",2007,0,9,171.9855751,59.8131558069256,52.91094244,22.08851034,"CP",34.77287957,0,"WS",1
"53",53,21304,3858,713,953,911,193,0,682,47,143,20,0,0.792119820555556,0.794866883222222,0.185288723777778,0.188234220111111,0.951655100666667,0.964922099,0.00165837477777778,0.0165837478888889,0.0574560181111111,0.154871938666667,0.196435673111111,0,0.00225810177777778,3.5,6,5,"Battambang","Preah Phos",2007,0,224,199.189119,19.3685278561827,71.9679777,59.38318958,"CP",50.06963157,0,"none",0
