"","Province","year","areaKM","ForPix","diffPix","tot_pop","land_confl","Pax_migt_in","Pax_migt_out","prop_ind","pop_den","M6_24_sch","propPrimSec","propSecSec","Les1_R_Land","pig_fam","dist_sch","garbage","KM_Comm","crim_case","mean_elev","dist_border","dist_provCap"
"58","Koh Kong",2010,10968.79580475,104464,-124,104428,403,1099,1108,0.0034965035,268.235091617182,0.567998300145879,0.795033946621978,0.00137712744130037,0.160976151987821,0.218236998232509,17.4154166449808,0.0657721256163004,2.63461538461538,0.00672043679606227,142.429862765438,15.7891444453023,42.5969743474145
"59","Koh Kong",2011,8380.40911423,82414,-342,84911,159,1365,1011,0.0102755506785714,337.745686652929,0.546610588059297,0.764468253968254,0.0161389909297052,0.281621334054535,0.154380694305215,12.6492063302857,0.0596645202373016,4.10357142857143,0.00233569328446712,150.986070531614,17.2219598306601,43.3383399753704
"60","Koh Kong",2012,8380.40926,82072,-202,85786,123,1742,1620,0,346.926235919048,0.542720661904762,0.740303547619048,0.0188019619047619,0.289156362571429,0.150152775619048,12.326984252881,0.0640670395238095,4.09166666666667,0.00282264319047619,150.98607047619,17.2219599380952,43.3383394285714
"61","Kracheh",2007,11149.29139643,89075,-1876,280030,794,2841,1175,0.176485382441231,132.049916687892,0.649721823054171,0.85963160051595,0.0038342192664247,0.355087372637244,0.429006275561479,8.08063008147256,0.00222588257003484,4.44634146341463,0.00257904501859272,47.7161176060976,65.503104730439,31.1886569161219
"62","Kracheh",2008,11149.29139643,87199,-732,289674,766,2801,1051,0.1697449119259,133.801175161511,0.669971777896148,0.875519196975194,0.00481418412755517,0.344607259971361,0.400264533017093,8.0830691058628,0.000439236965156796,4.44634146341463,0.0029766222410182,47.7161176060976,65.503104730439,31.1886569161219
"63","Kracheh",2009,11149.29139643,86467,-884,296483,776,3730,1010,0.16937552015331,138.665886632434,0.666778855316947,0.909726501355323,0.00484454502364499,0.354080448606862,0.377992172150813,8.0450203253872,0.00252196212587108,4.46829268292683,0.0034539232755904,47.7161176060976,65.503104730439,31.1886569161219
"64","Kracheh",2010,11149.29139643,85583,-2456,289674,766,2801,1051,0.1697449119259,133.801175161511,0.669971777896148,0.875519196975194,0.00481418412755517,0.344607259971361,0.400264533017093,8.0830691058628,0.00219549975679442,4.44634146341463,0.0029766222410182,47.7161176060976,65.503104730439,31.1886569161219
"65","Kracheh",2011,10560.88480963,80240,-868,301544,516,3830,1716,0.147490226185732,139.076112260127,0.552213713463681,0.821426984126984,0.00685932043650794,0.425913517767312,0.200908960259524,9.28833332955625,0.00354624091321429,5.89375,0.00208352217189484,46.41602973625,66.9485973615,30.046605174025
"66","Kracheh",2012,10560.885088,79372,-1107,318123,616,4581,2250,0.13253291175,142.20344865,0.543563035,0.747773435,0.0121978214,0.406606247,0.2102956965,9.30291694583125,0.013207475515,5.796375,0.00196602620875,46.41603025,66.94859525,30.0466049225
"67","Mondul Kiri",2007,13668.92988271,146876,-156,53216,472,923,539,0.689283847700636,7.65105846555074,0.606343878829554,0.829499618118745,0.00277990776031746,0.123309439737793,0.502512120907937,24.5682539684048,0.0109243397420635,6.86666666666667,0.00268069515464853,325.036018509524,30.2867035938571,39.6038549023571
"68","Mondul Kiri",2008,13668.92988271,146720,-16,57106,298,2326,703,0.685043575805556,8.04766714938629,0.656391983243386,0.825309777045692,0.00267059077380952,0.127926068327173,0.47580405419607,24.5007936507857,0,6.75952380952381,0.00219706455128496,325.036018509524,30.2867035938571,39.6038549023571
"69","Mondul Kiri",2009,13668.92988271,146704,11,57679,302,1109,398,0.682296585073356,8.05702209576038,0.650065537993424,0.837729909264701,0.00334057956746032,0.143092944233144,0.485454304106009,24.424444443881,0.0127295995277778,6.65952380952381,0.00323136625079365,325.036018509524,30.2867035938571,39.6038549023571
"70","Mondul Kiri",2010,13668.92988271,146715,90,57106,298,2326,703,0.685043575805556,8.04766714938629,0.656391983243386,0.825309777045692,0.00267059077380952,0.127926068327173,0.47580405419607,24.5007936507857,0,6.75952380952381,0.00219706455128496,325.036018509524,30.2867035938571,39.6038549023571
"71","Mondul Kiri",2011,9080.19600261,96442,-41,50090,81,62,28,0.703395991284897,11.1242858224532,0.53102743069881,0.79668005952381,0.0242229166666667,0.204678320644196,0.328909743626339,16.9385416666562,0.03870833578125,6.534375,0.00181242051279762,376.93084571875,28.7167176538125,34.2488612074687
"72","Mondul Kiri",2012,9080.19558,96401,-553,52142,105,37,7,0.686907940625,11.16430425,0.5206453625,0.78065158125,0.015065401875,0.18922610625,0.36215135,14.00104185625,0.02575305,6.565625,0.0017314283125,376.93084375,28.7167170625,34.248860125
"73","Otdar Meanchey",2007,6157.12756959,28527,-594,161747,517,5412,1784,0.00437478610084499,50.3236501525099,0.628420363930104,0.896555263104907,0.0023488949611791,0.191011876147195,0.378554931748295,7.89467170023712,0.00859113228011391,4.71590909090909,0.00272278509773012,83.7847297886364,19.7007429024091,43.9143753690909
"74","Otdar Meanchey",2008,6157.12756959,27933,-226,172293,600,9677,2324,0.00459668710984849,55.7213016254876,0.628202773483962,0.915805194416425,0.004021532370174,0.188610434348754,0.334452181964903,7.47497473313712,0.000612600263602625,4.46590909090909,0.00345459938691951,83.7847297886364,19.7007429024091,43.9143753690909
"75","Otdar Meanchey",2009,6157.12756959,27707,-134,179584,407,4420,2362,0.00529376281541375,56.8319346909926,0.636740571127114,0.902912142657767,0.00302865663071972,0.161792625590791,0.331191942498306,7.47436867222803,0.00842868147896067,4.46590909090909,0.00256649318561831,83.7847297886364,19.7007429024091,43.9143753690909
"76","Otdar Meanchey",2010,6157.12756959,27573,-172,178174,600,9677,2324,0.00459668710984849,57.0912120218865,0.628202773483962,0.915805194416425,0.004021532370174,0.188610434348754,0.334452181964903,7.47497473313712,0.00268252860905104,4.46590909090909,0.00345459938691951,83.7847297886364,19.7007429024091,43.9143753690909
"77","Otdar Meanchey",2011,6018.80696,26689,-350,192433,286,1765,4725,0.00190997862857143,62.2378875238095,0.520160004761905,0.817109474761905,0.0157009251904762,0.18366773,0.246726482380952,6.47298954545317,0.0196959910047619,5.68095238095238,0.0017038605952381,84.0906895238095,19.733288952381,42.6806930952381
"78","Otdar Meanchey",2012,6018.80696,26339,-727,201506,287,2939,8475,0.00382437717619048,64.9762580952381,0.49805509047619,0.834408157142857,0.0173781635238095,0.230940358571429,0.23281564,6.66116400578413,0.00912648119047619,5.83809523809524,0.00112319287952381,84.0906895238095,19.733288952381,42.6806930952381
"79","Pailin",2007,1076.84283216,3351,-1,57764,350,1253,2073,0.0001013895,58.0001922397176,0.626484130522907,0.708767334748703,0.00382304175541333,0.0277961378996394,0.0518301078643809,4.952083333625,0.00813066107954545,2.275,0.0136608847089863,265.04250416875,10.469998070625,12.266623605375
"80","Pailin",2008,1076.84283216,3350,-5,59723,375,5151,2344,0,59.5237513121313,0.681834696303428,0.749140932278287,0.0035644610026536,0.0482580736143466,0.0361494236025043,4.1916666665625,1.3601e-05,1.91875,0.0098944000179456,265.04250416875,10.469998070625,12.266623605375
"81","Pailin",2009,1076.84283216,3345,-14,61058,273,1596,1082,0,60.8967574215372,0.658328505370648,0.781396751063143,0.00611767703193161,0.0433048253735795,0.0425614005007857,3.84791666675,0.000578199065559441,1.9125,0.0164301891011827,265.04250416875,10.469998070625,12.266623605375
"82","Pailin",2010,1076.84283216,3331,-3,59723,375,5151,2344,0,59.5237513121313,0.681834696303428,0.749140932278287,0.0035644610026536,0.0482580736143466,0.0361494236025043,4.1916666665625,5.65355e-05,1.91875,0.0098944000179456,265.04250416875,10.469998070625,12.266623605375
"83","Pailin",2011,740.54886,1961,-2,53004,86,548,888,0.0002320455,76.669565,0.56513125,0.577026516666667,0.0148498263333333,0.20753819,0.0358932366666667,3.65833283333333,0.00493018183333333,2.09166666666667,0.0054075475,241.86091,10.981625,13.0512893333333
"84","Pailin",2012,740.54886,1959,0,54542,70,848,1806,0.000680632333333333,79.3692116666667,0.61074555,0.620565,0.0146601301666667,0.51778409,0.0375414883333333,3.575,0.0389146716666667,2.19166666666667,0.00279995283333333,241.86091,10.981625,13.0512893333333
"85","Phnom Penh",2007,354.8261521,54,0,951050,427,18939,19624,5.11142876712329e-06,18865.4044938062,0.845125783459058,0.158061682683325,0.0108828339434647,0.122070841409821,0.0176206856015043,1.01529680362329,0.683065980273477,0.776506849315069,0.00144589878558277,9.01953715238356,68.7683450471233,4.74963783093151
"86","Phnom Penh",2008,354.8261521,54,0,970635,440,21253,16355,0,18734.5009985678,0.803660442530464,0.144662122908044,0.0115303414322078,0.112631826854816,0.0104746785768869,1.01812785382877,0.13437110266454,0.745547945205479,0.00141848582332625,9.01953715238356,68.7683450471233,4.74963783093151
"87","Phnom Penh",2009,354.8261521,54,0,991197,380,22940,16699,0,18889.6602721712,0.842020133184655,0.142655240479538,0.0117656777823629,0.114643941802926,0.0081882710907651,1.02109589034932,0.714162860223212,0.754931506849315,0.00114279069447808,9.01953715238356,68.7683450471233,4.74963783093151
"88","Phnom Penh",2010,354.8261521,54,0,985868,440,21253,16355,0,18783.3178406665,0.803660442530464,0.144662121666035,0.0115303414322078,0.112631826854816,0.0104746773348778,1.01812785382877,0.711198324187637,0.745547945205479,0.00141848582332625,9.01953715238356,68.7683450471233,4.74963783093151
"89","Phnom Penh",2011,266.66500451,54,0,613704,199,5450,993,0,10851.8217824965,0.77823394521253,0.167573531482068,0.0282440196854795,0.240072878537212,0.00731144345074584,1.31239837395122,0.666121581531462,1.04798780487805,0.00106581487872468,8.94702733797561,68.2414895663415,5.80968646819512
"90","Phnom Penh",2012,266.66498374,54,0,634839,187,6855,1985,0,11128.6055829268,0.710232285365854,0.1491700953,0.0297582018756098,0.263487401463415,0.0111388323658537,1.31361784634146,0.658633809268293,1.05512195121951,0.00096679163,8.94702729268293,68.2414887804878,5.80968638292683
"91","Preah Sihanouk",2007,1406.41825799,6230,-57,100494,270,878,1135,0.00132418442222222,140.821798480476,0.635345792490123,0.774833699080556,0.00485333957037038,0.38995796477284,0.389966615375,4.71638888891667,0.00692472758148148,1.87638888888889,0.00466573144197531,65.7695110305278,5.56951079669603,27.9041209682469
"92","Preah Sihanouk",2008,1492.10348214,6218,21,167066,418,3345,1994,0.00105519480909091,414.372178746147,0.735098337741414,0.648947823121212,0.00573674971717172,0.286949805513384,0.298745986477273,4.10000000002273,0.0159879540939394,1.75227272727273,0.00451508290631313,65.0818618232348,4.94829865232706,23.8438861319066
"93","Preah Sihanouk",2009,1492.10348214,6239,-22,172980,340,2358,2608,0.00115381036363636,428.029313288601,0.752994999543182,0.617848901030808,0.0104049030189394,0.282225326651768,0.256534267962121,4.10000000002273,0.0793210824037879,1.75227272727273,0.00461165393636364,65.0818618232348,4.94829865232706,23.8438861319066
"94","Preah Sihanouk",2010,1492.10348214,6217,-189,174355,418,3345,1994,0.00105519480909091,434.107465151358,0.735098337741414,0.648947823121212,0.00573674971717172,0.286949805513384,0.298745986477273,4.10000000002273,0.0794496737409091,1.75227272727273,0.00451508290631313,65.0818618232348,4.94829865232706,23.8438861319066
"95","Preah Sihanouk",2011,1354.422023,5751,0,104416,125,2639,1161,0.000688185882352941,155.181514117647,0.648778223529412,0.579199352941176,0.0139299013529412,0.256458373764706,0.174039800588235,3.61470588235294,0.00513389176470588,1.50588235294118,0.00178588192352941,65.8319748823529,5.43843008823529,27.7358294117647
