CommCode,easting,northing
60605,514896,1441837
20304,303105,1450885
20802,310219,1449818
60809,443396,1437970
20309,301649,1448912
240202,244515,1443598
130605,468450,1478067
171108,409630,1480679
170710,357454,1480047
190206,581261,1468590
171005,379943,1484237
171003,374779,1484868
190202,605691,1483227
130508,537408,1480820
21000,232561,1484620
130505,514272,1485831
10210,306395,1484908
10211,265576,1483477
171101,404080,1478898
130511,495078,1478616
130506,522508,1485934
190503,587394,1482368
170406,423973,1471597
170709,341080,1479012
20404,262945,1477113
190207,609398,1477076
20207,292875,1479749
110203,677375,1453751
171110,412113,1471118
130507,523682,1475342
170903,394931,1481885
170705,366189,1482324
130501,509499,1479820
60602,542796,1470738
10207,288481,1482917
170714,371028,1483105
170713,358365,1477450
170901,386375,1480903
20506,326074,1471377
20206,298214,1476715
170706,367816,1476326
171001,379519,1478015
171002,372630,1471786
170902,390973,1476568
20403,276962,1474384
170905,396197,1475704
170409,439209,1468537
100406,644748,1449324
130503,517389,1478010
190205,618350,1478417
170704,361115,1472953
130502,514259,1479419
171010,367703,1470950
21100,232000,1469403
171006,379813,1468712
130512,500619,1458707
20201,303673,1467637
20507,347833,1461457
190201,602955,1470576
130504,516575,1467445
170908,389853,1471690
170410,416546,1464990
20405,257921,1469226
110202,761676,1463381
20202,301549,1472415
100405,625368,1454213
171008,369723,1470391
170906,384472,1470501
20210,282316,1466198
171004,377497,1475585
20604,348244,1404153
150107,377854,1401029
20703,271761,1409065
21303,317599,1415286
21305,301066,1413593
20602,332672,1405637
20601,325695,1412909
150206,401826,1417397
20702,282790,1415512
60208,478868,1417262
60209,487007,1413767
240102,249693,1415955
60201,497013,1418405
60207,467189,1412238
60505,508935,1413577
150101,373017,1406867
60701,564779,1398371
150206,401976,1416020
60204,498204,1410628
150206,401972,1415909
60705,539609,1395339
150206,400889,1415272
100408,616980,1406890
100407,610870,1410463
150206,401301,1416766
150206,401755,1416973
150206,401578,1416383
150206,392353,1416555
150206,389227,1406650
21302,311715,1411400
150206,401475,1415692
150206,401020,1416042
110101,670780,1390650
21306,297784,1394473
150208,405649,1409794
150102,361291,1399793
100410,593889,1405362
60709,515033,1401025
20900,266072,1391541
60206,447739,1395854
100212,625135,1403604
20603,340631,1406434
150208,398253,1403782
150208,405170,1413245
20609,323945,1405317
21304,313407,1398918
150108,352822,1403162
100202,631133,1399169
150208,405633,1406889
150208,405863,1407370
100302,593646,1393894
150208,407519,1406101
150208,406989,1406098
60311,498291,1403069
60306,488522,1404865
100215,641772,1389316
150208,406549,1407931
60203,468015,1398701
60308,487312,1406709
60309,489862,1406907
150208,405822,1407908
150208,407018,1408093
60305,482621,1405183
60307,493502,1404347
20308,302453,1443594
60601,531635,1440783
20808,308560,1440618
20809,311140,1441809
21201,233284,1440552
170401,416609,1431135
20810,305688,1437945
20806,334490,1437339
20801,313498,1445711
20310,304953,1447809
60406,467216,1445037
20301,303786,1447880
20307,297178,1445523
20605,350576,1428683
110206,747120,1434150
20302,306622,1446768
60503,508157,1428618
60609,541757,1423886
60804,450378,1433780
100409,662757,1421764
60801,460529,1430854
150105,359462,1418031
60603,530663,1434415
20103,303337,1433271
20106,292631,1440141
60401,466412,1438218
110204,707838,1431265
240204,249224,1435171
20104,298703,1437105
60608,563388,1426561
240201,234952,1434334
20107,283340,1433888
60806,440087,1424169
20704,266885,1423234
60502,525773,1426059
20102,297721,1429483
240203,241206,1428202
60811,465374,1429893
60805,452263,1429338
60205,481013,1427793
20606,337046,1426796
20807,312340,1432190
60810,468508,1432426
60501,515614,1428158
20608,324953,1425966
60202,470775,1426860
