"","CommCode","Province","Commune.x","tot_pop","family","male_18_60","fem_18_60","pop_over61","numPrimLivFarm","Fish_man","ntfp_fam","land_confl","Pax_migt_in","Pax_migt_out","F6_24_sch","M6_24_sch","F18_60_ill","M18_60_ill","propPrimLivFarm","fam_prod","Cloth_craft","Trader","serv_prov","Les1_R_Land","No_R_Land","Les1_F_Land","No_F_Land","cow_fam","pig_fam","garbage","KM_Market","KM_Comm","wat_safe","wat_pipe","crim_case","KM_Heal_cent","inf_mort","U5_mort","Prop_Indigenous","dist_sch","Commune.y","perc_change_dir","perc_change"
"32","70309","Kampot","Trapeang Plang",9560,1994,4632,4304,268,1983,0,0,44,883,54,0.437591078,0.4818834945,0.310911475166667,0.325764078333333,0.994472784166667,0,0,0.0028612815,0.000593119833333333,0.3280384765,0.105693738333333,0.00125211466666667,0,0.819769489,0.438070144,0,39.5,4.41666666666667,0.165670489833333,0.0877590391666667,0.00121588466666667,8.33333333333333,0.000796526333333333,0.000199761833333333,0,2.25,"Trapeang Plang",-1.418988648,1.418988648
"33","80613","Kandal","Sarikakaev",8063,1531,3983,3913,580,725,623,0,38,5,12,0.537001518666667,0.551588767666667,0.116735538666667,0.0606791993333333,0.476892798333333,0,0,0.0638128006666667,0.037909611,0.172141645,0.105578950333333,0.0394144143333333,0.009009009,0.145941604333333,0.185252039333333,0,12,1,0.012160229,0.291833410666667,0.00170449733333333,1.76,0,0,0,1,"Sarikakaev",-29.41176471,29.41176471
"34","90201","Koh Kong","Kaoh Sdach",5284,972,2404,2273,158,244,515,0,3,19,55,0.518954858666667,0.393182486,0.341897022333333,0.298202445,0.470434055,0.000511247333333333,0,0.00971370133333333,0.0217764386666667,0.0399475786666667,0.0215053763333333,0.017921147,0.044352865,0.128353307333333,0.085959316,0,10,10,0.712665423333333,0.477779976666667,0.000193517333333333,12.8333333333333,0,0.000310077666666667,0,3,"Kaoh Sdach",-2.301410542,2.301410542
"35","90203","Koh Kong","Preaek Khsach",1725,367,699,690,77,233,108,13,0,0,0,0.470816075333333,0.618310226666667,0.542083292333333,0.495709123666667,0.698202486666667,0,0,0.026056338,0.0125,0.075117371,0.0704225353333333,0,0.00771604933333333,0.326641019,0.124856547,0,28,7.33333333333333,0,0.0308641976666667,0,31.3333333333333,0.000963391,0,0,0,"Preaek Khsach",-2.667167543,2.667167543
"36","90301","Koh Kong","Chrouy Pras",1576,364,741,662,33,134,201,0,5,8,6,0.713778652,0.720311346,0.258370444,0.0581093945,0.3776401675,0,0,0.04,0.00209205,0,0,0,0,0.074209205,0.1153138075,0,44,2,0.208,0.5514811715,0,42,0.000840336,0,0,1,"Chrouy Pras",-0.589390963,0.589390963
"37","90501","Koh Kong","Bak Khlang",11567,2156,5618,5371,290,221,499,0,3,46,201,0.548547096,0.585760605142857,0.0684563607142857,0.053558009,0.104317182142857,0,0,0.0662568582857143,0.0452990168571429,0,0,0.00336700342857143,0.0319414381428571,0.0221523725714286,0.0230951298571429,0,4.11571428571429,3.57142857142857,0.592433675,0.495136897857143,7.47551428571428e-05,3.28571428571429,0,0,0,1.5,"Bak Khlang",-0.157955198,0.157955198
"38","90704","Koh Kong","Ruessei Chrum",864,210,387,378,27,178,0,15,1,0,30,0.5162039795,0.5474070605,0.300997783,0.4047930285,0.853174603,0,0,0.037698413,0.031746032,0.0773809525,0.119047619,0.156746032,0.017857143,0.119047619,0.03968254,0,73.5,2,0.4146825395,0.2222222225,0.0009823185,38,0,0,0,72,"Ruessei Chrum",-0.152369343,0.152369343
"39","100102","Kracheh","Damrei Phong",5626,1270,2275,2211,242,1186,4,0,12,155,3,0.414630068875,0.389073825875,0.271038885125,0.27392912125,0.95121349,0.0007763975,0,0.0104423265,0.000625,0.567457172,0.14550021625,0.09240626675,0.004619023875,0.788220825875,0.368615924,0,14.625,7.3625,0.629521736375,0.215690003125,0.001199957125,7.4125,0.000498509,0.000314334125,0,4.25,"Damrei Phong",-14.85875706,14.85875706
"40","100104","Kracheh","Kampong Damrei",2323,498,949,921,105,446,0,5,0,36,0,0.568598665333333,0.629412859333333,0.762235071,0.752838025333333,0.897385932333333,0,0,0.032967265,0,0.0741404893333333,0.107645671333333,0.133326929,0.0399201596666667,0.624306200333333,0.306525615,0,43.6666666666667,9.03333333333333,0.427516105666667,0.699156203333333,0,21.6666666666667,0,0.000386697666666667,0,28,"Kampong Damrei",-7.382550336,7.382550336
"41","100108","Kracheh","Preaek Saman",8713,1924,3647,3606,398,1491,102,0,26,41,52,0.7126266974,0.6882330324,0.2899078228,0.2564499618,0.8010962992,0.0010141988,0,0.0132957454,0.0061057648,0.502300123,0.1291909354,0.0340255976,0.0863584282,0.7165910158,0.0974983482,0.0014134276,4.8,2.6,0.5217068366,0.2704011682,0.0003007518,3.6,0,0.0008915752,0,3,"Preaek Saman",-11.65048544,11.65048544
"42","100301","Kracheh","Chambak",7961,1758,3878,3919,696,1455,33,5,0,3,0,0.720008474,0.7082098145,0.127445392,0.0792033495,0.844649108333333,0.0058269725,0,0.0269584671666667,0.005510741,0.461930471833333,0.049888596,0.0926087485,0.0418437563333333,0.689825256833333,0.477478905833333,0,20.3333333333333,3.36666666666667,0.472054137,0.463162091166667,0,3.41666666666667,0.000173792166666667,0.000173792166666667,0,1.675,"Chambak",-9.058614565,9.058614565
"43","100302","Kracheh","Chrouy Banteay",10340,2165,3941,4021,682,1966,48,52,30,172,34,0.653218994857143,0.755472123,0.197408832142857,0.272888190285714,0.914059263428571,0.0158813252857143,0.000432900428571429,0.0109864511428571,0.00229664771428571,0.166744085857143,0.141302628285714,0.0264741867142857,0.0215950084285714,0.738299434714286,0.223115079714286,0.057942058,12,3.57142857142857,0.393229536285714,0.260113887714286,0.00155944314285714,3.35714285714286,0,0.000387672,0,5,"Chrouy Banteay",-0.414078675,0.414078675
"44","100305","Kracheh","Preaek Prasab",14164,2971,6799,6745,1236,2335,57,0,17,34,104,0.6761923592,0.6589318922,0.0488368697,0.041880913,0.767578222,0.0042279119,0,0.0240237966,0.0055325167,0.2881789853,0.0753399053,0.0469400411,0.0276946644,0.5959479036,0.1712376685,0,11.25,4.79,0.4130598927,0.2752342539,0.0003038706,4.38,0,0,0,3.75,"Preaek Prasab",-8.93970894,8.93970894
"45","100306","Kracheh","Ruessei Kaev",6988,1416,3315,3296,761,1167,125,0,11,28,33,0.8523379925,0.7750455565,0.041976913,0.045520482,0.806527816,0.001908397,0,0.01294287725,0.00426133825,0.17094667,0.0892604305,0.42659657325,0.104694105,0.52299562525,0.60569678025,0,53,2.02,0.5265613715,0.0832914235,0,5.125,0.000118036,0.000421941,0,3.5,"Ruessei Kaev",-8.620689655,8.620689655
"46","100307","Kracheh","Saob",9711,1994,4343,4320,851,1884,18,2,11,55,19,0.715349215142857,0.623249774142857,0.160260562285714,0.121366973142857,0.953698964142857,0.00134348414285714,0,0.0106052254285714,0.00421761457142857,0.295631008285714,0.0660160795714286,0.0313877875714286,0.0108780467142857,0.772685152428571,0.286702657714286,0,2.95714285714286,2.15,0.642278216,0.069225681,0.000107816714285714,2.47857142857143,0,0.000215633428571429,0,2,"Saob",-18.92976589,18.92976589
"47","100308","Kracheh","Ta Mau",7526,1584,3456,3390,458,1477,62,0,22,59,21,0.638208041,0.646615049714286,0.171725881857143,0.131474113,0.942318514857143,0.000571428571428571,0,0.0142966985714286,0.00225210085714286,0.491798589285714,0.0637677827142857,0.105639258714286,0.0180016782857143,0.819903042857143,0.587257604285714,0,12.1428571428571,5.08571428571429,0.399726269857143,0.973408108428571,8.82378571428571e-05,5.15714285714286,0,0.000306416285714286,0,3.5,"Ta Mau",-13.10160428,13.10160428
"48","100401","Kracheh","Boeng Char",2860,569,1105,1038,120,487,27,12,21,66,33,0.601494477,0.512583871,0.678630454333333,0.394227164,0.866737611333333,0,0,0,0,0.494039807666667,0.091061534,0,0,0.571457814666667,0.537445038666667,0,10.3333333333333,2.16666666666667,0,0,0.00119731366666667,19.3333333333333,0,0.00143105366666667,0.956032342829678,9,"Boeng Char",-0.017352074,0.017352074
"49","100405","Kracheh","Ou Krieng",5416,1242,2368,2259,205,1182,0,0,19,137,7,0.3953441425,0.349759818666667,0.343853745333333,0.397775903166667,0.926442354833333,0,0,0.0127175368333333,0.00121951216666667,0.231597356,0.114209041166667,0.00133868816666667,0,0.565716562333333,0.499923278833333,0,56.6666666666667,4.43,0.565176813333333,0,0,20.1666666666667,0,0.000803021333333333,0.6941924633305,5.11,"Ou Krieng",-3.600705614,3.600705614
"50","100406","Kracheh","Roluos Mean Chey",4377,869,1710,1639,228,809,0,0,2,27,0,0.69115252225,0.78550629125,0.34636956175,0.40485877175,0.74878934625,0,0,0,0,0.2174132365,0.03009514025,0,0,0.83405172425,0.7112068965,0,80,7.3325,0.50391792625,0.149213075,0.00080094925,24.5,0.0013062425,0.00052742625,0.864836745500504,15.5,"Roluos Mean Chey",-3.597831444,3.597831444
"51","100501","Kracheh","Khsuem",7930,1597,2904,2793,328,1385,2,61,29,223,23,0.609995273,0.617813641125,0.37013398575,0.31835020725,0.894380171375,0.000672043,0,0.03475232,0.001209677375,0.133675703625,0.0814250005,0.022659074,0.006914812625,0.8111382725,0.512780159875,0,19.5,9.425,0.667749277125,0.385250793875,0.000301204875,10,0,0.000328299375,0.221856776054232,11,"Khsuem",-6.093017666,6.093017666
"52","100502","Kracheh","Pir Thnu",7000,1418,2861,2764,364,1243,0,0,97,154,79,0.678326522714286,0.702032249714286,0.397426974428571,0.274033088428571,0.899575849428571,0,0,0.00695359185714286,0.00145278457142857,0.0931112757142857,0.172620720285714,0.0320644105714286,0.0919479054285714,0.545855318142857,0.209428026,0,8.42857142857143,4.92857142857143,0.495467011142857,0.453616744142857,0.00249494028571429,10.7142857142857,0.000392625714285714,0.000291034571428571,0.623713150373725,4,"Pir Thnu",-8.523447402,8.523447402
"53","100505","Kracheh","Svay Chreah",8519,1677,3267,3133,642,1569,0,4,54,157,72,0.649230658875,0.66361844775,0.313223619,0.309182114875,0.92565922775,0.008138865125,0,0.018511767125,0.007783172875,0.17577970925,0.083411222875,0.02710253675,0.050051515625,0.8672195495,0.45249905875,0,47.125,3.9,0.28364074075,0.06486703225,0.00035213,3.425,0,0.00039899525,0.00247603833865815,5,"Svay Chreah",-1.912803722,1.912803722
