CODEKHUM,mean_elev,med_elev
150103,12.1144054,12
170705,14.21281343,15
40104,10.80196685,11
40104,7.333333333,7
81001,4.806715745,5
80503,4.826483145,5
31504,27.03385754,22
100106,14.63848369,15
40304,6.55969115,6
50504,24.40588164,23
100501,91.513577,88
50703,50.83546337,50
170302,139.8821678,80
210705,14.62174025,15
211004,6.236140327,5
170404,77.76759125,60
31304,19.5595359,19
130103,60.7583083,60
30603,14.70134663,15
171105,11.03870374,9
120704,7.157567688,7
210405,83.08282648,40
50604,96.85369971,78
60603,45.07803753,49
171202,19.04592966,19
21302,25.54784104,25
160907,206.2227116,198
31016,125.0279354,129
200409,8.269152404,9
80206,4.845834663,5
200702,5.506419345,5
80207,4.604337885,5
60110,48.78821326,46
30604,5.013356562,5
210205,20.88067815,20
31104,24.53092521,21
80110,8.914910226,9
31612,32.45931012,29
31305,28.41689853,28
140306,4.931970687,5
100205,40.26529049,40
10502,20.64564187,19
10204,5.822992619,6
40605,9.328336408,8
171003,20.22433285,19
170103,66.51299646,53
10705,36.29603437,33
20208,10.88129311,11
220203,69.4321905,61
140404,14.98959051,15
140405,16.38417703,16
220204,69.40174499,56
210305,4.590363418,5
210406,22.06122513,6
200509,5,5
120503,9.507806521,9
10702,43.88274307,40
30302,20.2752809,16
30403,39.61313963,39
210103,4.995771267,5
170405,10.96632901,11
170406,45.48805425,48
80109,6.194298575,5
170104,24.94121082,25
60502,35.40475258,37
70708,49.09253904,29
10205,8.245245982,8
200603,4.007508343,4
140204,10.50409357,10
170706,8.689695453,9
100209,18.78321256,19
31206,59.33322956,55
100208,21.09954593,20
30609,41.36445522,41
170603,8.782225691,9
50704,157.2651646,99
70802,6.725806452,7
50505,40.09937691,39
50605,156.1606358,79
210206,18.83579088,19
40606,24.62055303,23
40703,70.17706981,60
80807,13.15000963,12
120512,10.28571429,10
70306,18.48177251,19
40806,82.24754314,64
70307,33.70261438,34
140906,5.018649194,5
140606,5,5
110401,295.549924,301
210207,18.80659542,9
120511,10.77457306,11
81005,4.665517411,5
140203,7.416355489,6
200510,5,5
210501,5,5
200410,7.061970505,7
60111,27.28499587,21
60402,42.92093915,39
60705,45.0218566,48
220403,76.53792731,62
31306,23.3999052,20
30905,11.1386384,11
170604,21.75146437,22
200511,4.653601052,5
200203,3.270365998,3
130402,63.17288461,61
130401,64.90870885,64
10706,41.72031336,39
210903,38.92973361,25
10503,18.79051107,19
160503,135.0760714,123
160504,171.1258372,157
160202,299.3035561,301
160607,253.5439025,262
160303,290.1606928,293
70510,57.62805014,41
70308,51.1170526,39
150402,26.53292256,23
170202,30.72786793,31
210904,7.996235686,8
80407,4.685534024,5
31613,33.53581151,28
150503,18.18688256,18
40505,9.103086514,9
160702,227.8589287,224
210706,5.561527057,5
80808,18.42914201,19
210208,26.22882441,25
220106,58.01086567,56
160304,244.3859926,241
141203,8.189173625,8
30803,4.567432083,5
140907,5,5
170707,8.031238593,7
20403,16.76079865,17
31307,11.21845238,10
171402,66.84770228,62
30204,47.25131025,46
80606,4.631591857,5
170407,7.426201841,6
160102,204.685427,208
10902,107.3881323,100
160101,169.2001863,147
141005,4.7409567,5
110102,126.4227901,118
30105,5.695660025,5
200105,4.317536419,4
31505,73.64799259,75
150104,7.47919477,7
70709,182.1585335,148
31405,9.718914186,9
50506,41.14875316,40
70310,23.18443174,21
60605,45.44549868,44
170907,8.479454087,9
70505,33.04871634,30
60604,79.88143983,81
40106,9.387064487,8
31007,52.89035309,55
31008,93.63219327,82
140805,8.871370641,9
200306,5.108809831,5
31105,10.12195766,11
31308,17.27124019,19
120306,11.85,12
80809,19.89233376,19
10604,16.27532152,16
130205,87.221328,85
130206,61.2866482,61
30805,4.58861428,5
30804,4.740337962,5
50303,32.16394449,30
50606,57.25123611,45
50802,40.53047229,40
120305,11,11
200704,3.797525649,4
110501,613.5039398,633
171204,21.33855663,21
31614,22.67799517,20
20601,16.71581375,16
200412,6.49532184,7
70107,12.2639181,10
60806,6.387231308,6
200411,6.568096377,7
170708,7.748467377,8
10301,20.33465557,19
110201,127.9155032,129
70311,47.90002728,39
140703,4.959251394,5
30404,31.91315821,32
60606,51.79417045,50
210905,8.562855518,8
160103,232.1695726,230
200202,3.207106894,3
60205,13.74699447,13
10504,29.10426855,29
120608,6.063026117,5
50103,25.5227846,25
170105,22.64097251,22
171005,21.57681978,22
20802,9.718002081,10
210908,10.88900804,11
50607,89.01094272,75
10605,20.91649633,17
240204,107.3625172,96
90803,462.892455,520
10509,28.17231467,29
110202,133.3280746,131
20309,7.708298407,8
180205,19.05711032,9
160605,296.1431809,298
20808,9.623503067,10
20809,8.66455974,9
60304,6.332346879,6
230102,6.290222873,5
100405,68.28461426,60
