year,codekhum,khum_name,area,diffPix
2007,200304,Chrung Popel,25319484.82,0
2007,140102,Cheung Phnum,39630648.33,0
2007,140107,Spueu Ka,23066326.06,0
2007,90102,Kandaol,156885207.1,0
2007,200302,Thmea,19633790.47,0
2007,210203,Doung,24396204.21,0
2007,200310,Thna Thnong,29474878.59,0
2007,81003,Kaoh Khael,20524836.65,0
2007,50310,Snam Krapeu,31277530.33,0
2007,210205,Komar Reachea,27129044.61,0
2007,210206,Krang Leav,26119486.77,0
2007,81007,Preaek Ambel,50531527.01,0
2007,50102,Kat Phluk,47530960.08,0
2007,140106,Sdau Kaong,45723557.83,0
2007,50309,Sdok,26903119.87,0
2007,50115,Preah Khae,38507825.07,0
2007,140905,Kampong Soeng,39425320.46,0
2007,200306,Meun Chey,25231466.66,0
2007,210209,Pea Ream,24259400.69,0
2007,50303,Moha Ruessei,20295780.74,0
2007,140306,Kou Khchak,56620475.85,0
2007,210214,Trapeang Krasang,17738750.11,0
2007,140703,Neak Loeang,18794944.83,0
2007,140707,Preaek Khsay Kha,3826472.13,0
2007,80506,Preaek Tonloab,79091000.55,0
2007,200301,Bos Mon,32032845.38,0
2007,140607,Preaek Krabau,16346948.09,0
2007,140910,Rumchek,41722068.07,0
2007,140601,Angkor Angk,34898499.16,0
2007,200517,Thlok,19613260.62,0
2007,140305,Kansaom Ak,41326423.23,0
2007,210213,Tnaot,18645457.61,0
2007,200309,Svay Chek,31369945.14,0
2007,50113,Kak,23583598.48,0
2007,210604,Char,30641191.84,0
2007,50307,Prey Vihear,27320835.07,0
2007,200501,Angk Ta Sou,13285563.86,0
2007,200308,Sangkae,25990726.18,0
2007,210201,Chambak,19598938.05,0
2007,80408,Pouthi Ban,69356680.53,0
2007,80407,Leuk Daek,55411414.04,0
2007,200513,Svay Angk,21799301.14,0
2007,80405,Kaoh Thum Kha,15240399.33,0
2007,210704,Chumreah Pen,32582138.25,0
2007,200510,Kraol Kou,42866680.85,0
2007,200303,Chak,23541440.57,0
2007,50105,Pheari Mean Chey,21186081.04,0
2007,210612,Snao,24259684.37,0
2007,210705,Khvav,29031237.32,0
2007,140311,Prey Chhor,27841001.85,0
2007,80505,Preaek Dach,62035330.66,0
2007,140907,Lvea,28604744.3,0
2007,210607,Kdanh,12115266.96,0
2007,210613,Tang Yab,16016231.12,0
2007,210707,Rovieng,40832759.35,0
2007,200307,Pong Tuek,38056805.12,0
2007,200702,Kokir Saom,63441924.03,0
2007,50104,Pheakdei,40225102.66,0
2007,140604,Kaoh Roka,43697772.63,0
2007,140605,Kaoh Sampov,123261151.2,0
2007,80502,K'am Samnar,28828656.91,0
2007,210103,Kouk Thlok,65649865.57,0
2007,90201,Kaoh Sdach,803151.19,0
2007,200202,Nhor,25790201.23,0
2007,200203,Ksetr,59297160.59,0
2007,210903,Kus,48744669.18,0
2007,211012,Srangae,27339062.02,0
2007,210803,Roka Krau,33573583.87,0
2007,210911,Srae Ronoung,35550358.05,0
2007,90804,Stueng Chhay,86539888.91,0
2007,200208,Samyaong,23901109.14,0
2007,210105,Preaek Phtoul,42526038.38,0
2007,200205,Prey Thum,20075930.62,0
2007,211009,Sambuor,55518498.13,0
2007,211013,Thlok,48454333.79,0
2007,210913,Tram Kak,47786891.37,0
2007,90201,Kaoh Sdach,108202.89,0
2007,211007,Prey Sloek,36415807.45,0
2007,90201,Kaoh Sdach,959301.44,0
2007,210905,Nhaeng Nhang,26372095.09,0
2007,70407,Trapeang Reang,28822904.95,0
2007,180204,Cheung Kou,222306617.1,6
2007,200206,Reach Montir,27990890.78,0
2007,200109,Samraong,21890475.07,0
2007,211008,Roneam,30925461.7,0
2007,180209,Sameakki,215319277.2,-11
2007,200104,Chres,52218131.48,0
2007,70406,Srae Samraong,39345614.34,0
2007,200201,Banteay Krang,28694737.33,0
2007,90201,Kaoh Sdach,558813.59,0
2007,200211,Thmei,39884407.48,0
2007,70311,Nareay,18325406.24,0
2007,211001,Angkanh,15382640.71,0
2007,70304,Chhuk,32299674.02,0
2007,90201,Kaoh Sdach,3158707.77,0
2007,200110,Tuol Sdei,73193439.39,0
2007,70103,Champei,31992423.09,0
2007,200103,Chantrea,61559121,0
2007,70402,Chumpu Voan,56727888.18,0
2007,90201,Kaoh Sdach,31363,0
2007,90201,Kaoh Sdach,349893.65,0
2007,210305,Kouk Pou,45820330.41,0
2007,211004,Khvav,36866828.07,0
2007,200212,Tnaot,43458645.25,0
2007,90201,Kaoh Sdach,117305.56,0
2007,70401,Chres,23644501.26,0
