commGIS,nd,CP,CP,CP,CP,MC,MN,FBE,FBD,FBD,FBD,FNE,FND,FM,MTSH,MTSH,SL,SL,GL,SV,NF,NF,NF,U,B,B,B,W
31622,0,71,29,0,250,9,11,14,0,0,0,0,0,0,3,0,0,111,0,0,0,0,24,4,0,0,0,75
31612,0,670,33,59,15,69,20,0,6,0,0,0,0,0,0,0,0,31,3,0,0,0,0,0,0,0,0,0
31606,0,328,12,86,144,78,18,7,0,0,0,0,0,0,12,0,0,22,0,0,0,0,33,0,0,0,0,3
30403,0,756,37,0,29,58,12,0,0,0,0,0,0,0,0,0,0,6,2,0,0,0,0,0,0,0,0,0
30501,0,21,0,0,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,21
40808,0,1022,155,0,0,68,10,128,155,0,0,0,0,0,11,0,7,11,3,0,0,0,0,0,0,0,0,0
31605,0,183,5,0,92,13,28,0,0,0,0,0,0,0,8,0,0,61,0,0,0,0,15,0,0,0,2,23
90501,20,147,2,2,48,119,262,13078,7,0,0,426,4,0,429,0,39,278,37,0,0,430,1,1,0,0,0,604
30706,0,187,1,0,199,0,12,0,0,0,0,0,0,0,4,0,6,17,0,0,0,0,117,0,0,0,0,0
40803,0,531,216,0,0,10,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
31006,0,677,124,59,9,894,353,13,20,0,0,0,0,0,38,0,49,247,0,0,0,0,0,0,0,0,0,0
31314,0,38,20,0,105,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0
30601,0,283,3,0,16,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,7,0,0,0,0
30615,0,153,8,0,124,6,0,1,0,0,0,0,0,0,0,0,0,5,5,0,0,0,14,0,0,0,0,92
31311,0,93,4,0,197,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
40702,0,243,70,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
30106,0,143,6,0,39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
90503,0,14,0,0,15,14,76,345,3,0,0,10,0,0,21,0,2,151,0,0,0,117,0,0,0,0,0,61
50503,0,243,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
