commGIS,elc_06,elc_07,elc_08,elc_09,elc_10,elc_11,elc_12
31303,0,0,0,0,0,0,0
60702,0,0,0,0,0,0,0
60109,0,0,0,0,0,0,0
100302,0,0,1,1,1,1,1
120710,0,0,0,0,0,0,0
171201,0,0,0,0,0,0,0
90301,0,0,1,1,1,1,1
90301,0,0,1,1,1,1,1
20206,0,0,0,0,0,0,0
90604,0,0,0,0,0,0,0
80402,0,0,0,0,0,0,0
200304,0,0,0,0,0,0,0
70702,0,0,0,0,0,0,0
30902,0,0,0,0,0,0,0
90703,0,0,0,0,0,0,0
90703,0,0,0,0,0,0,0
50503,0,0,0,0,0,0,0
70402,0,0,0,0,0,0,0
210704,0,0,0,0,0,0,0
70106,0,0,0,0,0,0,0
81103,0,0,0,0,0,0,0
80106,0,0,0,0,0,0,0
110301,0,0,1,1,1,1,1
171102,0,0,0,0,0,0,0
30402,0,0,0,0,0,0,0
70104,0,0,0,0,0,0,0
50603,0,0,0,0,0,0,0
80804,0,0,0,0,0,0,0
70603,0,0,0,0,0,0,0
70604,0,0,0,0,0,0,0
50513,0,0,0,0,0,0,0
70501,0,0,0,0,0,0,0
60301,0,0,0,0,0,0,0
100102,0,0,1,1,1,1,1
141004,0,0,0,0,0,0,0
60202,0,0,0,0,0,0,0
31103,0,0,0,0,0,0,0
70105,0,0,0,0,0,0,0
171103,0,0,0,0,0,0,0
60602,0,0,0,0,1,1,1
31503,0,0,0,0,0,0,0
90605,1,1,1,1,1,1,1
90402,0,0,0,0,0,0,0
70502,0,0,0,0,0,0,0
120501,0,0,0,0,0,0,0
31005,0,0,1,1,1,1,1
40402,0,0,0,0,0,0,0
100203,0,0,0,0,0,0,0
80203,0,0,0,0,0,0,0
170102,0,0,0,0,0,0,0
21305,0,0,0,0,0,0,0
170702,0,0,0,0,0,0,0
140202,0,0,0,0,0,0,0
200508,0,0,0,0,0,0,0
31202,0,0,0,0,0,0,0
70305,0,0,0,0,0,0,0
200407,0,0,0,0,0,0,0
210203,0,0,0,0,0,0,0
60401,0,0,0,0,0,0,0
210303,0,0,0,0,0,0,0
21303,0,0,0,0,0,0,0
30602,0,0,0,0,0,0,0
100103,0,0,0,0,0,0,0
50401,0,0,0,0,0,0,0
160903,0,0,0,1,1,1,1
160904,0,0,0,0,0,0,0
160502,0,0,0,0,0,1,1
160201,0,0,0,0,0,0,0
230201,0,0,0,0,0,0,0
170704,0,0,0,0,0,0,0
50702,0,0,0,0,0,0,0
31203,0,0,0,0,0,0,0
50113,0,0,0,0,0,0,0
160301,0,1,1,1,1,1,1
120506,0,0,0,0,0,0,0
20607,0,0,0,0,0,0,0
60704,0,0,0,0,0,0,0
160604,0,0,0,0,0,0,0
80502,0,0,0,0,0,0,0
80805,0,0,0,0,0,0,0
210403,0,0,0,0,0,0,0
210605,0,0,0,0,0,0,0
210404,0,0,0,0,0,0,0
180301,0,0,0,0,0,0,0
180301,0,0,0,0,0,0,0
31006,0,0,1,1,1,1,1
200305,0,0,0,0,0,0,0
70803,0,0,0,0,0,0,0
30502,0,0,0,0,0,0,0
100402,0,0,1,1,1,1,1
80303,0,0,0,0,0,0,0
60804,0,0,0,0,0,0,0
60805,0,0,0,0,0,0,0
40302,0,0,0,0,0,0,0
100104,0,0,0,0,0,1,1
40403,0,0,0,0,0,0,0
70801,0,0,0,0,0,0,0
170403,0,0,0,0,0,0,0
171104,0,0,0,0,0,0,0
80403,0,0,0,0,0,0,0
100303,0,0,0,0,0,0,0
60203,0,0,0,0,0,0,0
60306,0,0,0,0,0,0,0
70703,0,0,0,0,0,0,0
210304,0,0,0,0,0,0,0
141103,0,0,0,0,0,0,0
80903,0,0,0,0,0,0,0
80904,0,0,0,0,0,0,0
40203,0,0,0,0,0,0,0
170904,0,0,0,0,0,0,0
80501,0,0,0,0,0,0,0
140801,0,0,0,0,0,0,0
150306,0,0,0,0,0,0,0
130701,0,0,0,0,0,0,0
140803,0,0,0,0,0,0,0
140602,0,0,0,0,0,0,0
20805,0,0,0,0,0,0,0
40105,0,0,0,0,0,0,0
40105,0,0,0,0,0,0,0
20806,0,0,0,0,0,0,0
30801,0,0,0,0,0,0,0
210606,0,0,0,0,0,0,0
60303,0,0,0,0,0,0,0
140804,0,0,0,0,0,0,0
81106,0,0,0,0,0,0,0
70704,0,0,0,0,0,0,0
90802,0,1,1,1,1,1,1
140905,0,0,0,0,0,0,0
130207,0,0,0,0,0,0,0
130208,0,0,0,0,0,0,0
80204,0,0,0,0,0,0,0
10602,0,0,0,0,0,0,0
60204,0,0,0,0,0,0,0
170602,0,0,0,0,0,0,0
60703,0,0,0,0,0,0,0
60302,0,0,0,0,0,0,0
140307,0,0,0,0,0,0,0
200408,0,0,0,0,0,0,0
70605,0,0,0,0,0,0,0
70606,0,0,0,0,0,0,0
40504,0,0,0,0,0,0,0
30903,0,0,0,0,0,0,0
190101,1,1,1,1,1,1,1
170906,0,0,0,0,0,0,0
70705,0,0,0,0,0,0,0
80107,0,0,0,0,0,0,0
90102,1,1,1,1,1,1,1
31204,0,0,0,0,0,0,0
50202,0,0,0,0,0,0,0
150203,0,0,0,0,0,0,0
200703,0,0,0,0,0,0,0
210204,0,0,0,0,0,0,0
190503,0,0,0,0,0,0,0
30702,0,0,0,0,0,0,0
140802,0,0,0,0,0,0,0
100105,0,0,1,1,1,1,1
150204,0,0,0,0,0,0,0
140402,0,0,0,0,0,0,0
140305,0,0,0,0,0,0,0
80806,0,0,0,0,0,0,0
70607,0,0,0,0,0,0,0
70608,0,0,0,0,0,0,0
70609,0,0,0,0,0,0,0
170905,0,0,0,0,0,0,0
20101,0,0,0,0,0,0,0
20102,0,0,0,0,0,0,0
171302,0,0,0,0,0,1,1
130306,0,0,0,0,0,0,1
100204,0,1,1,1,1,1,1
40202,0,0,0,0,0,0,0
31404,0,0,0,0,0,0,0
81002,0,0,0,0,0,0,0
140603,0,0,0,0,0,0,0
80905,0,0,0,0,0,0,0
20507,0,0,0,0,0,0,0
80304,0,0,0,0,0,0,0
100206,0,0,0,0,0,0,0
150502,0,0,0,0,0,0,0
80702,0,0,0,0,0,0,0
80604,0,0,0,0,0,0,0
90302,0,0,0,0,0,0,0
90302,0,0,0,0,0,0,0
81003,0,0,0,0,0,0,0
100404,0,0,0,1,1,1,1
81004,0,0,0,0,0,0,0
30605,0,0,0,0,0,0,0
80305,0,0,0,0,0,0,0
160905,0,0,0,0,0,0,0
160906,0,0,0,0,0,0,0
30904,0,0,0,0,0,0,0
10603,0,0,0,0,0,0,0
190201,0,0,0,0,0,0,0
80605,0,0,0,0,0,0,0
30606,0,0,0,0,0,0,0
140604,0,0,0,0,0,0,0
180105,0,0,0,0,0,0,0
180105,0,0,0,0,0,0,0
180105,0,0,0,0,0,0,0
180105,0,0,0,0,0,0,0
180105,0,0,0,0,0,0,0
190202,1,1,1,1,1,1,1
140605,0,0,0,0,0,0,0
30607,0,0,0,0,0,0,0
90201,0,0,0,1,1,1,1
90201,0,0,0,1,1,1,1
90201,0,0,0,1,1,1,1
90201,0,0,0,1,1,1,1
90201,0,0,0,1,1,1,1
90201,0,0,0,1,1,1,1
90201,0,0,0,1,1,1,1
90201,0,0,0,1,1,1,1
90201,0,0,0,1,1,1,1
190504,0,0,0,0,0,0,0
30802,0,0,0,0,0,0,0
190203,0,0,0,0,0,0,0
100304,0,0,0,0,0,0,0
80404,0,0,0,0,0,0,0
80405,0,0,0,0,0,0,0
30608,0,0,0,0,0,0,0
70707,0,0,0,0,0,1,1
100207,0,0,0,0,0,0,0
31205,0,0,0,0,0,0,0
50102,0,0,0,0,0,0,0
100403,1,1,1,1,1,1,1
80205,0,0,0,0,0,0,0
190102,1,1,1,1,1,1,1
150307,0,0,0,0,0,0,0
40804,0,0,0,0,0,0,0
210607,0,0,0,0,0,0,0
60305,0,0,0,0,0,0,0
170703,0,0,0,0,0,0,0
140403,0,0,0,0,0,0,0
20306,0,0,0,0,0,0,0
20406,0,0,0,0,0,0,0
160302,0,1,1,1,1,1,1
20602,0,0,0,0,0,0,0
171106,0,0,0,0,0,0,0
30703,0,0,0,0,0,0,0
70503,0,0,0,0,0,0,0
70504,0,0,0,0,0,0,0
40805,0,0,0,0,0,0,0
120701,0,0,0,0,0,0,0
20402,0,0,0,0,0,0,0
171303,0,0,0,0,0,0,0
30301,0,0,0,0,0,0,0
40702,0,0,0,0,0,0,0
171107,0,0,0,0,0,0,0
31403,0,0,0,0,0,0,0
170301,0,0,0,0,0,0,0
150103,0,0,0,0,0,0,0
170705,0,0,0,0,0,0,0
40104,0,0,0,0,0,0,0
40104,0,0,0,0,0,0,0
81001,0,0,0,0,0,0,0
80503,0,0,0,0,0,0,0
31504,0,0,0,0,0,0,0
100106,0,0,0,0,0,0,0
40304,0,0,0,0,0,0,0
50504,0,0,0,0,0,0,0
100501,0,0,0,1,1,1,1
50703,0,0,0,0,0,0,0
170302,0,0,0,0,0,0,0
210705,0,0,0,0,0,0,0
211004,0,0,0,0,0,0,0
170404,1,1,1,1,1,1,1
31304,0,0,0,0,0,0,0
130103,0,0,0,0,0,0,0
30603,0,0,0,0,0,0,0
171105,0,0,0,0,0,0,0
120704,0,0,0,0,0,0,0
210405,0,0,0,0,0,0,0
50604,0,0,0,0,0,0,0
60603,0,0,0,0,0,0,0
171202,0,0,0,0,0,0,0
21302,0,0,0,0,0,0,0
160907,0,0,0,0,0,0,0
31016,0,0,1,1,1,1,1
200409,0,0,0,0,1,1,1
80206,0,0,0,0,0,0,0
200702,0,0,0,0,0,0,0
80207,0,0,0,0,0,0,0
60110,0,0,0,0,0,0,0
30604,0,0,0,0,0,0,0
210205,0,0,0,0,0,0,0
31104,0,0,0,0,0,0,0
80110,0,0,0,0,0,0,0
31612,0,0,0,1,1,1,1
31305,0,0,0,0,0,0,0
140306,0,0,0,0,0,0,0
100205,0,0,0,0,0,0,0
10502,0,0,0,0,0,0,0
10204,0,0,0,0,0,0,0
40605,0,0,0,0,0,0,0
171003,0,0,0,0,0,0,0
170103,0,0,0,0,0,0,0
10705,0,0,0,0,0,0,0
20208,0,0,0,0,0,0,0
220203,0,0,0,0,0,0,0
140404,0,0,0,0,0,0,0
140405,0,0,0,0,0,0,0
220204,0,0,0,0,0,0,0
210305,0,0,0,0,0,0,0
210406,0,0,0,0,0,0,0
200509,0,0,0,0,0,0,0
120503,0,0,0,0,0,0,0
10702,0,0,0,0,0,0,0
30302,0,0,0,0,0,0,0
30403,0,0,0,0,0,0,0
210103,0,0,0,0,0,0,0
170405,0,0,0,0,0,0,0
170406,1,1,1,1,1,1,1
80109,0,0,0,0,0,0,0
170104,0,0,0,0,0,0,0
60502,0,1,1,1,1,1,1
70708,0,0,0,0,0,0,0
10205,0,0,0,0,0,0,0
200603,0,0,0,0,0,0,0
140204,0,0,0,0,0,0,0
170706,0,0,0,0,0,0,0
100209,0,0,0,0,0,0,0
31206,0,0,1,1,1,1,1
100208,0,0,0,0,0,0,0
30609,0,0,0,0,0,0,0
170603,0,0,0,0,0,0,0
50704,0,0,0,0,0,0,0
70802,0,0,0,0,0,0,0
50505,0,0,0,0,0,0,0
50605,0,0,0,1,1,1,1
210206,0,0,0,0,0,0,0
40606,0,0,0,0,0,0,0
40703,0,0,0,0,0,0,0
