commGIS,Province,Commune,
50307,Kampong Speu,Prey Vihear,
50308,Kampong Speu,Roka Kaoh,
50309,Kampong Speu,Sdok,
50310,Kampong Speu,Snam Krapeu,
50311,Kampong Speu,Srang,
50312,Kampong Speu,Tuek L'ak,
50313,Kampong Speu,Veal,
50401,Kampong Speu,Haong Samnam,
50402,Kampong Speu,Reaksmei Sameakki,
50403,Kampong Speu,Trapeang Chour,
50404,Kampong Speu,Sangkae Satob,
50405,Kampong Speu,Ta Sal,
50501,Kampong Speu,Chant Saen,
50502,Kampong Speu,Cheung Roas,
50503,Kampong Speu,Chumpu Proeks,
50504,Kampong Speu,Khsem Khsan,
50505,Kampong Speu,Krang Chek,
50506,Kampong Speu,Mean Chey,
50507,Kampong Speu,Preah Srae,
50508,Kampong Speu,Prey Krasang,
50509,Kampong Speu,Trach Tong,
50510,Kampong Speu,Veal  Pung,
50511,Kampong Speu,Veang Chas,
50512,Kampong Speu,Yutth Sameakki,
50513,Kampong Speu,Damnak Reang,
50514,Kampong Speu,Peang Lvea,
50515,Kampong Speu,Phnum Touch,
50601,Kampong Speu,Chambak,
50602,Kampong Speu,Choam Sangkae,
50603,Kampong Speu,Dambouk Rung,
50604,Kampong Speu,Kiri Voan,
50605,Kampong Speu,Krang Dei Vay,
50606,Kampong Speu,Moha Sang,
50607,Kampong Speu,Ou,
50608,Kampong Speu,Prey Rumduol,
50609,Kampong Speu,Prey Kmeng,
50610,Kampong Speu,Tang Samraong,
50611,Kampong Speu,Tang Sya,
50612,Kampong Speu,Traeng Trayueng,
50701,Kampong Speu,Roleang Chak,
50702,Kampong Speu,Kahaeng,
50703,Kampong Speu,Khtum Krang,
50704,Kampong Speu,Krang Ampil,
50705,Kampong Speu,Pneay,
50706,Kampong Speu,Roleang Kreul,
50707,Kampong Speu,Samraong Tong,
50708,Kampong Speu,Sambour,
50709,Kampong Speu,Saen Dei,
50710,Kampong Speu,Skuh,
50711,Kampong Speu,Tang Krouch,
50712,Kampong Speu,Thommoda Ar,
50713,Kampong Speu,Trapeang Kong,
50714,Kampong Speu,Tumpoar Meas,
50715,Kampong Speu,Voa Sa,
50801,Kampong Speu,Amleang,
50802,Kampong Speu,Monourom,
50803,Kampong Speu,Yea Angk,
50804,Kampong Speu,Prambei Mom,
50805,Kampong Speu,Rung Roeang,
50806,Kampong Speu,Toap Mean,
50807,Kampong Speu,Veal Pon,
60101,Kampong Thom,Bak Sna,
60102,Kampong Thom,Ballangk,
60103,Kampong Thom,Baray,
60104,Kampong Thom,Boeng,
60105,Kampong Thom,Chaeung Daeung,
60106,Kampong Thom,Chranieng,
60107,Kampong Thom,Chhuk Khsach,
60108,Kampong Thom,Chong Doung,
60109,Kampong Thom,Chrolong,
60110,Kampong Thom,Kokir Thum,
60111,Kampong Thom,Krava,
60112,Kampong Thom,Andoung Pou,
60113,Kampong Thom,Pongro,
60114,Kampong Thom,Sou Young,
60115,Kampong Thom,Sralau,
60116,Kampong Thom,Svay Phleung,
60117,Kampong Thom,Tnaot Chum,
60118,Kampong Thom,Treal,
60201,Kampong Thom,Chey,
60202,Kampong Thom,Damrei Slab,
60203,Kampong Thom,Kampong Kou,
60204,Kampong Thom,Kampong Svay,
60205,Kampong Thom,Ni Pechr,
60206,Kampong Thom,Phat Sanday,
60207,Kampong Thom,San Kor,
60208,Kampong Thom,Tbaeng,
60209,Kampong Thom,Trapeang Ruessei,
60210,Kampong Thom,Kdei Doung,
60211,Kampong Thom,Prey Kuy,
60301,Kampong Thom,Damrei Choan Khla,
60302,Kampong Thom,Kampong Thum,
60303,Kampong Thom,Kampong Roteh,
60304,Kampong Thom,Ou Kanthor,
60305,Kampong Thom,achar Leak,
60306,Kampong Thom,Kampong Krabau,
60307,Kampong Thom,Srayov,
60308,Kampong Thom,Prey Ta Hu,
60401,Kampong Thom,Doung,
60402,Kampong Thom,Kraya1,
60403,Kampong Thom,Phan Nheum,
60404,Kampong Thom,Sa Kream,
60405,Kampong Thom,Sala Visai,
60406,Kampong Thom,Sameakki,
60407,Kampong Thom,Tuol Kreul,
60501,Kampong Thom,Chhuk,
60502,Kampong Thom,Koul,
60503,Kampong Thom,Sambour,
60504,Kampong Thom,Sraeung,
60505,Kampong Thom,Tang Krasau,
60601,Kampong Thom,Chheu Teal,
60602,Kampong Thom,Dang Kambet,
60603,Kampong Thom,Klaeng,
60604,Kampong Thom,Mean Ritth,
60605,Kampong Thom,Mean Chey,
60606,Kampong Thom,Ngan,
60607,Kampong Thom,Sandan,
60608,Kampong Thom,Sochet,
60609,Kampong Thom,Tum Ring,
60701,Kampong Thom,Boeng Lvea,
60702,Kampong Thom,Chroab,
60703,Kampong Thom,Kampong Thma,
60704,Kampong Thom,Kakaoh,
60705,Kampong Thom,Kraya,
60706,Kampong Thom,Pnov,
60707,Kampong Thom,Prasat,
60708,Kampong Thom,Tang Krasang,
60709,Kampong Thom,Ti Pou,
60710,Kampong Thom,Tboung Krapeu,
60801,Kampong Thom,Banteay Stoung,
60802,Kampong Thom,Chamnar Kraom,
60803,Kampong Thom,Chamnar Leu,
60804,Kampong Thom,Kampong Chen Cheung,
60805,Kampong Thom,Kampong Chen Tboung,
60806,Kampong Thom,Msar Krang,
60807,Kampong Thom,Peam Bang,
60808,Kampong Thom,Popok,
60809,Kampong Thom,Pralay,
60810,Kampong Thom,Preah Damrei,
60811,Kampong Thom,Rung Roeang,
60812,Kampong Thom,Samprouch,
60813,Kampong Thom,Trea,
70101,Kampot,Angk Phnum Touch,
70102,Kampot,Angkor Chey,
70103,Kampot,Champei,
70104,Kampot,Dambouk Khpos,
70105,Kampot,Dan Koum,
70106,Kampot,Daeum Doung,
70107,Kampot,Mroum,
70108,Kampot,Phnum Kong,
70109,Kampot,Praphnum,
70110,Kampot,Samlanh,
70111,Kampot,Tani,
70201,Kampot,Banteay Meas Khang Kaeut,
70202,Kampot,Banteay Meas Khang Lech,
70203,Kampot,Prey Tonle,
70204,Kampot,Samraong Kraom,
70205,Kampot,Samraong Leu,
70206,Kampot,Sdach Kong Khang Cheung,
70207,Kampot,Sdach Kong Khang Lech,
70208,Kampot,Sdach Kong Khang Tboung,
70209,Kampot,Tnaot Chong Srang,
70210,Kampot,Trapeang Sala Khang Kaeut,
70211,Kampot,Trapeang Sala Khang Lech,
70212,Kampot,Tuk Meas Khang Kaeut,
70213,Kampot,Tuk Meas Khang Lech,
70214,Kampot,Voat Angk Khang Cheung,
70215,Kampot,Voat Angk Khang Tboung,
70301,Kampot,Baniev,
70302,Kampot,Ta Kaen,
70303,Kampot,Boeng Nimol,
70304,Kampot,Chhuk,
70305,Kampot,Doun Yay,
70306,Kampot,Krang Sbov,
70307,Kampot,Krang Snay,
70308,Kampot,Lbaeuk,
70309,Kampot,Trapeang Plang,
70310,Kampot,Mean Chey,
70311,Kampot,Nareay,
70312,Kampot,Satv Pong,
70313,Kampot,Trapeang Bei,
70314,Kampot,Tramaeng,
70401,Kampot,Chres,
70402,Kampot,Chumpu Voan,
70403,Kampot,Snay Anhchet,
70404,Kampot,Srae Chaeng,
70405,Kampot,Srae Knong,
70406,Kampot,Srae Samraong,
70407,Kampot,Trapeang Reang,
70501,Kampot,Damnak Sokram,
70502,Kampot,Dang Tong,
70503,Kampot,Khcheay Khang Cheung,
70504,Kampot,Khcheay Khang Tboung,
70505,Kampot,Mean Ritth,
70506,Kampot,Srae Chea Khang Cheung,
70507,Kampot,Srae Chea Khang Tboung,
70508,Kampot,Totung,
70509,Kampot,Angkor Meas,
70510,Kampot,L'ang,
70601,Kampot,Boeng Sala Khang Cheung,
70602,Kampot,Boeng Sala Khang Tboung,
70603,Kampot,Damnak Kantuot Khang Cheung,
70604,Kampot,Damnak Kantuot Khang Tboung,
70605,Kampot,Kampong Trach Khang Kaeut,
70606,Kampot,Kampong Trach Khang Lech,
70607,Kampot,Kanthaor Khang Cheung,
70608,Kampot,Kanthaor Khang kaeut,
70609,Kampot,Kanthaor Khang Lech,
70610,Kampot,Svay Tong Khang Cheung,
70611,Kampot,Svay Tong Khang Tboung,
70612,Kampot,Preaek Kroes,
70613,Kampot,Ruessei srok Khang Kaeut,
70614,Kampot,Ruessei Srok Khang Lech,
70701,Kampot,Boeng Tuk,
70702,Kampot,Chum Kriel,
70703,Kampot,Kampong Kraeng,
70704,Kampot,Kampong Samraong,
70705,Kampot,Kandal,
70706,Kampot,Trapeang Pring,
70707,Kampot,Kaoh Touch,
70708,Kampot,Koun Satv,
70709,Kampot,Meakprang,
70710,Kampot,Trapeang sangkae,
70711,Kampot,Preaek Tnaot,
70712,Kampot,Prey Khmum,
70713,Kampot,Prey Thnang,
70714,Kampot,Trapeang Thum,
70715,Kampot,Stueng Kaev,
70716,Kampot,Thmei,
70801,Kampot,Kampong Kandal,
70802,Kampot,Krang Ampil,
70803,Kampot,Kampong Bay,
70804,Kampot,Andoung Khmaer,
70805,Kampot,Traeuy Kaoh,
80101,Kandal,Ampov Prey,
80102,Kandal,Anlong Romiet,
80103,Kandal,Barku,
80104,Kandal,Boeng Khyang,
80105,Kandal,Cheung Kaeub,
80106,Kandal,Daeum Rues,
80107,Kandal,Kandaok,
80108,Kandal,Thmei,
80109,Kandal,Kouk Trab,
80110,Kandal,Kong Noy,
80111,Kandal,Spean Thma,
80112,Kandal,Tbaeng,
80113,Kandal,Preah Putth,
80114,Kandal,Preaek Kampis,
80115,Kandal,Preaek Roka,
80116,Kandal,Preaek Slaeng,
80117,Kandal,Roka,
80118,Kandal,Roleang Kaen,
80119,Kandal,Roluos,
80120,Kandal,Tien,
80121,Kandal,Trapeang Veaeng,
80122,Kandal,Siem Reab,
80123,Kandal,Trea,
80201,Kandal,Banteay Daek,
80202,Kandal,Chheu Teal,
80203,Kandal,Dei Edth,
80204,Kandal,Kampong Svay,
80205,Kandal,Kbal Kaoh,
80206,Kandal,Kokir,
80207,Kandal,Kokir Thum,
80208,Kandal,Phum Thum1,
80209,Kandal,Preaek Aeng,
80210,Kandal,Preaek Thmei1,
80211,Kandal,Samraong Thum,
80212,Kandal,Veal Sbov,
80301,Kandal,Bak Dav,
80302,Kandal,Chey Thum,
80303,Kandal,Kampong Chamlang,
80304,Kandal,Kaoh Chouram,
80305,Kandal,Kaoh Oknha Tei,
80306,Kandal,Preah Prasab,
80307,Kandal,Preaek Ampil,
80308,Kandal,Preaek Luong,
80309,Kandal,Preaek Ta Kov,
80310,Kandal,Preaek Ta Meak,
80311,Kandal,Puk Ruessei,
80312,Kandal,Roka Chonlueng,
80313,Kandal,Sanlung,
80314,Kandal,Sithor,
80315,Kandal,Svay Chrum,
80316,Kandal,Svay Romiet,
80317,Kandal,Ta Aek,
80318,Kandal,Vihear Suork,
80401,Kandal,Chheu Khmau,
80402,Kandal,Chrouy Ta Kaev,
80403,Kandal,Kampong Kong,
80404,Kandal,Kaoh Thum Ka,
80405,Kandal,Kaoh Thum Kha,
80406,Kandal,Sampov Lun,
80407,Kandal,Leuk Daek,
80408,Kandal,Pouthi Ban,
80409,Kandal,Preaek Chrey,
80410,Kandal,Preaek Sdei,
80411,Kandal,Preaek Thmei,
80501,Kandal,Kampong Phnum,
80502,Kandal,K'am Samnar,
80503,Kandal,Khpob ateav,
80504,Kandal,Peam Reang,
