"","Province","year","areaKM","ForPix","diffPix","tot_pop","land_confl","Pax_migt_in","Pax_migt_out","prop_ind","pop_den","M6_24_sch","propPrimSec","propSecSec","Les1_R_Land","pig_fam","dist_sch","garbage","KM_Comm","crim_case","mean_elev","dist_border","dist_provCap","elc","PA"
"25","Kampong Speu",-1.33630620956212,5388.91547373,17977,0,0.340094979180352,0.439183410105768,-0.783684021915112,0.538246616190088,-0.678904927791901,-1.19086601591587,0.47683165739995,0.50568350421357,-0.625170621976329,-1.13404893671184,1.27753622909731,1.26389854798177,0.165825412529735,1.03538783042056,0.73953601287432,-0.645497224367207,0.64549722436694,-0.645497224367384,"1","1"
"26","Kampong Speu",-0.801783725737273,5388.91547373,17977,0,0.529881553672678,0.966203502232689,-0.428808238406382,0.538246616190088,0.860062766688195,-0.665969782205268,0.648027530098966,0.753162177191732,-0.639147593243678,-0.654324874129374,0.500115609139436,0.388259749356996,-1.76466260480704,-0.812785607458248,0.814900035002168,-0.645497224367207,0.64549722436694,-0.645497224367384,"1","1"
"27","Kampong Speu",-0.267261241912424,5388.91547373,17977,0,1.07088022608637,0.0392837422104655,0.12643280489239,-0.264102022150227,0.851924598239777,0.751295252479725,0.767697854629828,0.472517863155196,-0.671601117987088,0.189615775618669,0.107327828546863,0.388259749356996,0.106552186448642,-0.997602951246129,0.116672428838694,-0.645497224367207,0.64549722436694,-0.645497224367384,"1","1"
"28","Kampong Speu",0.267261241912424,5388.91547373,17977,-1,0.529881553672678,0.966203502232689,-0.428808238406382,0.538246616190088,0.860062766688195,-0.665969782205268,0.648027530098966,0.753162177191732,-0.639147593243678,-0.654324874129374,0.500115609139436,0.388259749356996,-0.275428123606704,-0.812785607458248,0.814900035002168,-0.645497224367207,0.64549722436694,-0.645497224367384,"1","1"
"29","Kampong Speu",0.801783725737273,4942.60128299,17542,0,-1.48409402434681,-1.07831665415919,-0.437281396158697,-1.93011184299915,-0.426045334967475,0.356020488220816,-1.02934910749604,-0.854919020575963,1.17437538355907,0.750040799455045,-1.11570058877229,-1.19104036827195,0.560708804354559,0.374973855285188,-1.13997334847598,1.29099677333436,-1.29099717960088,1.29099642388974,"1","1"
"30","Kampong Speu",1.33630620956212,4942.60138,17542,0,-0.986644288265261,-1.33255750262243,1.95214908999419,0.579474016579116,-1.46709986885679,1.41548983962585,-1.51123546473167,-1.62960670117626,1.40069154289171,1.50304210989688,-1.26939468715076,-1.23763742778081,1.20700432508081,1.21281248045691,-1.34603516324137,1.29099212413445,-1.29099171786689,1.29099247357989,"1","1"
"31","Kampong Thom",-1.33630620956212,11946.8648483,58332,-892,0.202599500307646,0.822569935313492,-0.687542606697909,-0.62527330531616,-0.753247118037239,-0.653903832786941,0.585676046741628,1.03452896331614,-0.629423317704,-0.0948819112160904,0.909927375431966,-1.23240322114938,-0.0496719380446968,0.321507519538818,0.638106332268992,-0.645497224367907,0.645497224367,-0.645497224355769,"1","1"
"32","Kampong Thom",-0.801783725737273,11946.8648483,57440,-1464,0.413345998399212,0.708417372861824,-0.6812780680649,-0.614805654464371,-0.441365637862226,-0.696005749282273,0.564960142894431,0.575297635433574,-0.656953688081538,-0.558953752880809,0.683345259025296,0.926662843532106,-1.42116347176565,-0.648522627122611,0.822038098475425,-0.645497224367907,0.645497224367,-0.645497224355769,"1","1"
"33","Kampong Thom",-0.267261241912424,11946.8648483,55976,-1791,1.26375864378892,0.283143120590903,-0.482179640237641,-0.669676404897137,-0.732039783279224,-0.479430126533048,0.823048086771192,0.316558715973705,-0.632294877493203,-1.13240627637086,0.24423733894943,0.734786009633043,-0.614511590073263,-1.16206799888454,0.197782049851431,-0.645497224367907,0.645497224367,-0.645497224355769,"1","1"
"34","Kampong Thom",0.267261241912424,11946.8648483,54185,-1523,0.413345998399212,0.708417372861824,-0.6812780680649,-0.614805654464371,-0.441365637862226,-0.696005749282273,0.564960142894431,0.575297635433574,-0.656953688081538,-0.558953752880809,0.683345259025296,0.926662843532106,-0.158037189486161,-0.648522627122611,0.822038098475425,-0.645497224367907,0.645497224367,-0.645497224355769,"1","1"
"35","Kampong Thom",0.801783725737273,10856.99272925,48517,-701,-1.58874573347066,-1.09116419990565,0.983038995671889,0.932211841583145,1.77704122883662,0.958515134641148,-1.02554183186069,-1.112283052063,1.39719659740746,0.76404954329363,-1.28391438055068,-0.287411518514128,0.95016873339308,0.61033337548338,-0.987893870463561,1.29099448325494,-1.29099707123556,1.29098487107267,"1","1"
"36","Kampong Thom",1.33630620956212,10856.9926751,47816,-792,-0.704304407424343,-1.43138360172239,1.54923938739346,1.59234917755889,0.590976948204291,1.56683032324338,-1.51310258744098,-1.389399898094,1.17842897395282,1.58114615005494,-1.23694085188131,-1.06829695703374,1.2932154559767,1.52727235810759,-1.49207070860771,1.29099441421666,-1.29099182623253,1.29100402635215,"1","1"
"37","Kampot",-1.33630620956212,3843.66840178,8235,-47,0.52491420703603,1.29746368999345,-0.501268673121328,-0.55094389888011,2.04124145231932,-0.650455568477943,0.32677132492865,0.802407525863118,-0.555645486797727,-0.515785729614664,0.988507321244509,0.984797641027,-0.655578708099172,1.73274727324508,1.00170184742834,0.645497224367904,-0.645497224367853,0.645497224367657,"1","1"
