"Gross national income (GNI) per capita (2011 PPP $)"
"HDI Rank","Country","1990","","1991","","1992","","1993","","1994","","1995","","1996","","1997","","1998","","1999","","2000","","2001","","2002","","2003","","2004","","2005","","2006","","2007","","2008","","2009","","2010","","2011","","2012","","2013","","2014","","2015","","2016","","2017",""
"172"," Djibouti","2031","..","1925","..","1987","..","2085","..","1990","..","2084","..","1931","..","1966","..","1906","..","1938","..","1926","..","1911","..","1933","..","2070","..","2128","..","2155","..","2424","..","2488","..","2551","..","2576","..","2622","..","2693","..","2773","..","2862","..","2982","..","3124","..","3268","..","3392",".."
"103"," Dominica","6335","..","6453","..","6646","..","6652","..","6627","..","6786","..","6856","..","7147","..","7504","..","7296","..","7066","..","7460","..","7215","..","7791","..","7887","..","7926","..","8631","..","9050","..","9809","..","9795","..","9966","..","9922","..","9607","..","9493","..","9880","..","9167","..","8756","..","8344","b"
"94"," Dominican Republic","5243","..","5212","..","5646","..","5842","..","5907","..","6106","..","6467","..","6809","..","7116","..","7432","..","7731","..","7668","..","7890","..","7586","..","7418","..","7996","..","8667","..","9757","..","10078","..","10032","..","10715","..","10879","..","11031","..","11215","..","11886","..","12655","..","13282","..","13921",".."
"86"," Ecuador","6887","..","7118","..","7200","..","7256","..","7427","..","7459","..","7408","..","7601","..","7662","..","6993","..","6854","..","7176","..","7412","..","7470","..","7923","..","8251","..","8502","..","8539","..","9068","..","9001","..","9215","..","9769","..","10170","..","10512","..","10735","..","10567","..","10234","..","10347",".."
"115"," Egypt","5759","..","5776","..","5916","..","5937","..","6116","..","6308","..","6536","..","6797","..","6954","..","7221","..","7457","..","7590","..","7550","..","7626","..","7779","..","7979","..","8441","..","8918","..","9382","..","9569","..","9668","..","9572","..","9595","..","9561","..","9644","..","9923","..","10185","..","10355",".."
"121"," El Salvador","4400","..","4472","..","4832","..","5132","..","5416","..","5690","..","5727","..","5911","..","6079","..","6133","..","6232","..","6311","..","6380","..","6440","..","6542","..","6767","..","7041","..","7285","..","7470","..","7103","..","7145","..","7230","..","7145","..","7217","..","7328","..","7563","..","7663","..","6868",".."
"141"," Equatorial Guinea","1112","..","1118","..","1489","..","1538","..","1484","..","1533","..","2419","..","6320","..","7022","..","8872","..","8949","..","12340","..","9180","..","12206","..","8834","..","20896","..","26572","..","29863","..","29216","..","29353","..","21545","..","22235","..","23817","..","23090","..","22629","..","23324","..","21316","..","19513",".."
"179"," Eritrea","894","..","994","..","1110","..","1267","..","1543","..","1605","..","1697","..","1817","..","1832","..","1794","..","1678","..","1764","..","1749","..","1641","..","1608","..","1613","..","1562","..","1554","..","1371","..","1398","..","1402","..","1497","..","1572","..","1588","..","1634","..","1676","..","1700","..","1750","b"
"30"," Estonia","15986","..","14863","..","12233","..","11206","..","11217","..","12146","..","12993","..","14174","..","15000","..","14865","..","15180","..","16115","..","17204","..","18442","..","19785","..","21972","..","24054","..","25555","..","24619","..","21516","..","21539","..","23313","..","24661","..","25676","..","26380","..","26985","..","27645","..","28993",".."
"144"," Eswatini (Kingdom of)","5659","..","5645","..","5721","..","5625","..","5390","..","5877","..","6155","..","6207","..","5975","..","6140","..","5954","..","6234","..","6062","..","6126","..","6433","..","7140","..","7088","..","7340","..","7173","..","7008","..","6922","..","7277","..","7491","..","7939","..","7890","..","7836","..","7702","..","7620",".."
