,(Intercept),corn_med,cpi,for_prod,for_rem,nfi,rice_med,rub_med,sug_med,time,df,logLik,AICc,delta,weight
427,-4791.835772,NA,-0.168474102,NA,0.059378262,NA,0.227767099,NA,0.391473919,1.080235017,7,-125.5158646,273.0317292,7.766194832,0.003215156
441,-4822.562129,NA,NA,NA,0.059664408,-0.026976868,0.215473085,NA,0.35901198,1.076354041,7,-125.5593232,273.1186464,7.853112024,0.003078422
410,-4812.594664,0.362380408,NA,NA,0.059574004,0.115332508,NA,NA,0.347768194,1.084721863,7,-125.5956294,273.1912588,7.925724413,0.002968661
396,-4798.740005,0.380652541,-0.190667594,NA,0.059462335,NA,NA,NA,0.4079182,1.0779143,7,-125.6540365,273.308073,8.042538674,0.002800236
399,-4782.277215,NA,0.103368262,-9.83E-05,0.059222437,NA,NA,NA,0.334231206,1.052437046,7,-125.681387,273.3627739,8.097239538,0.002724687
413,-4763.568571,NA,NA,-9.30E-05,0.059051255,0.042615555,NA,NA,0.354369581,1.057941214,7,-125.6850177,273.3700354,8.104501001,0.002714812
458,-4824.536124,0.285305429,NA,NA,0.059693248,NA,NA,0.005526983,0.343694429,1.07502064,7,-125.6969082,273.3938163,8.128281975,0.002682723
303,-4759.753342,NA,0.196277548,-0.000127216,0.058950446,NA,0.231569344,NA,NA,1.044404099,7,-125.7779411,273.5558821,8.290347769,0.002473909
302,-4731.985311,0.127480103,NA,-0.000121406,0.058699993,NA,0.219713409,NA,NA,1.047119958,7,-125.8151388,273.6302776,8.364743186,0.002383575
317,-4731.405791,NA,NA,-0.000128378,0.058689654,-0.04715601,0.275864826,NA,NA,1.042528278,7,-125.839967,273.679934,8.414399597,0.002325124
473,-4806.262926,NA,NA,NA,0.059509239,0.069381168,NA,0.017322055,0.299865712,1.078257436,7,-125.8726135,273.745227,8.479692598,0.002250443
459,-4803.969248,NA,-0.071699633,NA,0.059496288,NA,NA,0.018259636,0.322113721,1.073561237,7,-125.9067582,273.8135165,8.54798209,0.002174899
362,-4791.386776,-0.072323518,NA,NA,0.059336561,NA,0.2183855,0.027463894,NA,1.071012674,7,-126.0295341,274.0590682,8.793533789,0.001923615
363,-4785.758927,NA,-0.043247619,NA,0.059286506,NA,0.204348166,0.026221334,NA,1.071356345,7,-126.0360725,274.0721451,8.806610718,0.001911079
377,-4791.544456,NA,NA,NA,0.059339731,0.015691154,0.194581811,0.025519034,NA,1.072205322,7,-126.0374188,274.0748375,8.809303138,0.001908508
286,-4734.387235,0.409348573,NA,-0.000103611,0.058744824,0.135482892,NA,NA,NA,1.05896739,7,-126.0788748,274.1577496,8.892215192,0.001831006
411,-4816.713995,NA,-0.015304453,NA,0.059628748,0.070851268,NA,NA,0.396715709,1.081647883,7,-126.0977379,274.1954758,8.929941442,0.001796791
272,-4782.174368,0.295387296,0.236448192,-0.000117849,0.059188896,NA,NA,NA,NA,1.043412847,7,-126.1291867,274.2583735,8.99283912,0.001741164
346,-4785.774983,0.252751385,NA,NA,0.05929578,0.137389032,NA,0.021796823,NA,1.079725437,7,-126.2802981,274.5605962,9.295061802,0.001496969
287,-4797.586146,NA,0.386788776,-0.000126719,0.059326828,0.022212142,NA,NA,NA,1.041770986,7,-126.4026198,274.8052396,9.539705263,0.001324613
332,-4811.985006,0.179270895,0.056926705,NA,0.059552607,NA,NA,0.024185354,NA,1.068311614,7,-126.4291483,274.8582965,9.592762149,0.001289935
347,-4792.527159,NA,0.041779186,NA,0.059359164,0.096697774,NA,0.03026226,NA,1.075050993,7,-126.4355643,274.8711286,9.605594276,0.001281686
314,-4799.037804,0.285909241,NA,NA,0.059431471,0.09332668,0.137269434,NA,NA,1.080708902,7,-126.4794049,274.9588097,9.693275375,0.00122671
300,-4828.094685,0.173213936,0.11424332,NA,0.059706176,NA,0.185668109,NA,NA,1.073169867,7,-126.5023332,275.0046664,9.739132061,0.001198903
315,-4836.463151,NA,0.170991513,NA,0.059782211,-0.011380607,0.236842693,NA,NA,1.072393178,7,-126.5699563,275.1399126,9.874378279,0.00112051
284,-4797.930624,0.449518524,0.021901559,NA,0.059425482,0.1721465,NA,NA,NA,1.084985457,7,-126.5780326,275.1560653,9.890530903,0.001111497
493,-4724.985524,NA,NA,-0.000123984,0.058616437,NA,0.183977838,0.021236457,0.190012839,1.045679316,8,-124.7235969,276.524117,11.25858258,0.000560841
366,-4682.449165,-0.281995527,NA,-0.000159887,0.058162347,NA,0.262223619,0.038933659,NA,1.034101395,8,-124.803707,276.6843371,11.41880273,0.000517664
381,-4703.373012,NA,NA,-0.000148402,0.058382071,-0.043496072,0.203571355,0.030602681,NA,1.033760328,8,-124.9422376,276.9613983,11.6958639,0.000450698
367,-4690.426309,NA,-0.051959452,-0.00014576,0.058260419,NA,0.195590524,0.031554758,NA,1.037894061,8,-124.9527597,276.9824425,11.71690811,0.00044598
445,-4760.305793,NA,NA,-0.000104218,0.058990541,-0.065639815,0.23603976,NA,0.31194031,1.049639274,8,-125.0160956,277.1091142,11.84357982,0.00041861
430,-4758.201035,0.108342647,NA,-9.71E-05,0.058974336,NA,0.181172038,NA,0.306177009,1.055623844,8,-125.0189886,277.1149004,11.849366,0.0004174
431,-4741.336803,NA,-0.091696235,-9.78E-05,0.058816294,NA,0.226928544,NA,0.328415416,1.05691861,8,-125.0364934,277.1499098,11.88437546,0.000410157
462,-4740.123166,0.140205186,NA,-0.000115135,0.058787692,NA,NA,0.019991051,0.227746765,1.045949921,8,-125.1410838,277.3590906,12.09355625,0.000369426
477,-4725.063242,NA,NA,-0.000123788,0.058631852,0.034564509,NA,0.026424535,0.198689858,1.045468273,8,-125.1805221,277.4379673,12.17243295,0.00035514
463,-4725.349939,NA,-0.020340108,-0.000125421,0.058636899,NA,NA,0.026806251,0.205884448,1.04261201,8,-125.1909798,277.4588828,12.19334839,0.000351445
414,-4763.118669,0.332140731,NA,-8.34E-05,0.059040753,0.087857734,NA,NA,0.316553821,1.063452424,8,-125.2526915,277.5823062,12.31677179,0.000330413
400,-4759.063292,0.332560113,-0.097062714,-8.50E-05,0.059013773,NA,NA,NA,0.351785291,1.057400395,8,-125.3065009,277.6899249,12.42439055,0.000313103
491,-4771.545759,NA,-0.233215831,NA,0.059174906,NA,0.212416316,0.014424149,0.332236143,1.078128562,8,-125.3663465,277.809616,12.54408166,0.000294915
428,-4783.36474,0.212968909,-0.239180747,NA,0.059302852,NA,0.168279266,NA,0.398838329,1.080243484,8,-125.4019842,277.8808915,12.61535715,0.00028459
