,(Intercept),agr_gdp.lag2,dev_agr.lag2,dev_env.lag2,fdi.lag2,for_rem.lag2,gdp.lag2,gdp_gr.lag2,ind_gdp.lag2,pop_den.lag2,time,df,logLik,AICc,delta,weight
874,-138.2465619,-28.74945401,NA,NA,-0.38065682,NA,-1.812546987,3.916045419,NA,633.2626965,1.000930531,8,-117.4191714,266.8383429,91.89921044,7.27E-21
941,-291.7711232,NA,NA,2.336094514,-0.620785259,NA,0.946080731,NA,-25.84532919,730.4112113,1.059139606,8,-117.4301303,266.8602605,91.92112808,7.19E-21
708,563.6243159,-92.1841112,-0.233470426,NA,NA,NA,NA,-1.674548879,-62.22661885,NA,1.481126175,7,-120.8497823,266.8995647,91.9604322,7.05E-21
877,-224.2362041,NA,NA,1.721412089,-0.531820547,NA,-0.654345931,4.776343431,NA,701.3670218,0.997433185,8,-117.4723651,266.9447302,92.00559773,6.89E-21
436,-7644.054322,57.41673287,-0.053403194,NA,NA,0.096399639,-7.153838997,NA,168.4632289,-318.0416494,NA,8,-117.4898605,266.9797209,92.04058845,6.78E-21
87,-8823.305176,NA,-0.510521832,-2.864472202,NA,0.102998298,NA,7.064446531,NA,NA,NA,6,-123.6784096,266.9931828,92.05405032,6.73E-21
868,-142.3168089,-43.50805239,-0.416240222,NA,NA,NA,-3.002779248,8.57032519,NA,631.5080794,1.022963416,8,-117.4994689,266.9989378,92.05980535,6.71E-21
442,-7723.688051,59.032452,NA,NA,0.012785406,0.097571874,-7.229046021,NA,171.4808821,-340.3726488,NA,8,-117.5040496,267.0080991,92.06896667,6.68E-21
24,-8923.141009,13.04826064,-0.413607101,-2.673065577,NA,0.104197858,NA,NA,NA,NA,NA,6,-123.7079839,267.0523315,92.11319906,6.53E-21
377,-6673.372402,NA,NA,NA,-0.619600572,0.084651131,-6.633344815,17.78670645,NA,-142.1234872,NA,7,-120.9563682,267.1127363,92.17360388,6.34E-21
279,-8672.184806,NA,-0.439552662,-2.579157223,NA,0.100460817,NA,NA,NA,61.09500639,NA,6,-123.7425189,267.1214014,92.18226891,6.31E-21
621,793.9930061,NA,NA,1.822715569,-0.55043457,NA,-3.449870805,13.06147977,NA,NA,1.184483257,7,-120.9657433,267.1314866,92.19235415,6.28E-21
122,-6352.231037,2.505112971,NA,NA,-0.640357662,0.079083613,-6.315838928,17.28457679,NA,NA,NA,7,-121.0058113,267.2116226,92.27249014,6.03E-21
125,-6330.16904,NA,NA,-0.119821636,-0.629472314,0.078838526,-6.404191434,17.16848751,NA,NA,NA,7,-121.0065774,267.2131549,92.27402242,6.03E-21
932,-190.9488847,-50.9745151,-0.336667245,NA,NA,NA,-1.892746954,NA,-11.16525662,636.8545855,1.076340332,8,-117.6336021,267.2672043,92.32807181,5.87E-21
119,-6551.403052,NA,-0.722406902,-3.736746894,NA,0.081555133,-8.417058025,30.89472788,NA,NA,NA,7,-121.0349305,267.2698611,92.33072864,5.86E-21
808,-194.6746957,-45.88626958,-0.328237009,0.038954829,NA,NA,-2.111810706,NA,NA,643.538753,1.052270954,8,-117.6524993,267.3049987,92.36586621,5.76E-21
60,-6564.174202,-11.22925054,-0.34785083,NA,-0.573145136,0.080742786,-4.976512937,NA,NA,NA,NA,7,-121.0666836,267.3333672,92.39423477,5.68E-21
63,-6723.989797,NA,-0.346628421,-0.377034982,-0.572809237,0.082480416,-4.60862914,NA,NA,NA,NA,7,-121.0913225,267.3826449,92.44351247,5.54E-21
315,-6592.588738,NA,-0.347614104,NA,-0.597932048,0.080423885,-4.521180394,NA,NA,43.47903633,NA,7,-121.0947283,267.3894566,92.45032412,5.52E-21
1001,-222.716323,NA,NA,NA,-0.463934638,NA,-0.867500352,5.981095481,-3.636460332,705.9139864,0.998668601,8,-117.7189622,267.4379244,92.49879191,5.39E-21
745,806.9657753,NA,NA,NA,-0.422223841,NA,-4.388931303,14.4262908,15.18911941,NA,1.149536844,7,-121.1268374,267.4536748,92.51454238,5.35E-21
