,(Intercept),corn.med.lag1,cpi.lag1,for_prod.lag1,for_rem.lag1,nfi.lag1,rice_med.lag1,rub_med.lag1,sug_med.lag1,time,df,logLik,AICc,delta,weight
4,911.5139545,0.847114046,-5.298201954,NA,NA,NA,NA,NA,NA,NA,4,-160.51929,331.5385801,79.26680616,1.05E-18
35,902.4523866,NA,-4.692584444,NA,NA,NA,-0.23463859,NA,NA,NA,4,-160.5567808,331.6135615,79.34178762,1.01E-18
131,903.5159911,NA,-4.799305211,NA,NA,NA,NA,NA,-0.095468251,NA,4,-160.5697532,331.6395063,79.36773242,9.98E-19
220,-6030.532687,-0.132967229,-2.170791149,NA,0.073424097,0.404742705,NA,0.049106119,-0.52754406,NA,8,-151.9965571,331.9931142,79.72134029,8.36E-19
133,788.1469529,NA,NA,-0.000626591,NA,NA,NA,NA,-1.355136031,NA,4,-160.9844157,332.4688314,80.19705748,6.59E-19
21,785.6097153,NA,NA,-0.000638724,NA,1.031115459,NA,NA,NA,NA,4,-161.0371112,332.5742225,80.30244855,6.25E-19
37,786.6629246,NA,NA,-0.000568174,NA,NA,-0.810922373,NA,NA,NA,4,-161.1066883,332.7133765,80.44160262,5.83E-19
49,808.2212765,NA,NA,NA,NA,1.412493534,-1.383622369,NA,NA,NA,4,-161.1525899,332.8051798,80.53340585,5.57E-19
6,782.5836617,-0.972024721,NA,-0.000605763,NA,NA,NA,NA,NA,NA,4,-161.2105487,332.9210974,80.64932352,5.26E-19
23,921.2764117,NA,-5.366753149,-0.000623475,NA,1.493685498,NA,NA,NA,NA,5,-159.5255562,333.0511125,80.77933855,4.93E-19
145,802.6797862,NA,NA,NA,NA,1.053072444,NA,NA,-1.424539337,NA,4,-161.2784604,333.0569209,80.78514697,4.91E-19
69,778.5323383,NA,NA,-0.000591104,NA,NA,NA,0.001432443,NA,NA,4,-161.2857959,333.0715919,80.79981796,4.88E-19
161,799.72431,NA,NA,NA,NA,NA,-0.763044879,NA,-1.059020652,NA,4,-161.3764881,333.2529762,80.98120224,4.45E-19
