,(Intercept),corn_med.lag1,cpi.lag1,for_prod.lag1,nfi.lag1,rice_med.lag1,rub_med.lag1,sug_med.lag1,time,df,logLik,AICc,delta,weight
110,800.4901607,-1.766459398,NA,-0.000803111,1.204609263,NA,0.167331821,-2.368219992,NA,7,-160.2928118,343.2010083,38.08208485,1.30E-09
116,914.1887809,0.455723946,-5.250705453,NA,NA,-0.486168309,0.113883143,-0.541407986,NA,7,-160.2967462,343.208877,38.0899536,1.30E-09
62,806.1604943,1.927026007,NA,-0.000592704,2.033971164,-2.107320048,-0.011677805,NA,NA,7,-160.4565193,343.5284233,38.40949981,1.10E-09
118,793.3876871,-1.649422738,NA,-0.00072284,NA,-0.371034115,0.161183707,-2.010968922,NA,7,-160.6104904,343.8363655,38.71744202,9.47E-10
122,821.616698,2.005313399,NA,NA,2.103615396,-2.16019308,0.039936922,-1.596566652,NA,7,-160.6331155,343.8816156,38.76269213,9.26E-10
64,960.4661338,3.380556767,-6.524637545,-0.000586812,2.673842215,-2.052236469,0.065504534,NA,NA,8,-158.605864,345.211728,40.09280453,4.76E-10
96,952.7653937,4.080435005,-5.929360582,-0.000569024,2.827400565,-2.216789859,NA,-0.456129706,NA,8,-158.6361214,345.2722428,40.15331938,4.62E-10
127,932.6969297,NA,-5.348817943,-0.000736378,2.065356431,-1.020949843,0.196760239,-1.393411333,NA,8,-158.7058755,345.4117509,40.29282748,4.31E-10
112,932.9651124,-0.091618476,-5.84013962,-0.000734025,1.680094083,NA,0.176710021,-1.291577978,NA,8,-158.9778855,345.9557709,40.83684749,3.28E-10
124,964.2202411,3.860827655,-6.273251996,NA,2.67664809,-2.241562124,0.053899101,-0.478945738,NA,8,-159.1451865,346.290373,41.1714496,2.78E-10
120,901.6110098,-0.631272317,-4.942106312,-0.000659681,NA,-0.163060387,0.176899396,-1.064853089,NA,8,-159.6818808,347.3637616,42.24483815,1.62E-10
126,815.2583982,0.882430491,NA,-0.000725408,2.111336415,-1.793596365,0.110548033,-2.110629454,NA,8,-159.9048621,347.8097242,42.69080079,1.30E-10
128,951.4252909,2.762478746,-5.960979098,-0.000649889,2.655040614,-1.909079839,0.116464167,-0.995125063,NA,9,-158.4776975,351.3190313,46.20010783,2.25E-11
