CODEKHUM,KHUM_NAME,perc_change_dir,perc_change
20301,Tuol Ta Aek,#DIV/0!,#DIV/0!
60406,Sameakki,0,0
20605,Chrey,0,0
20307,Ou Mal,#DIV/0!,#DIV/0!
20302,Preaek Preah Sdach,#DIV/0!,#DIV/0!
110206,Srae Sangkom,0,0
60601,Chheu Teal,0,0
20308,Voat Kor,#DIV/0!,#DIV/0!
20809,Ou Dambang Pir,#DIV/0!,#DIV/0!
20808,Ou Dambang Muoy,#DIV/0!,#DIV/0!
170401,Anlong Samnar,-59.16666667,59.16666667
21201,,#DIV/0!,#DIV/0!
20806,Kampong Pring,0,0
20810,Voat Ta Muem,#DIV/0!,#DIV/0!
60401,Doung,0,0
20106,Phnum Sampov,0,0
240204,Ou Andoung,0,0
110204,Sokh Sant,0,0
60608,Sochet,-1.034126163,1.034126163
20104,Chheu Teal,0,0
20107,Snoeng,0,0
240201,Sala Krau,#DIV/0!,#DIV/0!
60609,Tum Ring,-4.66007022,4.66007022
60503,Sambour,0,0
100409,Srae Chis,0,0
60804,Kampong Chen Cheung,0,0
150105,Ou Ta Paong,0,0
60801,Banteay Stoung,0,0
20103,Bay Damram,#DIV/0!,#DIV/0!
60603,Klaeng,-0.502512563,0.502512563
20807,Reang Kesei,#DIV/0!,#DIV/0!
20606,Ta Loas,0,0
60501,Chhuk,0,0
60810,Preah Damrei,#DIV/0!,#DIV/0!
60202,Damrei Slab,0,0
20608,Prey Touch,0,0
100404,Kaoh Khnhaer,0,0
100403,Kbal Damrei,0,0
20704,Traeng,0,0
60806,Msar Krang,-49.49494949,49.49494949
20102,Kantueu Pir,0,0
60502,Koul,-6.231884058,6.231884058
60811,Rung Roeang,#DIV/0!,#DIV/0!
240203,Stueng Kach,0,0
60205,Ni Pechr,0,0
60805,Kampong Chen Tboung,#DIV/0!,#DIV/0!
20607,Kakaoh,0,0
150104,Me Tuek,-15.51724138,15.51724138
20101,Kantueu Muoy,#DIV/0!,#DIV/0!
100402,Kampong Cham,0,0
60812,Samprouch,-24.94004796,24.94004796
110401,Krang Teh,0,0
60803,Chamnar Leu,#DIV/0!,#DIV/0!
110402,Bu Chri,0,0
20105,Chaeng Mean Chey,0,0
21301,Thipakdei,#DIV/0!,#DIV/0!
60802,Chamnar Kraom,-4.851330203,4.851330203
240103,Tuol Lvea,0,0
240101,Pailin,-0.111234705,0.111234705
240104,Ba Yakha,0,0
60807,Peam Bang,-42.30769231,42.30769231
60504,Sraeung,0,0
60208,Tbaeng,0,0
20702,Andaeuk Haeb,0,0
240102,Ou Tavau,-0.666666667,0.666666667
60209,Trapeang Ruessei,0,0
60207,San Kor,0,0
60201,Chey,0,0
150101,Boeng Bat Kandaol,-56.25,56.25
60505,Tang Krasau,0,0
150107,Snam Preah,-11.11111111,11.11111111
20604,Ruessei Krang,0,0
21303,Hab,#DIV/0!,#DIV/0!
20703,Phlov Meas,0,0
20602,Kear,#DIV/0!,#DIV/0!
21305,Doun Ba,0,0
150206,Srae Sdok,#DIV/0!,#DIV/0!
20601,Moung Ruessei,#DIV/0!,#DIV/0!
150206,Srae Sdok,#DIV/0!,#DIV/0!
150206,Srae Sdok,#DIV/0!,#DIV/0!
150206,Srae Sdok,#DIV/0!,#DIV/0!
150206,Srae Sdok,#DIV/0!,#DIV/0!
21302,Koas Krala,#DIV/0!,#DIV/0!
150206,Srae Sdok,-4.891304348,4.891304348
150206,Srae Sdok,#DIV/0!,#DIV/0!
150206,Srae Sdok,#DIV/0!,#DIV/0!
150206,Srae Sdok,#DIV/0!,#DIV/0!
60701,Boeng Lvea,-1.881134133,1.881134133
150206,Srae Sdok,#DIV/0!,#DIV/0!
60204,Kampong Svay,#DIV/0!,#DIV/0!
150206,Srae Sdok,#DIV/0!,#DIV/0!
60705,Kraya,-8.439432521,8.439432521
100407,Sambour,0,0
100408,Sandan,0,0
20603,Prey Svay,#DIV/0!,#DIV/0!
100212,Sambok,0,0
150208,Sya,#DIV/0!,#DIV/0!
150208,Sya,-1.34529148,1.34529148
21304,Preah Phos,0,0
20609,Robas Mongkol,#DIV/0!,#DIV/0!
100202,Changkrang,0,0
150108,Svay Doun Kaev,#DIV/0!,#DIV/0!
21306,Chhnal Moan,-0.255754476,0.255754476
110101,Chong Phlah,0,0
150102,Boeng Khnar,#DIV/0!,#DIV/0!
150208,Sya,#DIV/0!,#DIV/0!
60709,Ti Pou,0,0
100410,Voadthonak,0,0
60206,Phat Sanday,-25.98425197,25.98425197
20900,,-0.164798945,0.164798945
60203,Kampong Kou,0,0
150208,Sya,#DIV/0!,#DIV/0!
60309,achar Leak,#DIV/0!,#DIV/0!
60308,Prey Ta Hu,#DIV/0!,#DIV/0!
150208,Sya,#DIV/0!,#DIV/0!
150208,Sya,#DIV/0!,#DIV/0!
60307,Prey Kuy,#DIV/0!,#DIV/0!
60305,Kdei Doung,#DIV/0!,#DIV/0!
150208,Sya,#DIV/0!,#DIV/0!
150208,Sya,#DIV/0!,#DIV/0!
150208,Sya,0,0
100302,Chrouy Banteay,-0.414078675,0.414078675
60311,Tboung Krapeu,0,0
150208,Sya,#DIV/0!,#DIV/0!
100215,Thmei,0,0
60306,Kampong Krabau,#DIV/0!,#DIV/0!
110404,Bu Sra,-0.038328862,0.038328862
60303,Kampong Roteh,#DIV/0!,#DIV/0!
60301,Damrei Choan Khla,#DIV/0!,#DIV/0!
150203,Kandieng,0,0
60302,Kampong Thum,#DIV/0!,#DIV/0!
60304,Ou Kanthor,#DIV/0!,#DIV/0!
150306,Kampong Pou,-3.448275862,3.448275862
150204,Kanhchor,0,0
20611,Preaek Chik,0,0
60704,Kakaoh,0,0
60310,Srayov,0,0
150502,Kaoh Chum,#DIV/0!,#DIV/0!
60702,Chroab,0,0
