CommCode,Commune,2010,diffPix,2011,diffPix,2012,diffPix,2013,diffPix,2014,diffPix,2015,diffPix,,,
40406,Pralay Meas,12,na,12,0,12,0,12,0,12,0,12,0,,,
40407,Samraong Saen,108,na,44,64,44,0,44,0,44,0,44,0,,,
40408,Svay Rumpear,38,na,38,0,38,0,38,0,38,0,38,0,,,
40409,Trangel,14,na,14,0,14,0,14,0,14,0,14,0,,,
40504,Kampong Tralach,3,na,3,0,3,0,3,0,3,0,3,0,,,
40506,Ou Ruessei,2,na,2,0,2,0,2,0,2,0,2,0,,,
40602,Banteay Preal,3,na,3,0,3,0,3,0,3,0,3,0,,,
40603,Cheung Kreav,2,na,2,0,2,0,2,0,2,0,2,0,,,
40604,Chrey Bak,4,na,4,0,4,0,4,0,4,0,4,0,,,
40605,Kouk Banteay,16,na,16,0,16,0,16,0,16,0,16,0,,,
40607,Pongro,8,na,8,0,8,0,8,0,8,0,8,0,,,
40608,Prasneb,102,na,102,0,102,0,102,0,102,0,102,0,,,
40611,Srae Thmei,1,na,1,0,1,0,1,0,1,0,1,0,,,
40612,Svay Chrum,75,na,75,0,75,0,75,0,75,0,75,0,,,
40701,Chhean Laeung,10,na,10,0,10,0,10,0,10,0,10,0,,,
40703,Krang Lvea,61,na,61,0,61,0,61,0,61,0,61,0,,,
40704,Peam,1,na,1,0,1,0,1,0,1,0,1,0,,,
40707,Svay Chuk,2,na,2,0,2,0,2,0,2,0,2,0,,,
40802,Chieb,2433,na,2433,0,2433,0,2433,0,2433,0,2433,0,,,
40803,Chaong Maong,1,na,1,0,1,0,1,0,1,0,1,0,,,
40804,Kbal Tuek,795,na,795,0,795,0,795,0,795,0,795,0,,,
40805,Khlong Popok,103,na,103,0,103,0,103,0,103,0,103,0,,,
40806,Krang Skear,1668,na,1668,0,1668,0,1668,0,1668,0,1668,0,,,
40808,Tuol Khpos,294,na,294,0,294,0,294,0,294,0,294,0,,,
50102,Kat Phluk,60,na,60,0,60,0,60,0,60,0,60,0,,,
50104,Pheakdei,22,na,22,0,22,0,22,0,22,0,22,0,,,
50110,Svay Chacheb,63,na,63,0,63,0,63,0,63,0,63,0,,,
50112,Tuol Sala,25,na,25,0,25,0,25,0,25,0,25,0,,,
50115,Preah Khae,16,na,16,0,16,0,16,0,16,0,16,0,,,
50311,Srang,78,na,78,0,78,0,78,0,78,0,78,0,,,
50401,Haong Samnam,557,na,557,0,557,0,557,0,557,0,557,0,,,
50402,Reaksmei Sameakki,2233,na,2233,0,2233,0,2233,0,2233,0,2233,0,,,
50403,Trapeang Chour,4413,na,4412,1,4412,0,4410,2,4410,0,4410,0,,,
50404,Sangkae Satob,1503,na,1503,0,1503,0,1503,0,1503,0,1503,0,,,
50405,Ta Sal,4015,na,4015,0,4015,0,4015,0,4015,0,4015,0,,,
50601,Chambak,416,na,416,0,416,0,416,0,416,0,416,0,,,
50602,Choam Sangkae,363,na,363,0,363,0,363,0,363,0,363,0,,,
50603,Dambouk Rung,549,na,549,0,549,0,549,0,549,0,549,0,,,
50604,Kiri Voan,12,na,12,0,12,0,12,0,12,0,12,0,,,
50605,Krang Dei Vay,1102,na,1102,0,1102,0,1104,-2,1104,0,1104,0,,,
50606,Moha Sang,5,na,5,0,5,0,5,0,5,0,5,0,,,
50607,Ou,23,na,23,0,23,0,23,0,23,0,23,0,,,
50608,Prey Rumduol,14,na,14,0,14,0,14,0,14,0,14,0,,,
50609,Prey Kmeng,82,na,82,0,82,0,82,0,82,0,82,0,,,
50610,Tang Samraong,184,na,184,0,184,0,184,0,184,0,184,0,,,
50611,Tang Sya,3,na,3,0,3,0,3,0,3,0,3,0,,,
50613,Traeng Trayueng,526,na,526,0,526,0,526,0,526,0,526,0,,,
50704,Krang Ampil,66,na,66,0,66,0,66,0,66,0,66,0,,,
50710,Skuh,1,na,1,0,1,0,1,0,1,0,1,0,,,
50712,Thommoda Ar,41,na,41,0,41,0,41,0,41,0,41,0,,,
50714,Tumpoar Meas,472,na,472,0,472,0,472,0,472,0,472,0,,,
50801,Amleang,1044,na,1044,0,1044,0,1044,0,1044,0,1044,0,,,
50804,Prambei Mom,368,na,368,0,368,0,368,0,368,0,368,0,,,
50806,Toap Mean,247,na,247,0,247,0,247,0,247,0,247,0,,,
50808,Yea Angk,556,na,556,0,556,0,556,0,556,0,556,0,,,
60101,Bak Sna,17,na,17,0,17,0,17,0,17,0,17,0,,,
60102,Ballangk,3,na,3,0,3,0,3,0,3,0,3,0,,,
60103,Baray,601,na,601,0,601,0,601,0,601,0,601,0,,,
60104,Boeng,15,na,15,0,15,0,15,0,15,0,15,0,,,
60105,Chaeung Daeung,1,na,1,0,1,0,1,0,1,0,1,0,,,
60108,Chong Doung,361,na,361,0,361,0,361,0,377,-16,377,0,,,
60109,Chrolong,3,na,3,0,3,0,3,0,3,0,3,0,,,
60110,Kokir Thum,7,na,7,0,7,0,7,0,7,0,7,0,,,
60112,Andoung Pou,8,na,8,0,8,0,8,0,8,0,8,0,,,
60113,Pongro,33,na,33,0,33,0,33,0,33,0,33,0,,,
60115,Sralau,220,na,216,4,216,0,216,0,216,0,216,0,,,
60118,Treal,370,na,342,28,342,0,342,0,342,0,342,0,,,
60201,Chey,4,na,4,0,4,0,4,0,4,0,4,0,,,
60202,Damrei Slab,26,na,26,0,26,0,26,0,26,0,26,0,,,
60203,Kampong Kou,659,na,659,0,659,0,659,0,659,0,659,0,,,
60205,Ni Pechr,205,na,205,0,205,0,205,0,205,0,205,0,,,
60206,Phat Sanday,254,na,188,66,188,0,188,0,188,0,188,0,,,
60207,San Kor,311,na,311,0,311,0,311,0,311,0,311,0,,,
60208,Tbaeng,49,na,49,0,49,0,49,0,49,0,49,0,,,
60209,Trapeang Ruessei,76,na,76,0,76,0,76,0,76,0,76,0,,,
60310,Srayov,265,na,265,0,265,0,265,0,265,0,265,0,,,
60311,Tboung Krapeu,4,na,4,0,4,0,4,0,4,0,4,0,,,
60401,Doung,10,na,10,0,10,0,10,0,10,0,10,0,,,
60402,Kraya,886,na,879,7,853,26,853,0,853,0,853,0,,,
60403,Phan Nheum,121,na,121,0,121,0,121,0,121,0,121,0,,,
60404,Sa Kream,2877,na,2840,37,2831,9,2825,6,2825,0,2825,0,,,
60405,Sala Visai,1392,na,1379,13,1376,3,1365,11,1356,9,1356,0,,,
60406,Sameakki,58,na,58,0,58,0,58,0,58,0,58,0,,,
60407,Tuol Kreul,203,na,203,0,188,15,188,0,188,0,188,0,,,
60501,Chhuk,6,na,6,0,6,0,6,0,6,0,6,0,,,
60502,Koul,690,na,647,43,643,4,643,0,643,0,643,0,,,
60503,Sambour,246,na,246,0,246,0,246,0,246,0,246,0,,,
60504,Sraeung,1055,na,1055,0,1047,8,1030,17,1030,0,1030,0,,,
60505,Tang Krasau,178,na,178,0,178,0,178,0,178,0,178,0,,,
60601,Chheu Teal,547,na,547,0,533,14,529,4,529,0,529,0,,,
60602,Dang Kambet,4746,na,4663,83,4616,47,4599,17,4599,0,4599,0,,,
