,(Intercept),agr_gdp,dev_agri,dev_env,fdi,for_rem,gdp,gdp_gr,ind_gdp,pop_den,time,df,logLik,AICc,delta,weight
946,-6408.749233,1.711552136,NA,NA,NA,0.085550448,0.34010987,NA,7.687370989,-604.469086,1.059354695,8,-89.77266289,208.6362349,11.75758291,0.000793943
859,-6301.395281,NA,0.036822927,NA,0.022430305,0.084342918,NA,-2.066095869,NA,-591.3645748,1.077222518,8,-89.87735221,208.8456135,11.96696154,0.000715029
987,-6338.33253,NA,0.056525417,NA,0.055757561,0.084775092,NA,-2.356837796,15.33987742,-604.7165053,1.05589205,9,-86.44779352,208.895587,12.01693507,0.000697384
981,-6307.655324,NA,NA,0.175766817,NA,0.084591068,NA,-0.901735803,7.744845117,-606.9889375,1.062372839,8,-89.9768727,209.0446545,12.16600253,0.000647295
887,-6474.222098,NA,0.049896873,0.404898566,NA,0.085781213,0.81150557,-4.420275814,NA,-581.728287,1.080846471,9,-86.62417312,209.2483462,12.36969427,0.000584617
918,-6317.206136,-1.206057819,NA,0.151545968,NA,0.084732583,NA,NA,7.6905034,-610.3856699,1.056023093,8,-90.0823545,209.2556181,12.37696613,0.000582495
796,-6317.717129,-4.485726259,0.033222991,NA,0.00926505,0.084672933,NA,NA,NA,-604.4331833,1.058099448,8,-90.0899972,209.2709035,12.39225153,0.00057806
978,-6315.596822,-1.029521723,NA,NA,NA,0.084723713,NA,-0.703354367,7.724393666,-610.7272471,1.058557349,8,-90.13439538,209.3596999,12.48104789,0.000552957
1011,-6443.772368,NA,0.052260146,NA,NA,0.085785493,0.550152722,-2.885177467,8.28691355,-602.1315737,1.060227304,9,-86.70904881,209.4180976,12.53944566,0.000537044
799,-6301.26163,NA,0.033949483,0.237055772,-0.002349369,0.084453318,NA,NA,NA,-597.594068,1.066999311,8,-90.19807022,209.4870495,12.60839756,0.000518845
822,-6400.527448,-1.34377252,NA,0.191770624,NA,0.085358273,0.365876967,NA,NA,-596.2700333,1.066151787,8,-90.3258564,209.7426219,12.86396993,0.000456605
829,-6409.488297,NA,NA,0.19730156,-0.003716712,0.085432887,0.411438357,NA,NA,-594.5726745,1.068231656,8,-90.34589791,209.7827049,12.90405294,0.000447545
854,-6292.183278,-4.596013317,NA,0.265813438,NA,0.084353651,NA,-1.473390347,NA,-601.5742563,1.068182442,8,-90.48097707,210.0528632,13.17421126,0.000390996
