fid,KHUM50_,KHUM50_ID,CODEKHUM,KHUM_NAME,PERIMETER,AREA,HISTO_50,HISTO_60,HISTO_61,HISTO_62,HISTO_70,HISTO_80,HISTO_90,HISTO_100
206,207,190102,190102,Kbal Romeas,150833.23,737401567.9,680,2474,0,0,3,0,0,4605
207,208,190501,190501,Anlong Phe,69977.93,251494358.9,1724,19,0,0,0,0,0,950
208,209,170715,170715,Trei Nhoar,34072.37,54538533.14,17,0,0,0,0,0,0,0
209,210,10605,10605,Ou Ambel,44005.32,33019851.4,0,0,0,0,0,0,0,0
210,211,160506,160506,Seda,119623.45,449224810.3,46,2104,0,0,15,0,0,2302
211,212,10503,10503,Kuttasat,30299.79,46442249.31,0,0,0,0,0,0,0,0
212,213,10603,10603,Kaoh Pong Satv,31456.41,15513241.64,0,0,0,0,0,0,0,0
213,214,170716,170716,Yeang,25378.95,43828462.2,0,0,0,0,0,0,0,0
214,215,160505,160505,Pa Tang,44436.09,104083571.1,5,447,0,0,32,0,0,233
215,216,170609,170609,Sranal,44316.07,100787239.4,0,0,0,0,0,0,0,5
216,217,170603,170603,Kralanh,27608.02,22412834.15,0,0,0,0,0,0,0,0
217,218,10505,10505,Samraong,47986.08,96833231.63,0,0,0,0,0,0,0,0
218,219,170712,170712,Reul,43605.76,75498756.09,9,0,0,0,0,0,0,0
219,220,10902,10902,Malai,33892.82,33369884.08,0,0,0,0,0,0,0,0
220,221,10906,10906,Ta Kong,61231.87,133492115.1,0,0,0,0,0,0,0,0
221,222,10903,10903,Ou Sampor,47220.92,88127321.25,15,0,0,0,0,0,0,42
222,223,10904,10904,Ou Sralau,34671.43,54743517.81,0,0,0,0,0,0,0,0
223,224,10205,10205,Koy Maeng,25294.85,20337994.71,0,0,0,0,0,0,0,0
224,225,170204,170204,Svay Chek,32905.12,42728523.85,4,0,0,0,0,0,0,0
225,226,160401,160401,Serei Mongkol,152764.34,545484080.4,0,2754,0,0,37,0,0,3315
226,227,10901,10901,Boeng Beng,30932.63,30804902.28,0,0,0,0,0,0,0,0
