"","(Intercept)","for_rem","prod_cass.lag1","prod_corn.lag1","prod_rub.lag1","prod_sug.lag1","time","df","logLik","AICc","delta","weight"
"28",-6049.97616541272,0.0737038104005418,3.22709873505562,NA,-4.6700571719435,0.127885058303996,NA,6,-150.392294610246,318.784589220492,64.0543986992645,6.43166088621987e-15
"6",-6709.05396317121,0.0806987403096319,NA,0.384245808626351,NA,NA,NA,4,-154.250495753584,319.000991507168,64.2708009859401,5.77207517111427e-15
"30",-6114.49674744803,0.0742394568632816,NA,2.78847930183462,-5.00495655285322,0.033222502665025,NA,6,-150.852429708219,319.704859416438,64.9746688952105,4.05965384286298e-15
"20",-6353.21680259648,0.0770378947459143,1.89887784739785,NA,NA,-0.137579161212795,NA,5,-153.356089423995,320.712178847991,65.9819883267627,2.45330965817102e-15
"8",-6615.93178914211,0.0798009245198467,2.6509429290451,-0.599512443035166,NA,NA,NA,5,-153.550068530251,321.100137060502,66.3699465392743,2.02073011174799e-15
"22",-6202.84600478562,0.0754277742818756,NA,0.368280396701913,NA,-0.203256054590349,NA,5,-153.704339515955,321.408679031909,66.6784885106812,1.7318460177122e-15
"32",-6246.46181710027,0.0756712201262959,2.70003676822612,1.9336518225874,-5.29413428080011,0.140006501880337,NA,7,-150.0136249016,322.642634418585,67.9124438973575,9.34456883737723e-16
"24",-6306.32129670423,0.0765604577419231,2.03828430125871,-0.382600015477585,NA,-0.132958339698099,NA,6,-153.343296351057,324.686592702114,69.9564021808858,3.36294191139746e-16
"9",802.577216366353,NA,NA,NA,-5.79602374912924,NA,NA,3,-158.875837548009,325.1634398019,70.4332492806718,2.64955740710768e-16
"11",805.257167399182,NA,2.47444496206394,NA,-5.90429324058057,NA,NA,4,-158.437133594294,327.374267188588,72.6440766673603,8.77199279782034e-17
"25",815.703272368557,NA,NA,NA,-4.91601807506413,-0.191611044188888,NA,4,-158.617843423703,327.735686847405,73.0054963261774,7.32178521525885e-17
"13",794.414464011991,NA,NA,1.28255254730594,-6.2211676860565,NA,NA,4,-158.790251794167,328.080503588335,73.3503130671069,6.16227365720334e-17
"17",820.929244238188,NA,NA,NA,NA,-0.438739352370009,NA,3,-160.348840348559,328.109445403,73.3792548817721,6.07374207722034e-17
"1",784.637142857143,NA,NA,NA,NA,NA,NA,2,-161.759536110206,328.185738887078,73.4555483658506,5.84641211998944e-17
"3",786.638276261696,NA,2.11174881887492,NA,NA,NA,NA,3,-161.518360926674,330.44848655923,75.7182960380023,1.88599272001838e-17
"5",799.180888851251,NA,NA,-1.96790377497588,NA,NA,NA,3,-161.573475263459,330.5587152328,75.8285247115719,1.78486001182365e-17
"27",811.896702851484,NA,2.03053196320764,NA,-5.40750489207868,-0.103940680345527,NA,5,-158.373165797019,330.746331594038,76.0161410728101,1.62503898585368e-17
"15",803.196155672208,NA,2.381370703421,0.307992824265971,-6.0023150529903,NA,NA,5,-158.432641294883,330.865282589766,76.135092068538,1.53120699332483e-17
"21",832.664138664071,NA,NA,-1.67607739590038,NA,-0.430855851765434,NA,4,-160.195191446655,330.89038289331,76.1601923720821,1.51211019766098e-17
"29",808.920013331023,NA,NA,0.912991570073997,-5.28386210547785,-0.177413813120079,NA,5,-158.57492203463,331.149844069261,76.4196535480328,1.32813482291056e-17
"19",820.252573821639,NA,0.418380433258298,NA,NA,-0.425766092701951,NA,4,-160.339451922052,331.178903844105,76.4487133228769,1.30897669323645e-17
"7",810.415679538578,NA,3.10589213101299,-3.08983258313764,NA,NA,NA,4,-161.09895197205,332.697903944099,77.9677134228716,6.12470581303131e-18
"23",834.005100840114,NA,1.25636898275311,-2.1578320821677,NA,-0.38963205096608,NA,5,-160.121852299237,334.243704598474,79.5135140772457,2.82760594432849e-18
"31",810.047024772262,NA,1.95289762482143,0.268545823722977,-5.49691066420294,-0.103116675005561,NA,6,-158.369733869599,334.739467739199,80.0092772179711,2.2068117507687e-18
