"","(Intercept)","corn_med.lag2","cpi.lag2","for_prod.lag2","for_rem","nfi.lag2","rice_med.lag2","rub_med.lag2","sug_med.lag2","time","df","logLik","AICc","delta","weight"
"416",-5046.25481464366,-0.252558922660902,-0.199935968655674,-0.00016793159314455,0.0622242505541068,-0.0466267358942556,NA,NA,0.12069639204345,1.03013207438254,9,-114.090877650563,264.181755301126,21.6621605322958,4.89674071876387e-06
"447",-5035.65108746444,NA,-0.327275306483065,-0.000163574789455941,0.0621153611395357,-0.0210685857794076,0.030387859371183,NA,0.126229488247298,1.03874417865889,9,-114.240914654171,264.481829308342,21.9622345395116,4.21450784024436e-06
"380",-4964.78305839363,-0.846326002952045,-0.315008253410734,NA,0.0613661266225765,-0.198375848050154,0.250750750667747,0.0418626394389022,NA,1.07225625986747,9,-114.6371418064,265.274283612801,22.75468884397,2.83574777697093e-06
"506",-5036.17964183843,-0.926956750046822,NA,NA,0.0620596437343333,-0.232701097866288,0.254998220885439,0.040579849732685,-0.0469009929887409,1.0728093127084,9,-114.782983380109,265.565966760217,23.0463719913867,2.4509215454136e-06
"492",-4908.30189019564,-0.582122958937853,-0.409245769623026,NA,0.0607920384427246,NA,0.127639958691836,0.0378759173531024,0.00600398526646583,1.07764629535592,9,-114.88399405172,265.767988103439,23.2483933346087,2.21544530341448e-06
"476",-4959.54506871389,-0.470414955516141,-0.329124438238088,NA,0.0613318526111914,-0.0667744452486244,NA,0.0347123966848101,0.0331708717119263,1.07140510983531,9,-114.969564980823,265.939129961645,23.4195351928148,2.03375226672416e-06
"507",-4964.3271779111,NA,-0.470450741386123,NA,0.0613858447370552,-0.0151984616017199,0.00684154201285543,0.0207455108176231,0.09898026930732,1.08092772994828,9,-115.352434481206,266.704868962412,24.1852741935811,1.38681949700929e-06
"444",-5014.8105739728,-0.376350157876084,-0.266160458210889,NA,0.0618957125309565,-0.137936046755436,0.148221772889194,NA,0.184159250775721,1.07224180260435,9,-115.42271128328,266.84542256656,24.3258277977291,1.29270405564516e-06
"510",-5048.45808381192,-1.28762315494122,NA,-0.000227070213571649,0.0621787196187141,-0.259257650195879,0.352902849097222,0.0619586986183139,-0.211452654065677,1.01663076057139,10,-111.968672483592,268.381789411629,25.8621946427984,5.99627151621812e-07
"384",-5000.2016457199,-1.10773362423879,-0.323720704563746,-0.000210656277905244,0.0617290474029175,-0.229106971739925,0.323063035972216,0.0534660975369984,NA,1.0204433337427,10,-112.058238436095,268.560921316634,26.0413265478032,5.48255870853851e-07
"496",-4929.25719172846,-0.906356014927949,-0.341321388511187,-0.000219488514103159,0.060990831428339,NA,0.201894677747085,0.057541489606063,-0.165393710414677,1.02443661863917,10,-112.314153156481,269.072750757406,26.553155988575,4.24464075853846e-07
"480",-4986.84864014966,-0.685265785084372,-0.254090539445137,-0.000207683319790857,0.0616027606024381,-0.0521079224044308,NA,0.0514134254175666,-0.118392758927487,1.01985320732386,10,-112.678132398005,269.800709240454,27.2811144716231,2.94962471703357e-07
"511",-4989.79569424355,NA,-0.456632912237985,-0.000182349852307267,0.0616417373098895,0.0225515074765892,-0.00226758376521146,0.0299970264515463,-0.00868981457931113,1.03909209335013,10,-113.633674253861,271.711792952166,29.192198183335,1.13443654533305e-07
"448",-5058.1382424159,-0.487765940355432,-0.180948068408406,-0.000172201062443239,0.0623329772240772,-0.142172739467776,0.184308120481027,NA,0.118762467176169,1.02974719852212,10,-113.882160840823,272.208766126089,29.6891713572589,8.84838182678331e-08
"508",-4964.85337654839,-0.845180078430649,-0.316099242485012,NA,0.0613670424266075,-0.198342996945082,0.250511331539133,0.041766128327759,0.00201112962977964,1.07225825307387,10,-114.637120955026,273.718686354496,31.1990915856653,4.15899926346822e-08
"512",-4996.42802073823,-1.22386453237454,-0.229939007287632,-0.000224380566763473,0.0616734925283102,-0.233950090189031,0.34847928591607,0.0625683967840096,-0.173923558934686,1.01689534009934,11,-111.867087099612,278.734174199223,36.2145794303927,3.38757949909397e-09
"257",692.535735145706,NA,NA,NA,NA,NA,NA,NA,NA,1.17939143246358,3,-141.33920299413,290.17840598826,47.6588112194292,1.10867980850768e-11
"259",757.91995038223,NA,-2.43144183023674,NA,NA,NA,NA,NA,NA,1.13245806371352,4,-140.367641305035,291.401949276737,48.8823545079067,6.0133584003047e-12
"273",695.752586592653,NA,NA,NA,NA,0.558994114086057,NA,NA,NA,1.19893801002898,4,-141.09230182817,292.851270323007,50.3316755541763,2.91340608130726e-12
"258",702.446163187449,-1.00003009987004,NA,NA,NA,NA,NA,NA,NA,1.15110135076085,4,-141.13486885387,292.936404374406,50.4168096055757,2.79199346892816e-12
"385",694.847409344511,NA,NA,NA,NA,NA,NA,NA,-0.255883750245704,1.17505193544142,4,-141.303299550172,293.27326576701,50.7536709981792,2.35920606519863e-12
"261",691.824073263106,NA,NA,-7.04473890467923e-05,NA,NA,NA,NA,NA,1.16258281155087,4,-141.320644285663,293.307955237993,50.7883604691623,2.31863908877414e-12
"321",691.60148413,NA,NA,NA,NA,NA,NA,0.00884292991653082,NA,1.18210099596596,4,-141.334271323663,293.335209313994,50.815614545163,2.28725721243601e-12
"289",692.829581087344,NA,NA,NA,NA,NA,-0.0175142829880176,NA,NA,1.17839676317315,4,-141.338955591036,293.344577848738,50.8249830799078,2.27656814287862e-12
"275",769.921408639069,NA,-2.71475155701578,NA,NA,0.761625975387983,NA,NA,NA,1.1536215131549,5,-139.870408248093,294.026530781899,51.5069360130687,1.61881215387008e-12
"323",763.384646473985,NA,-2.87334819744632,NA,NA,NA,NA,0.0607543401282523,NA,1.14254382855485,5,-140.142351528839,294.570417343393,52.0508225745625,1.23336889110838e-12
"291",757.620901573405,NA,-2.5927249974374,NA,NA,NA,0.27633045989374,NA,NA,1.14503819466851,5,-140.304060717506,294.893835720726,52.374240951895,1.04921280400926e-12
"387",761.718781016041,NA,-2.68370425434116,NA,NA,NA,NA,NA,0.330392334020444,1.13319179801237,5,-140.312627699276,294.910969684267,52.391374915436,1.04026260985918e-12
"260",757.958904960609,-0.349955293093584,-2.30392216314899,NA,NA,NA,NA,NA,NA,1.12501957051446,5,-140.343121403206,294.971957092127,52.4523623232966,1.00901992336215e-12
"263",757.215508870672,NA,-2.43202212810613,-7.12773698302478e-05,NA,NA,NA,NA,NA,1.11544020956161,5,-140.346701813105,294.979117911924,52.4595231430933,1.00541367821133e-12
"274",703.191380352027,-0.801421522671636,NA,NA,NA,0.471518440562226,NA,NA,NA,1.17320761415899,5,-140.964463033664,296.214640353043,53.6950455842124,5.42068910960914e-13
"322",701.57445481959,-1.44721517693516,NA,NA,NA,NA,NA,0.0501977872017379,NA,1.15383194079439,5,-141.01325398685,296.312222259415,53.7926274905844,5.16255698342601e-13
"401",699.363075429431,NA,NA,NA,NA,0.607181127354122,NA,NA,-0.36895693236664,1.19436589574991,5,-141.017506378371,296.320727042456,53.8011322736258,5.14065038062163e-13
"305",700.500437728248,NA,NA,NA,NA,0.651961693571624,-0.251101083548303,NA,NA,1.18792833975472,5,-141.046989889813,296.37969406534,53.8600992965092,4.99129848434107e-13
"277",694.945301861803,NA,NA,-8.65934403117099e-05,NA,0.570721038851473,NA,NA,NA,1.17868703040016,5,-141.063655921002,296.413026127719,53.8934313588883,4.90880269628337e-13
"290",700.291189683972,-1.33720899332974,NA,NA,NA,NA,0.327608939711199,NA,NA,1.16016835136859,5,-141.069776889279,296.425268064272,53.9056732954412,4.87884784058935e-13
"337",694.883350003534,NA,NA,NA,NA,0.558214878973494,NA,0.00818510654642989,NA,1.20141876193703,5,-141.08797159429,296.461657474293,53.9420627054629,4.79088133241325e-13
"262",701.859051758245,-1.03364689356672,NA,-9.10963340641906e-05,NA,NA,NA,NA,NA,1.12841493531693,5,-141.103408728213,296.49253174214,53.972936973309,4.71749177530583e-13
"386",703.990609379635,-0.970318731229237,NA,NA,NA,NA,NA,NA,-0.203550308097685,1.14848988107102,5,-141.111877976238,296.50947023819,53.9898754693594,4.67770687928794e-13
"449",693.300061321014,NA,NA,NA,NA,NA,NA,0.0258031080464821,-0.386360473935338,1.18074553305112,5,-141.270466915525,296.826648116763,54.3070533479329,3.99170743326709e-13
"389",694.233179141597,NA,NA,-8.25326794733109e-05,NA,NA,NA,NA,-0.280182593621863,1.15494770515396,5,-141.278051735089,296.841817755893,54.3222229870625,3.96154558332452e-13
"417",694.713878244963,NA,NA,NA,NA,NA,0.00865800517572485,NA,-0.257182013236727,1.17552162288547,5,-141.303239800849,296.892193887412,54.372599118581,3.86300810649674e-13
"325",690.643337537389,NA,NA,-7.50254406655862e-05,NA,NA,NA,0.0107382261796549,NA,1.16478079814917,5,-141.313436207844,296.912586701403,54.3929919325726,3.82381943496303e-13
"293",692.059467699993,NA,NA,-7.02943174580099e-05,NA,NA,-0.0139381943539049,NA,NA,1.16182775771158,5,-141.320487395846,296.926689077407,54.4070943085763,3.79695180093107e-13
"353",692.073762961234,NA,NA,NA,NA,NA,-0.032147492323185,0.00947782016161263,NA,1.18046981582921,5,-141.333462800499,296.952639886712,54.4330451178817,3.74800306643921e-13
"339",776.318114525196,NA,-3.20468294263918,NA,NA,0.791930013969827,NA,0.0658071639011561,NA,1.16538815624482,6,-139.592703518715,297.646945498969,55.1273507301383,2.64870376859293e-13
"279",769.205082870051,NA,-2.72036660823645,-9.32919262861251e-05,NA,0.774679156468935,NA,NA,NA,1.13171027692028,6,-139.832826546581,298.1271915547,55.6075967858698,2.08328786186094e-13
"403",772.36059084987,NA,-2.88881299195884,NA,NA,0.743703947955022,NA,NA,0.236702592809701,1.15364917868925,6,-139.841052601668,298.143643664875,55.624048896044,2.06622091421318e-13
"276",770.142558318513,0.105380211677262,-2.75864831535943,NA,NA,0.776404792522094,NA,NA,NA,1.15627208967752,6,-139.868266117553,298.198070696645,55.678475927814,2.01074998142297e-13
"307",769.788247205394,NA,-2.72432957940652,NA,NA,0.75460954657239,0.0208819939214564,NA,NA,1.15437721316685,6,-139.870071121867,298.201680705273,55.6820859364422,2.00712384261454e-13
"324",765.79623441357,-1.00956761368275,-2.69140059360777,NA,NA,NA,NA,0.0863160510661332,NA,1.12532838392609,6,-139.972799001494,298.407136464526,55.8875416956953,1.81117334765605e-13
"355",762.913644119725,NA,-2.9905735791722,NA,NA,NA,0.231405263893882,0.0583021047809337,NA,1.15267161655703,6,-140.097161999957,298.655862461453,56.1362676926227,1.59937334820937e-13
"327",762.669859697262,NA,-2.89512344448166,-9.85662259611584e-05,NA,NA,NA,0.0636377278263119,NA,1.11948928190516,6,-140.101871108277,298.665280678092,56.1456859092617,1.59185943167832e-13
"451",764.144040623521,NA,-2.91969130965127,NA,NA,NA,NA,0.0576139168017783,0.090613386995932,1.1422237240799,6,-140.138738956557,298.739016374653,56.2194216058225,1.53423968415476e-13
"292",757.509829698252,-0.793800684174331,-2.41103109083501,NA,NA,NA,0.460612075170583,NA,NA,1.13655506742729,6,-140.205132265844,298.871802993227,56.3522082243963,1.43568434251419e-13
"419",761.34148150995,NA,-2.83633656202269,NA,NA,NA,0.271060487584282,NA,0.3230906825469,1.1455157944305,6,-140.251145090479,298.963828642497,56.4442338736669,1.37112120731907e-13
"295",756.88100094322,NA,-2.59573977395592,-7.44132763460787e-05,NA,NA,0.280457770332529,NA,NA,1.12745952462225,6,-140.281104555236,299.023747572011,56.5041528031807,1.33065238882127e-13
"388",761.639797858344,-0.325148200055877,-2.55757568506906,NA,NA,NA,NA,NA,0.320375200346664,1.12625834726816,6,-140.291398342278,299.044335146094,56.5247403772636,1.31702519455273e-13
"391",760.911541497435,NA,-2.66862671009975,-5.7985540373423e-05,NA,NA,NA,NA,0.310026725104031,1.11930221151549,6,-140.298907973704,299.059354408946,56.5397596401156,1.30717186450745e-13
"264",757.183064188036,-0.382191594485833,-2.29281769762422,-7.88648237881877e-05,NA,NA,NA,NA,NA,1.10550497064982,6,-140.317626423518,299.096791308574,56.5771965397437,1.28293121503684e-13
"13",-6007.6633786942,NA,NA,-0.000966112141093859,0.0727882903602949,NA,NA,NA,NA,NA,4,-144.247962295223,299.162591257112,56.6429964882813,1.24140958654008e-13
"450",705.417761755615,-1.63689120375858,NA,NA,NA,NA,NA,0.0809418719755574,-0.576892153778387,1.14810301770069,6,-140.87143307478,300.204404611098,57.6848098422679,7.37374643844379e-14
"338",702.374630638012,-1.20180502306829,NA,NA,NA,0.423752577440804,NA,0.0426857086692564,NA,1.17329015902003,6,-140.876935963133,300.215410387805,57.6958156189748,7.33328097562204e-14
"402",705.642084610218,-0.735488938818266,NA,NA,NA,0.519590903342779,NA,NA,-0.312977250063157,1.17144602805439,6,-140.91088074137,300.283299944279,57.7637051754482,7.0885318569571e-14
"354",698.959690224319,-1.88717658314032,NA,NA,NA,NA,0.38435794054787,0.0551790946190582,NA,1.1647405096024,6,-140.923661195716,300.308860852971,57.7892660841402,6.99851366119435e-14
"278",702.558000378601,-0.834364911330112,NA,-0.000100739098977728,NA,0.481565250463526,NA,NA,NA,1.14859081332157,6,-140.925392222845,300.312322907229,57.7927281383982,6.98640952350189e-14
"326",700.662233157366,-1.54708860457757,NA,-0.000125320612011795,NA,NA,NA,0.0562175728549798,NA,1.12294984816868,6,-140.954669252947,300.370876967432,57.851282198601,6.78483337518068e-14
"306",702.889423342681,-0.852268259484859,NA,NA,NA,0.450814445447183,0.0409303563298592,NA,NA,1.17336974641525,6,-140.963764233144,300.389066927827,57.8694721589968,6.72340521736407e-14
"465",697.613880600311,NA,NA,NA,NA,0.62538674135147,NA,0.0314268830293698,-0.531261361954987,1.20187951666732,6,-140.967608951784,300.396756365107,57.8771615962761,6.69760524460225e-14
"405",698.717356193448,NA,NA,-0.000105563267261554,NA,0.625993670136963,NA,NA,-0.403539714877161,1.16925003048477,6,-140.975247129247,300.412032720033,57.8924379512022,6.64664262570048e-14
"433",703.505567516934,NA,NA,NA,NA,0.689454674784121,-0.228921113254067,NA,-0.349951850758543,1.18456422989792,6,-140.979776992503,300.421092446545,57.9014976777144,6.61660233406859e-14
"309",699.689910865215,NA,NA,-8.6465545531518e-05,NA,0.663584467160429,-0.250866557041027,NA,NA,1.16771755289875,6,-141.018298801916,300.49813606537,57.9785412965396,6.36656569092413e-14
"294",699.499125747109,-1.3958245663829,NA,-0.000102152550021601,NA,NA,0.347933977567796,NA,NA,1.13529104374693,6,-141.030194163474,300.521926788486,58.0023320196557,6.29128174275789e-14
"369",699.511944274585,NA,NA,NA,NA,0.659370908179952,-0.274581440149556,0.0134886894352183,NA,1.19098699829305,6,-141.035569768971,300.532677999481,58.0130832306504,6.25755303138109e-14
"418",701.951283355824,-1.32392059277604,NA,NA,NA,NA,0.348267387540207,NA,-0.236701544545234,1.15770331369861,6,-141.038731804646,300.539002070831,58.0194073020005,6.2377976754877e-14
"341",693.791812110832,NA,NA,-9.10463600282986e-05,NA,0.570327234377574,NA,0.0104708503414556,NA,1.18081917625169,6,-141.05662410246,300.574786666458,58.0551918976272,6.12718167992851e-14
"390",703.554012496459,-1.00333685560996,NA,-0.000100469769870402,NA,NA,NA,NA,-0.231349287819377,1.1231124774774,6,-141.073940155104,300.609418771747,58.0898240029169,6.02199640454342e-14
"453",692.233841592406,NA,NA,-0.000102664194214277,NA,NA,NA,0.030841927381685,-0.44206576937955,1.15684928712177,6,-141.232503017973,300.926544497484,58.4069497286535,5.13898695788909e-14
"481",693.568681917983,NA,NA,NA,NA,NA,-0.0186438624930137,0.0261186266591623,-0.385160297587085,1.17980374453234,6,-141.270193861785,301.001926185108,58.482331416277,4.94889899370236e-14
"421",693.992781595884,NA,NA,-8.28058437043676e-05,NA,NA,0.0154552895534305,NA,-0.282580529166059,1.15571959755623,6,-141.277861136191,301.017260733921,58.49766596509,4.91109952174634e-14
"357",691.103169528263,NA,NA,-7.49445456023231e-05,NA,NA,-0.0312299273494348,0.0113529515902751,NA,1.16321485097177,6,-141.3126716148,301.086881691139,58.5672869223085,4.74308312851256e-14
"14",-5733.94668861431,-2.06600251912388,NA,-0.000954902487377975,0.0700270833860442,NA,NA,NA,NA,NA,5,-143.555929444445,301.397573174604,58.8779784057737,4.06064420243535e-14
"9",-5975.37744834043,NA,NA,NA,0.0726290994820971,NA,NA,NA,NA,NA,3,-147.015971341112,301.531942682224,59.0123479133938,3.79679343559658e-14
"45",-5951.91825972679,NA,NA,-0.000924854764776785,0.0723192687631574,NA,-0.786257959916233,NA,NA,NA,5,-143.851827240402,301.989368766518,59.4697739976872,3.02056480559515e-14
"15",-5634.66442652847,NA,-1.45062289500841,-0.000944781911611486,0.0691659831022138,NA,NA,NA,NA,NA,5,-144.015514919014,302.316744123743,59.7971493549122,2.56448109755283e-14
"343",775.72970251659,NA,-3.24010216933258,-0.000124153749784391,NA,0.811029909789262,NA,0.0695609360117864,NA,1.13689967525199,7,-139.525086648524,302.383506630381,59.8639118615505,2.480288548695e-14
"29",-6156.46712540156,NA,NA,-0.00093792452779987,0.074362309713819,-0.5679053202786,NA,NA,NA,NA,5,-144.060933992697,302.407582271109,59.8879875022786,2.45061026997569e-14
"340",776.466999784775,-0.526882909090394,-3.08129769238442,NA,NA,0.723982050379905,NA,0.078714022165646,NA,1.1544435395802,7,-139.548386185595,302.430105704523,59.9105109356924,2.4231670105063e-14
"371",776.688076015401,NA,-3.18703029012976,NA,NA,0.808531391273795,-0.0485579044322801,0.0664276623915586,NA,1.16374183884238,7,-139.590854158602,302.515041650538,59.9954468817075,2.32241453799588e-14
"467",775.964654993429,NA,-3.18038061104826,NA,NA,0.796654387617034,NA,0.0676180907690766,-0.0513825076574563,1.16570595330486,7,-139.591496525704,302.516326384741,59.9967316159102,2.32092317435376e-14
"141",-5935.63388151413,NA,NA,-0.00097720462808568,0.0720520602212449,NA,NA,NA,-0.500561310523341,NA,5,-144.145521755384,302.576757796483,60.0571630276521,2.25184373995386e-14
"77",-5995.938636016,NA,NA,-0.00095628015405688,0.0726806586518272,NA,NA,-0.0168509995310108,NA,NA,5,-144.234626890868,302.75496806745,60.2353732986192,2.05987270078086e-14
"356",766.134874235954,-1.64991530660757,-2.87241201371651,NA,NA,NA,0.585133111688714,0.0963285705151233,NA,1.1400181880868,7,-139.74582364529,302.824980623914,60.3053858550838,1.98901174915817e-14
"407",771.393192344666,NA,-2.87086444479492,-8.40060510849112e-05,NA,0.757826523260897,NA,NA,0.20541897018998,1.13391523582983,7,-139.811016232613,302.95536579856,60.4357710297298,1.86347927736568e-14
"280",769.366281271398,0.0725822204225487,-2.75053157345738,-9.21356581963004e-05,NA,0.784696508867218,NA,NA,NA,1.1338074714653,7,-139.831812340679,302.996958014691,60.4773632458601,1.82512633908485e-14
"311",769.066208431023,NA,-2.73033801977833,-9.33275601151631e-05,NA,0.767381105368575,0.0217349845848183,NA,NA,1.13248847664767,7,-139.832459945648,302.998253224629,60.4786584557986,1.82394476083735e-14
"404",772.615309790831,0.113952750774936,-2.93739242137177,NA,NA,0.759570534269957,NA,NA,0.23821440979278,1.15651555276189,7,-139.838541565672,303.010416464676,60.4908216958458,1.81288588388709e-14
"435",772.215275191387,NA,-2.8998015892286,NA,NA,0.735822366563855,0.0233749710755421,NA,0.237065832568731,1.15449513968961,7,-139.840629001061,303.014591335456,60.4949965666252,1.80910554871092e-14
"308",770.328393808749,0.131404333893061,-2.76005032714067,NA,NA,0.786968703847664,-0.0205777903479584,NA,NA,1.1561819704299,7,-139.868069330708,303.069471994749,60.549877225918,1.76013801133189e-14
"328",765.079676699435,-1.11400504205734,-2.70200767766787,-0.00013321178072707,NA,NA,NA,0.0928572354010106,NA,1.09238937709455,7,-139.899308125778,303.13194958489,60.612354816059,1.70600337338841e-14
"452",765.24284501147,-1.04144746074538,-2.6472364116556,NA,NA,NA,NA,0.0897266596412765,-0.0751189881826108,1.12505012771593,7,-139.970444497008,303.274222327349,60.754627558518,1.58886044052591e-14
