"","(Intercept)","corn_med","cpi","for_prod","nfi","rice_med","rub_med","sug_med","time","df","logLik","AICc","delta","weight"
"127",0.00170698474477444,NA,-2.76570630279392e-06,2.04790052652868e-09,4.12747362085531e-06,-2.38258152232708e-06,-3.60616762945653e-07,5.94076429411739e-06,NA,8,-164.789117030163,356.655157137249,22.5257126544931,2.4830320535632e-06
"120",0.00165831569436361,1.01997558471318e-05,-3.63360498681422e-06,2.28797442897062e-09,NA,-3.2814287239414e-06,-8.82961841071546e-07,8.49626718356468e-06,NA,8,-164.932848056172,356.942619189268,22.8131747065118,2.15060541235081e-06
"124",0.0016298275916669,1.1239760357105e-05,-4.66894108494147e-06,NA,6.34956396770226e-06,-3.67445743913188e-06,-5.17684503651448e-07,3.27479385220263e-06,NA,8,-165.522290840567,358.121504758058,23.992060275302,1.19280372246952e-06
"254",0.00195499723306012,7.90716029063694e-06,NA,9.06162125188235e-10,2.87511080514885e-06,-4.47331943484698e-06,-3.25976723911969e-07,8.22727438817568e-07,-1.67710169959727e-06,9,-162.950609745326,358.901219490652,24.7717750078959,8.0771115884277e-07
"192",0.00193969705802149,7.11807395309226e-06,5.89956497969909e-07,7.6772519997185e-10,2.54765407948721e-06,-4.18957196184979e-06,-2.70445979853047e-07,NA,-1.75469917624237e-06,9,-162.952748619338,358.905497238677,24.7760527559211,8.05985412670174e-07
"224",0.00191099787667671,4.104048625676e-06,1.51799695917092e-06,4.83587534834651e-10,1.99713637955361e-06,-3.72174119807563e-06,NA,-1.55794480059717e-06,-1.92505445253798e-06,9,-162.987198769841,358.974397539683,24.8449530569271,7.78691925571388e-07
"252",0.00184249892762082,2.58966425877777e-06,3.91752063556874e-06,NA,6.82436278048167e-07,-2.65645580159607e-06,-6.07606950984864e-08,-2.94453443722793e-06,-2.11948139156029e-06,9,-163.01348477338,359.02696954676,24.8975250640046,7.58489905257725e-07
"248",0.00183013290224896,2.65958134965546e-06,4.02796721893645e-06,1.84243635147163e-10,NA,-2.7213445820949e-06,-1.36201491051662e-07,-2.20977045093737e-06,-2.06706230906706e-06,9,-163.016076961693,359.032153923386,24.9027094406298,7.56526302703409e-07
"255",0.00184801156936717,NA,3.63609635499093e-06,2.04872998432318e-10,7.32890759835402e-07,-2.47509553385087e-06,-1.57199288309158e-08,-2.05355242804534e-06,-2.03925080533547e-06,9,-163.022392669205,359.044785338411,24.9153408556549,7.51763360357453e-07
"240",0.00176920694007698,-1.84958140295359e-06,4.94199351324882e-06,-2.27370149840426e-10,-4.53377977603853e-07,NA,-7.47628244453574e-09,-3.89136703724487e-06,-2.12529883986225e-06,9,-163.148619552965,359.29723910593,25.1677946231746,6.62615386033027e-07
"128",0.00218590837529742,2.35027387634211e-05,-1.19131800121959e-05,3.30784180461637e-09,9.80841399487082e-06,-8.78985999262795e-06,-1.15498017076453e-06,1.11501680949274e-05,NA,9,-163.580573630957,360.161147261914,26.0317027791577,4.30195876753579e-07
"256",0.0019559950187002,7.94474107054665e-06,-4.00321464533505e-08,9.11760682362565e-10,2.89266498776251e-06,-4.48375179820377e-06,-3.27350456623044e-07,8.46628731652774e-07,-1.67392382551825e-06,10,-162.950605897953,365.901211795906,31.7717673131498,2.43908573986079e-08
