,(Intercept),corn_med.lag2,cpi.lag2,for_prod.lag2,nfi.lag2,rice_med.lag2,rub_med.lag2,sug_med.lag2,time,df,logLik,AICc,delta,weight
35,849.4499339,NA,-4.498974417,NA,NA,NA,0.012064661,NA,NA,4,-151.3544089,313.3754845,23.19707856,2.03E-06
10,759.4340773,-3.398850936,NA,NA,-0.511364781,NA,NA,NA,NA,4,-151.6160841,313.8988349,23.7204289,1.56E-06
66,765.4752869,-3.131209044,NA,NA,NA,NA,NA,-0.577757986,NA,4,-151.6234647,313.9135961,23.73519007,1.55E-06
23,821.5616925,NA,-3.751439176,-0.000882031,NA,-0.446323563,NA,NA,NA,5,-149.8354884,313.956691,23.77828503,1.52E-06
18,763.5866363,-2.785953356,NA,NA,NA,-0.409990155,NA,NA,NA,4,-151.6522761,313.9712188,23.7928128,1.51E-06
15,829.0058137,NA,-4.204957981,-0.000919356,0.410979713,NA,NA,NA,NA,5,-149.8464619,313.978638,23.80023205,1.50E-06
39,826.4627196,NA,-4.395573152,-0.00092426,NA,NA,0.048315014,NA,NA,5,-149.8473907,313.9804956,23.80208963,1.50E-06
34,761.0092646,-3.515815608,NA,NA,NA,NA,0.031719529,NA,NA,4,-151.6715147,314.009696,23.83129002,1.48E-06
71,821.5111207,NA,-4.000535783,-0.000902933,NA,NA,NA,-0.049942476,NA,5,-149.9007268,314.0871678,23.90876184,1.42E-06
70,748.3053576,-2.990328469,NA,-0.000960938,NA,NA,NA,-0.764555184,NA,5,-149.9967674,314.2792492,24.10084317,1.29E-06
38,741.2830622,-3.866584462,NA,-0.000987661,NA,NA,0.083059645,NA,NA,5,-149.9975355,314.2807852,24.10237922,1.29E-06
14,742.6666871,-3.199535634,NA,-0.000931425,-0.227791224,NA,NA,NA,NA,5,-150.1129475,314.5116093,24.33320334,1.15E-06
22,743.8179887,-3.039354048,NA,-0.000939571,NA,-0.077572901,NA,NA,NA,5,-150.127914,314.5415423,24.36313632,1.13E-06
81,753.9073159,NA,NA,NA,NA,-1.099164852,NA,-0.593570711,NA,4,-151.996488,314.6596426,24.48123665,1.07E-06
49,753.2240417,NA,NA,NA,NA,-1.081063799,-0.04835952,NA,NA,4,-152.0123241,314.6913149,24.51290894,1.05E-06
25,753.6017967,NA,NA,NA,0.298401338,-1.277201602,NA,NA,NA,4,-152.0411612,314.7489891,24.57058312,1.02E-06
240,774.0610326,-0.744738569,-2.958234615,-0.000159718,0.74332159,NA,0.097643767,-0.248665132,1.114807039,9,-139.4364527,314.8729054,24.69449937,9.61E-07
192,774.0871951,-0.979940755,-3.103722014,-0.000149808,0.607926804,0.235967485,0.091326528,NA,1.118657559,9,-139.4369263,314.8738526,24.69544662,9.61E-07
255,775.2068134,NA,-3.157865568,-0.00013268,0.844540086,-0.058030738,0.075297475,-0.134411673,1.133807131,9,-139.5150189,315.0300377,24.85163175,8.89E-07
252,773.9371414,-0.883746494,-2.997506555,NA,0.622788705,0.203580573,0.090385905,-0.156945315,1.154903564,9,-139.5223535,315.0447069,24.86630095,8.82E-07
248,762.8361994,-2.020072184,-2.724693085,-0.000184554,NA,0.667269733,0.121301118,-0.319469092,1.095262485,9,-139.598505,315.19701,25.01860402,8.18E-07
97,741.8046352,NA,NA,NA,NA,NA,-0.050323204,-0.525784717,NA,4,-152.2968671,315.2604009,25.08199492,7.92E-07
41,738.1891858,NA,NA,NA,-0.189300891,NA,-0.072852681,NA,NA,4,-152.3266399,315.3199464,25.14154038,7.69E-07
73,738.3033217,NA,NA,NA,-0.1045091,NA,NA,-0.76429292,NA,4,-152.3360834,315.3388336,25.16042757,7.62E-07
85,734.4970841,NA,NA,-0.000935429,NA,-0.811564434,NA,-0.816475657,NA,5,-150.5484666,315.3826475,25.20424149,7.45E-07
29,735.2247077,NA,NA,-0.000927081,0.487516157,-1.08750783,NA,NA,NA,5,-150.6267681,315.5392505,25.36084452,6.89E-07
224,771.634896,0.088762675,-2.907054123,-8.25E-05,0.771347562,-0.004191933,NA,0.207088696,1.136347784,9,-139.8096666,315.6193332,25.44092717,6.62E-07
53,730.7266494,NA,NA,-0.000904329,NA,-0.88498564,-0.015531725,NA,NA,5,-150.6842561,315.6542264,25.47582044,6.51E-07
77,724.5271791,NA,NA,-0.000992951,0.213217825,NA,NA,-1.01138865,NA,5,-150.7483288,315.7823719,25.60396592,6.10E-07
101,722.0461842,NA,NA,-0.000990535,NA,NA,0.013157642,-1.036021533,NA,5,-150.7586435,315.8030012,25.62459524,6.04E-07
36,852.5449577,-2.802899978,-3.925821947,NA,NA,NA,0.085069415,NA,NA,5,-150.9105904,316.106895,25.92848901,5.19E-07
45,719.1945448,NA,NA,-0.000942931,0.068881814,NA,-0.034789889,NA,NA,5,-150.9294817,316.1446776,25.96627162,5.09E-07
20,844.6099466,-1.956031121,-3.49273087,NA,NA,-0.19556774,NA,NA,NA,5,-151.0239732,316.3336607,26.15525472,4.63E-07
68,847.031418,-2.138825435,-3.694466979,NA,NA,NA,NA,0.189525959,NA,5,-151.0263801,316.3384745,26.16006855,4.62E-07
12,842.7392108,-2.209471523,-3.474629471,NA,-0.109477504,NA,NA,NA,NA,5,-151.0293168,316.3443478,26.1659418,4.61E-07
27,854.4677258,NA,-4.053694518,NA,0.46599567,-0.829379629,NA,NA,NA,5,-151.1741039,316.633922,26.45551606,3.99E-07
83,849.6752617,NA,-4.171438339,NA,NA,-0.671657479,NA,0.272472437,NA,5,-151.2161436,316.7180014,26.53959544,3.82E-07
51,848.5858831,NA,-4.109323641,NA,NA,-0.684977511,0.020601028,NA,NA,5,-151.2201255,316.7259652,26.54755924,3.81E-07
40,828.9332236,-3.179626568,-3.74070512,-0.000966096,NA,NA,0.132772907,NA,NA,6,-149.1793844,316.8203072,26.64190121,3.63E-07
75,853.6942323,NA,-4.651076923,NA,0.154359338,NA,NA,0.232536171,NA,5,-151.340013,316.9657403,26.7873343,3.38E-07
43,852.7209588,NA,-4.580187754,NA,0.176769021,NA,0.012975215,NA,NA,5,-151.345587,316.9768883,26.79848228,3.36E-07
99,851.3641341,NA,-4.6184364,NA,NA,NA,0.00392453,0.23589902,NA,5,-151.3464246,316.9785634,26.80015744,3.35E-07
