,(Intercept),corn_med,cpi,for_prod,nfi,rice_med,rub_med,sug_med,time,df,logLik,AICc,delta,weight
251,828.3369451,NA,-3.393996684,NA,0.777981293,0.373912416,0.083637854,0.444836922,1.093870432,8,-156.6295861,340.3360953,16.83964665,4.25E-05
190,739.5287461,-1.858707747,NA,-0.000676494,-0.344299743,0.815432263,0.116928744,NA,0.822891611,8,-156.6890413,340.4550057,16.95855698,4.00E-05
238,748.2025215,-0.775691926,NA,-0.000661608,0.242779679,NA,0.129922175,-0.657030394,0.853424509,8,-156.7226926,340.5223083,17.02585961,3.87E-05
253,746.3871485,NA,NA,-0.000603504,0.293317435,0.154573847,0.089607261,-0.538991967,0.878572779,8,-156.7883577,340.6536384,17.15718975,3.63E-05
244,814.6089945,-0.046587957,-3.11830347,NA,NA,0.603896583,0.075990429,0.490110927,1.034246866,8,-156.9065814,340.8900859,17.39363723,3.22E-05
222,746.9012441,-0.068947455,NA,-0.000519039,0.237766972,0.332956606,NA,-0.04336991,0.910300254,8,-157.1094366,341.2957962,17.7993475,2.63E-05
37,738.3691824,NA,NA,-0.001641008,NA,NA,0.130881196,NA,NA,4,-165.5315894,341.41612,17.91967131,2.48E-05
69,745.9299267,NA,NA,-0.001632835,NA,NA,NA,-0.769635328,NA,4,-165.8592359,342.071413,18.57496433,1.78E-05
6,744.1306341,-0.226663831,NA,-0.001605384,NA,NA,NA,NA,NA,4,-165.9891725,342.3312861,18.83483742,1.57E-05
21,742.5678781,NA,NA,-0.001602977,NA,0.120518844,NA,NA,NA,4,-165.9893311,342.3316033,18.83515461,1.57E-05
7,742.2224173,NA,0.051258033,-0.001601082,NA,NA,NA,NA,NA,4,-165.9944059,342.341753,18.84530427,1.56E-05
45,724.7977286,NA,NA,-0.001560232,-1.839166122,NA,0.136351848,NA,NA,5,-164.4074207,342.5648415,19.0683928,1.39E-05
250,750.4637592,0.017048803,NA,NA,0.523427491,0.104089841,0.048450031,-0.070336026,1.036771779,8,-157.7608258,342.5985746,19.10212592,1.37E-05
29,721.6376173,NA,NA,-0.001519256,-2.148746546,0.851365703,NA,NA,NA,5,-164.7104932,343.1709863,19.67453766,1.03E-05
101,741.1823416,NA,NA,-0.001752843,NA,NA,0.224873585,-2.000844816,NA,5,-164.8037073,343.3574146,19.86096593,9.38E-06
14,731.9286835,-0.646515367,NA,-0.001530553,-1.854542941,NA,NA,NA,NA,5,-164.9137126,343.5774252,20.08097651,8.40E-06
15,710.4913726,NA,0.810367586,-0.001519776,-1.874670882,NA,NA,NA,NA,5,-164.9155742,343.5811484,20.08469968,8.39E-06
77,732.1250567,NA,NA,-0.001539853,-1.740262076,NA,NA,-0.409036454,NA,5,-164.9207853,343.5915706,20.09512192,8.34E-06
38,741.7968059,-2.11877638,NA,-0.001706467,NA,NA,0.207621138,NA,NA,5,-165.1965918,344.1431837,20.64673499,6.33E-06
1,748.9759091,NA,NA,NA,NA,NA,NA,NA,NA,2,-169.9733319,344.5782427,21.081794,5.09E-06
39,767.4283632,NA,-1.260166479,-0.00164445,NA,NA,0.156945262,NA,NA,5,-165.4414661,344.6329321,21.13648346,4.96E-06
53,739.5212095,NA,NA,-0.001639535,NA,-0.189390198,0.136738365,NA,NA,5,-165.5190182,344.7880364,21.29158774,4.59E-06
192,809.3319948,-0.52514279,-2.790439576,-0.000538207,0.369280576,0.552346904,0.124807506,NA,0.931729069,9,-155.9019004,344.8038007,21.30735202,4.55E-06
248,796.4526787,-1.292086149,-2.367029826,-0.000636224,NA,0.828781573,0.155450798,-0.320086339,0.873528489,9,-155.9038094,344.8076187,21.31117007,4.54E-06
255,813.9854144,NA,-2.915022577,-0.000501912,0.554042457,0.373643501,0.112534168,-0.016466328,0.954515735,9,-155.9172526,344.8345053,21.3380566,4.48E-06
240,819.4162844,0.484065493,-3.002282872,-0.000454336,0.807584714,NA,0.100923971,0.083221934,0.983363076,9,-155.9866199,344.9732399,21.47679118,4.18E-06
46,727.6166727,-2.911704808,NA,-0.001638932,-2.095487416,NA,0.242573292,NA,NA,6,-163.7191548,345.0383096,21.54186094,4.05E-06
9,732.513508,NA,NA,NA,-2.219060256,NA,NA,NA,NA,3,-168.8669506,345.0672346,21.57078587,3.99E-06
71,726.5868229,NA,0.837203459,-0.001644009,NA,NA,NA,-0.966118883,NA,5,-165.8215598,345.3931195,21.89667086,3.39E-06
85,744.3279247,NA,NA,-0.001639553,NA,0.246338492,NA,-0.829089192,NA,5,-165.8378406,345.4256811,21.92923244,3.33E-06
109,728.7039743,NA,NA,-0.00165888,-1.61208415,NA,0.210203731,-1.586486441,NA,6,-163.9245634,345.4491268,21.95267815,3.30E-06
70,746.092064,-0.060130716,NA,-0.001633773,NA,NA,NA,-0.763560574,NA,5,-165.8588594,345.4677187,21.97127003,3.27E-06
224,828.7307394,1.544390832,-3.331497183,-0.000298983,1.05918512,-0.054432622,NA,0.636034491,1.057453699,9,-156.2511263,345.5022526,22.00580392,3.21E-06
30,715.8052394,-3.394208219,NA,-0.00157323,-2.976299197,2.235579931,NA,NA,NA,6,-164.02222,345.64444,22.14799136,2.99E-06
22,742.9397277,-0.566347752,NA,-0.001617363,NA,0.304519042,NA,NA,NA,5,-165.9677878,345.6855755,22.18912686,2.93E-06
8,739.5259821,-0.291151845,0.20113852,-0.001607386,NA,NA,NA,NA,NA,5,-165.9869582,345.7239163,22.22746764,2.87E-06
23,743.6938146,NA,-0.049339115,-0.001602921,NA,0.127576171,NA,NA,NA,5,-165.9891895,345.728379,22.23193031,2.87E-06
254,737.7720754,-2.875594384,NA,-0.000846874,-0.617980896,1.192560643,0.195590185,-1.011677035,0.748571407,9,-156.3740174,345.7480349,22.25158621,2.84E-06
62,704.4712616,-7.294779046,NA,-0.001727992,-3.688852882,3.037802605,0.312114841,NA,NA,7,-161.9210472,345.8420945,22.3456458,2.71E-06
252,844.583393,1.745972116,-3.916881209,NA,1.316108812,-0.204803403,0.034574763,0.69712793,1.143022131,9,-156.4423522,345.8847044,22.38825576,2.65E-06
102,746.3420963,-2.863561638,NA,-0.001862274,NA,NA,0.346205687,-2.375858839,NA,6,-164.1682231,345.9364462,22.43999756,2.58E-06
61,719.8561909,NA,NA,-0.001554926,-2.057028262,0.548084939,0.120049558,NA,NA,6,-164.3070278,346.2140557,22.71760701,2.25E-06
47,735.0071737,NA,-0.431390163,-0.001562968,-1.803704467,NA,0.145168824,NA,NA,6,-164.396205,346.39241,22.89596135,2.06E-06
93,723.41273,NA,NA,-0.001546232,-2.088096063,0.915400886,NA,-0.557894202,NA,6,-164.6347911,346.8695823,23.37313357,1.62E-06
33,745.3700896,NA,NA,NA,NA,NA,0.095575938,NA,NA,3,-169.8025036,346.9383405,23.44189187,1.57E-06
31,715.0778895,NA,0.283306089,-0.001519201,-2.158456361,0.814144975,NA,NA,NA,6,-164.7052768,347.0105536,23.51410496,1.51E-06
16,697.3003343,-1.154039606,1.464333325,-0.00153835,-2.022558144,NA,NA,NA,NA,6,-164.7929223,347.1858445,23.68939586,1.38E-06
103,747.2053801,NA,-0.263822199,-0.001751153,NA,NA,0.228303896,-1.957709656,NA,6,-164.7998533,347.1997067,23.70325797,1.37E-06
117,741.7316975,NA,NA,-0.001751624,NA,-0.092383156,0.227309866,-1.991887039,NA,6,-164.8005279,347.2010558,23.70460715,1.37E-06
79,699.9766465,NA,1.366673949,-0.001554239,-1.812393887,NA,NA,-0.714835214,NA,6,-164.8127853,347.2255706,23.7291219,1.36E-06
2,747.9420361,0.334488307,NA,NA,NA,NA,NA,NA,NA,3,-169.9650749,347.263483,23.76703436,1.33E-06
65,749.7154488,NA,NA,NA,NA,NA,NA,-0.219359216,NA,3,-169.9656106,347.2645545,23.76810587,1.33E-06
3,751.6844224,NA,-0.113566665,NA,NA,NA,NA,NA,NA,3,-169.9727431,347.2788196,23.78237093,1.32E-06
17,749.1384608,NA,NA,NA,NA,-0.022505583,NA,NA,NA,3,-169.9732043,347.2797419,23.78329318,1.32E-06
78,733.1996296,-0.558507414,NA,-0.001545661,-1.794644248,NA,NA,-0.341344294,NA,6,-164.886309,347.372618,23.87616927,1.26E-06
41,728.3107393,NA,NA,NA,-2.254587566,NA,0.104412648,NA,NA,4,-168.6412406,347.6354224,24.13897376,1.10E-06
25,723.7224995,NA,NA,NA,-2.567167563,0.859582078,NA,NA,NA,4,-168.688309,347.7295593,24.23311058,1.05E-06
54,739.60349,-2.789404147,NA,-0.001731378,NA,0.538929928,0.215243403,NA,NA,6,-165.1255574,347.8511148,24.35466615,9.92E-07
126,708.0052943,-8.613350348,NA,-0.001917066,-3.617686727,3.480097641,0.465134229,-2.536433105,NA,8,-160.3929651,347.8628534,24.36640468,9.86E-07
110,732.9883935,-3.441107997,NA,-0.001775955,-1.859612345,NA,0.353754587,-1.973513491,NA,7,-162.9372723,347.8745446,24.37809587,9.80E-07
40,758.9651824,-1.969881108,-0.754961172,-0.001703929,NA,NA,0.217843189,NA,NA,6,-165.1650156,347.9300312,24.43358255,9.53E-07
11,712.3169959,NA,0.824410734,NA,-2.291134262,NA,NA,NA,NA,4,-168.8338226,348.0205863,24.52413764,9.11E-07
73,731.6018913,NA,NA,NA,-2.248313354,NA,NA,0.206028984,NA,4,-168.859621,348.0721832,24.57573452,8.88E-07
10,733.0165588,-0.203241486,NA,NA,-2.235929958,NA,NA,NA,NA,4,-168.8636476,348.0802363,24.58378766,8.84E-07
55,766.8781952,NA,-1.219618162,-0.001643847,NA,-0.06327125,0.158063355,NA,NA,6,-165.4401459,348.4802918,24.98384312,7.24E-07
72,723.2936317,-0.341012114,1.019536546,-0.001651763,NA,NA,NA,-0.974459674,NA,6,-165.8111926,349.2223851,25.72593642,5.00E-07
87,728.3205153,NA,0.715278254,-0.001646924,NA,0.166581079,NA,-0.977708606,NA,6,-165.8125487,349.2250975,25.72864878,4.99E-07
86,744.6335842,-0.503770682,NA,-0.001651828,NA,0.408213525,NA,-0.817263943,NA,6,-165.8205931,349.2411861,25.74473742,4.95E-07
48,715.8090036,-3.030697755,0.503789314,-0.001638953,-2.147375623,NA,0.236617548,NA,NA,7,-163.7040551,349.4081101,25.91166144,4.55E-07
24,740.1093473,-0.59790758,0.124936745,-0.001618307,NA,0.296901888,NA,NA,NA,6,-165.9669452,349.5338905,26.03744177,4.28E-07
125,723.7987463,NA,NA,-0.001653439,-1.828447017,0.543255761,0.193908386,-1.583549983,NA,7,-163.8214951,349.6429901,26.14654144,4.05E-07
32,677.6690985,-3.98912147,1.602900183,-0.001582375,-3.176283445,2.267606513,NA,NA,NA,7,-163.8652034,349.7304068,26.23395816,3.88E-07
97,746.9447358,NA,NA,NA,NA,NA,0.139406965,-0.957556536,NA,4,-169.6887436,349.7304283,26.23397961,3.88E-07
118,742.6005181,-4.264165405,NA,-0.001929702,NA,1.053608838,0.377765511,-2.661444288,NA,7,-163.882991,349.765982,26.26953328,3.81E-07
111,721.2204912,NA,0.321145817,-0.001659795,-1.631688949,NA,0.205849675,-1.633954988,NA,7,-163.9185123,349.8370246,26.34057596,3.67E-07
35,770.8916663,NA,-1.106197434,NA,NA,NA,0.11839045,NA,NA,4,-169.7554832,349.8639076,26.36745888,3.63E-07
34,746.7046476,-0.762804127,NA,NA,NA,NA,0.122696908,NA,NA,4,-169.7727279,349.898397,26.40194827,3.56E-07
