"","(Intercept)","corn_med.lag1","cpi.lag1","for_prod.lag1","for_rem","nfi.lag1","rice_med.lag1","rub_med.lag1","sug_med.lag1","time","df","logLik","AICc","delta","weight"
"443",-4896.17309192821,NA,0.0801284152708418,NA,0.0604004321239637,-0.232261193619476,0.256796768079655,NA,0.220610471083537,1.09148507673765,8,-120.990260997203,269.980521994407,15.2503314731788,8.32603269515393e-05
"491",-4816.56102703995,NA,-0.101598307028584,NA,0.0596243980893718,NA,0.148983152706842,0.0251302641306379,0.0858215184336269,1.07805066071603,8,-121.046132133326,270.092264266652,15.3620737454239,7.87360431778173e-05
"490",-4827.79995534741,-0.0968029740949353,NA,NA,0.0597208295869119,NA,0.166270646859577,0.0272040741528387,0.0588499065169851,1.07984103948054,8,-121.046269875899,270.092539751799,15.3623492305711,7.87251986194908e-05
"364",-4813.65553954959,-0.118807714751899,-0.0484297763532923,NA,0.059584719585613,NA,0.176711991922021,0.0311240406860795,NA,1.07791392024684,8,-121.060785155721,270.121570311441,15.3913797902136,7.75907337883901e-05
"474",-4874.71424176232,0.074885254697206,NA,NA,0.0602298519505579,-0.0994328714105738,NA,0.0238616476807861,0.111145143399187,1.07368258653255,8,-121.150639833928,270.301279667857,15.5710891466287,7.0922897190981e-05
"475",-4883.15234473371,NA,0.052188873530283,NA,0.0603090840478689,-0.109755703743406,NA,0.0261077490485335,0.0967096370499599,1.07399247889497,8,-121.159710832706,270.319421665413,15.5892311441847,7.0282464749564e-05
"348",-4878.19394320952,0.0286548135812139,0.0787825534790467,NA,0.0602555423087565,-0.0958801537287204,NA,0.0286230752477282,NA,1.07234226558809,8,-121.205624068823,270.411248137645,15.6810576164175,6.71285271210709e-05
"460",-4846.4094177397,0.117958168869855,-0.0512000544914142,NA,0.0599472011694282,NA,NA,0.0235390633332137,0.0968095314393333,1.07129683766086,8,-121.243352082367,270.486704164734,15.7565136435065,6.46430814141875e-05
"316",-4915.73466290882,-0.133851012939299,0.29295239512471,NA,0.0605724904398478,-0.250578906694813,0.301970804112917,NA,NA,1.09081752119034,8,-121.256753889995,270.51350777999,15.7833172587621,6.37825266475269e-05
"382",-4802.07408895616,-0.698591235826189,NA,-0.000184819555828661,0.0593908531829618,-0.280518672480247,0.443849633568827,0.0488844926872621,NA,1.08085449378715,9,-118.106285721199,270.576207806035,15.8460172848075,6.18139620953003e-05
"428",-4848.74537850455,0.171209311144416,-0.0348946581363972,NA,0.0599539340569437,NA,0.12718392606247,NA,0.195908277624272,1.07899348045035,8,-121.379816495541,270.759632991082,16.0294424698544,5.63970397427273e-05
"412",-4901.70628189239,0.250849116556222,0.0603127103705573,NA,0.0605017295992896,-0.0994172813938349,NA,NA,0.212151325728722,1.07596452335188,8,-121.410994561343,270.821989122686,16.0917986014584,5.46658174450368e-05
"494",-4766.97864168127,-0.405243562761491,NA,-0.000195308063449249,0.0590594326721591,NA,0.252940010517019,0.0470000767406736,-0.0993851646928022,1.06485041169158,9,-118.659327881111,271.682292125859,16.9521016046308,3.55552243375315e-05
"368",-4760.43304958005,-0.34196538633703,-0.102327051396421,-0.000188958767238066,0.0590092058278875,NA,0.244300417157996,0.0426634188089354,NA,1.06544747915236,9,-118.700105193459,271.763846750554,17.0336562293267,3.41345405353785e-05
"383",-4799.32052832311,NA,-0.0840190092429316,-0.000171484061183352,0.0594114300611673,-0.106800419350202,0.193268135323738,0.0317976725389621,NA,1.06810521836438,9,-118.821869928633,272.007376220903,17.2771856996749,3.02212420234187e-05
"509",-4815.95703096696,NA,NA,-0.00016999364685801,0.0595679209657089,-0.114777268761001,0.189077193743753,0.0301345557852186,0.00325708344477093,1.06990457478493,9,-118.83493269752,272.033501758676,17.3033112374487,2.98290361477662e-05
