"","(Intercept)","corn_med.lag1","cpi.lag1","for_prod.lag1","nfi.lag1","rice_med.lag1","rub_med.lag1","sug_med.lag1","time","df","logLik","AICc","delta","weight"
"45",0.00129989233171186,NA,NA,7.33011299342832e-10,-1.63742500529101e-06,NA,2.39525145554271e-08,NA,NA,5,-160.830779887546,335.661559775091,12.3456411442727,0.000457712202312139
"105",0.00127556699705217,NA,NA,NA,-2.0354244364031e-06,NA,-9.83623556017947e-08,3.20210262515278e-06,NA,5,-160.841536316243,335.683072632486,12.3671540016677,0.000452815237784012
"74",0.00126907540676677,1.0851790377423e-06,NA,NA,-2.09878288379542e-06,NA,NA,2.60591086873126e-06,NA,5,-160.850210424981,335.700420849962,12.3845022191432,0.000448904454971676
"53",0.00129624755484813,NA,NA,6.04505736655775e-10,NA,1.56955129849731e-06,-3.36213402869834e-08,NA,NA,5,-160.851995480213,335.703990960426,12.3880723296069,0.000448103850499924
"22",0.00129471486851407,3.24487104658004e-08,NA,6.0368357830641e-10,NA,1.47956749136343e-06,NA,NA,NA,5,-160.855494828479,335.710989656957,12.3950710261383,0.000446538519484342
"113",0.0012754434515112,NA,NA,NA,NA,1.83517615772998e-06,-1.19381973446798e-07,2.37450697351294e-06,NA,5,-160.875908218027,335.751816436054,12.4358978052348,0.000437515562629268
"38",0.00129998292255193,2.25513367191445e-06,NA,7.1353512080622e-10,NA,NA,-7.36810630164571e-08,NA,NA,5,-160.891394141965,335.782788283929,12.4668696531107,0.000430792421290402
"82",0.00127173525674099,-7.7341933718054e-07,NA,NA,NA,1.95813018975544e-06,NA,1.73239434503903e-06,NA,5,-160.907717632196,335.815435264392,12.4995166335735,0.000423817468076066
"98",0.0012757753033429,2.58765469070102e-06,NA,NA,NA,NA,-1.88061143613852e-07,2.89764891380962e-06,NA,5,-160.923197558041,335.846395116082,12.5304764852635,0.000417307323377635
"50",0.00127275661314593,-6.44639000752417e-07,NA,NA,NA,2.03480476886194e-06,-3.38965903781956e-09,NA,NA,5,-160.99104434987,335.98208869974,12.6661700689212,0.000389933473984264
"42",0.00127113208273795,1.29094228459284e-06,NA,NA,-1.37117432849185e-06,NA,-3.66598423879898e-09,NA,NA,5,-161.010243359337,336.020486718673,12.7045680878545,0.000382518544934127
