,(Intercept),agr_gdp.lag1,dev_agr.lag1,dev_env.lag1,fdi.lag1,gdp.lag1,gdp_gr.lag1,ind_gdp.lag1,pop_den.lag1,time,df,logLik,AICc,delta,weight
395,0.003047107,NA,-5.62E-08,NA,8.17E-07,NA,NA,NA,-0.000987821,-1.28E-06,6,-141.7723041,302.5446082,10.78906635,0.000602027
425,0.003041509,NA,NA,NA,8.30E-07,NA,-1.27E-06,NA,-0.000987408,-1.27E-06,6,-141.7727364,302.5454729,10.78993104,0.000601766
283,0.001366394,NA,-5.66E-07,NA,8.85E-07,1.17E-05,NA,NA,NA,-1.44E-06,6,-141.7734509,302.5469017,10.79135986,0.000601337
264,0.00200641,0.000170238,5.63E-07,-3.36E-06,NA,NA,NA,NA,NA,-1.69E-06,6,-141.7736413,302.5472825,10.79174068,0.000601222
15,0.001274791,NA,1.11E-06,-1.17E-05,1.81E-06,NA,NA,NA,NA,NA,5,-143.9792455,302.5738757,10.81833384,0.000593281
355,0.002009997,NA,-4.51E-07,NA,NA,NA,2.68E-05,-0.000181855,NA,-1.93E-06,6,-141.7914814,302.5829628,10.82742095,0.000590591
361,0.001938733,NA,NA,NA,3.31E-07,NA,8.89E-06,-0.000166712,NA,-1.78E-06,6,-141.7949889,302.5899778,10.83443593,0.000588523
331,0.001928176,NA,5.46E-08,NA,3.78E-07,NA,NA,-0.000164084,NA,-1.75E-06,6,-141.8007382,302.6014764,10.84593453,0.00058515
271,0.001731496,NA,-5.65E-08,-9.96E-06,1.36E-06,NA,NA,NA,NA,-1.64E-06,6,-141.8287819,302.6575638,10.90202194,0.000568968
301,0.001726348,NA,NA,-9.87E-06,1.37E-06,NA,-3.59E-07,NA,NA,-1.62E-06,6,-141.8293686,302.6587372,10.90319537,0.000568634
307,0.001259431,NA,-4.01E-07,NA,NA,1.60E-05,-2.91E-05,NA,NA,-1.23E-06,6,-141.8322693,302.6645386,10.90899673,0.000566987
419,0.00326855,NA,-3.91E-07,NA,NA,NA,1.31E-05,NA,-0.00109789,-1.34E-06,6,-141.8354433,302.6708866,10.91534479,0.00056519
14,0.001429919,9.07E-05,NA,-1.64E-05,1.72E-06,NA,NA,NA,NA,NA,5,-144.0749063,302.7651972,11.0096553,0.000539157
12,0.00138846,0.00010284,1.61E-06,NA,1.20E-06,NA,NA,NA,NA,NA,5,-144.0782063,302.7717973,11.0162554,0.000537381
299,0.001713502,NA,-1.19E-07,NA,1.07E-06,NA,6.50E-06,NA,NA,-1.66E-06,6,-141.938607,302.877214,11.12167212,0.00050979
