"","(Intercept)","agr_gdp.lag1","dev_agr.lag1","dev_env.lag1","fdi.lag1","for_rem","gdp.lag1","gdp_gr.lag1","pop_den.lag1","time","df","logLik","AICc","delta","weight"
"147",-8261.29443175138,NA,-0.282138864289139,NA,NA,0.0985619561049071,NA,NA,-31.0306785882417,NA,5,-136.127336748145,286.870058111675,88.3055858393678,3.76967039682874e-20
"50",-7623.02305824075,-4.25427004471435,NA,NA,NA,0.0919333210630165,-2.61974100044451,NA,NA,NA,5,-136.151842736787,286.919070088958,88.3545978166514,3.678413632442e-20
"153",-9000.8642574899,NA,NA,NA,0.135728778107854,0.108129137934781,NA,NA,-151.541862607241,NA,5,-136.219237900672,287.053860416728,88.4893881444215,3.43867566863723e-20
"26",-8631.55562133185,7.58533762307798,NA,NA,0.136082898273529,0.101988763609014,NA,NA,NA,NA,5,-136.242802954457,287.100990524298,88.5365182519915,3.35859040432692e-20
"146",-8890.05015984189,9.16027732384501,NA,NA,NA,0.107268028500782,NA,NA,-159.010407122899,NA,5,-136.254296535505,287.123977686395,88.5595054140881,3.32020916477063e-20
"210",-9502.37103098215,49.0137404468159,NA,NA,NA,0.11547735146018,NA,45.7973278861619,-228.978772922466,NA,6,-134.109631837127,287.219263674254,88.6547914019472,3.16573351947353e-20
"488",32.4406928556285,-42.7062794261885,-0.685028521780153,-0.817550901410739,NA,NA,-4.19684494602383,15.6340582372536,565.000290040531,1.03876565069865,9,-124.647088250407,287.294176500815,88.729704228508,3.04934976220508e-20
"90",-8770.64415214059,54.4996859675597,NA,NA,-0.108136865152785,0.104332610426317,NA,46.8037429891989,NA,NA,6,-134.165168683459,287.330337366918,88.7658650946108,2.99471162698735e-20
"495",-17.2101977958993,NA,-0.783831447449217,-0.23667324613967,-0.29746831859349,NA,-3.15448552124252,24.089360593193,635.539923632787,0.99274927225032,9,-124.724704981808,287.449409963616,88.8849376913095,2.82162128575228e-20
"227",-128.371864452311,NA,-1.30082572083267,NA,NA,NA,-11.2914317683112,81.7952640940301,968.498832531088,NA,6,-134.309534620537,287.619069241074,89.0545969687674,2.59213537475573e-20
"432",-5.68481414734552,-44.9605897804712,-0.576114562364361,0.0520568519415586,-0.159118228922193,NA,-2.46383030819753,NA,548.831520651344,1.12700180400033,9,-124.830674966156,287.661349932312,89.0968776600056,2.53791190787858e-20
"336",640.34475652168,-54.567649012227,-0.550656582687729,-0.01212126488387,-0.380851655136594,NA,NA,-4.92135120325861,NA,1.35225403119752,8,-128.679505400401,287.759010800802,89.1945385284947,2.4169616266982e-20
"217",-9269.28580699241,NA,NA,NA,-0.0315693350163389,0.112911583104952,NA,40.2771698750317,-266.98170221829,NA,6,-134.477115246168,287.954230492335,89.3897582200284,2.19219073493004e-20
"464",-234.552561526778,-22.1907995997425,-0.723939122160033,-0.0667526450495127,-0.271169341432155,NA,NA,8.8556973122379,690.721504086463,1.10318321631077,9,-125.068703051447,288.137406102894,89.5729338305871,2.00033281483114e-20
"245",-7479.84899617519,NA,NA,3.64806341897697,NA,0.0982226955599131,-7.93076008648791,55.3022990978075,-405.285337372067,NA,7,-132.175531535811,288.532881253441,89.9684089811343,1.64144343635905e-20
"195",-1235.24112405567,NA,-1.40990289045322,NA,NA,NA,NA,56.5120342647011,1515.88658935289,NA,5,-137.024664996719,288.664714608823,90.1002423365159,1.53673390164753e-20
"129",-1248.99782285286,NA,NA,NA,NA,NA,NA,NA,1482.24926045489,NA,3,-140.606826215849,288.813652431698,90.2491801593908,1.42645223880941e-20
"99",1391.35567900459,NA,-1.20011521163689,NA,NA,NA,-17.9962039308144,96.1832030565224,NA,NA,5,-137.143425895604,288.902236406593,90.3377641342866,1.36465059605168e-20
"125",-6379.93300077431,NA,NA,4.50148689361578,-0.174392766748924,0.0801724388172479,-7.12138450055959,53.3187014151507,NA,NA,7,-132.411121056211,289.00406029424,90.4395880219328,1.29691255029034e-20
"118",-6674.47741794434,9.41372156353579,NA,3.71290878268849,NA,0.0833346758219984,-7.06312938082504,53.1908240480016,NA,NA,7,-132.488559092362,289.158936366542,90.5944640942352,1.20027229350455e-20
"97",1359.60506685115,NA,NA,NA,NA,NA,-18.5048980098471,76.4271050157481,NA,NA,4,-139.29737876931,289.451900395764,90.887428123457,1.03672471143801e-20
"131",-1241.91197621784,NA,-0.937992037743919,NA,NA,NA,NA,NA,1504.67351507075,NA,4,-139.320562969144,289.49826879543,90.9337965231233,1.01296556121589e-20
"181",-8204.74691369449,NA,NA,5.20002899033827,NA,0.100833877656834,-2.54945679273317,NA,-181.640464287801,NA,6,-135.250730153261,289.501460306522,90.9369880342156,1.01135040484361e-20
"54",-7488.47622371477,-18.1366041117404,NA,5.42718974844906,NA,0.0903084654499849,-2.98030759625091,NA,NA,NA,6,-135.259585499295,289.51917099859,90.9546987262835,1.00243408386694e-20
"55",-7677.56170347933,NA,-0.135722465439094,4.99259911740837,NA,0.092406277553029,-2.27807390270277,NA,NA,NA,6,-135.260839344561,289.521678689122,90.9572064168154,1.00117797428455e-20
