,(Intercept),armi,cpi,for_prod,for_rem,nfi,rice_med,time,df,logLik,AICc,delta,weight
58,-4528.25283,0.681329488,NA,NA,0.056222952,-3.113900038,0.88952196,NA,6,-164.5543816,346.7087633,81.44322888,4.45E-19
54,721.9713834,-2.065867986,NA,-0.0015134,NA,-2.174015053,0.919813341,NA,6,-164.6886922,346.9773844,81.71185,3.90E-19
55,715.0778895,NA,0.283306089,-0.001519201,NA,-2.158456361,0.814144975,NA,6,-164.7052768,347.0105536,81.74501927,3.83E-19
2,749.9406819,-2.002358592,NA,NA,NA,NA,NA,NA,3,-169.9596443,347.252622,81.98708758,3.39E-19
3,751.6844224,NA,-0.113566665,NA,NA,NA,NA,NA,3,-169.9727431,347.2788196,82.01328524,3.35E-19
33,749.1384608,NA,NA,NA,NA,NA,-0.022505583,NA,3,-169.9732043,347.2797419,82.01420749,3.35E-19
24,704.7726619,-2.026820619,1.085204716,-0.001514005,NA,-1.896300898,NA,NA,6,-164.8987008,347.3974016,82.13186725,3.16E-19
48,-3636.233117,0.53429601,1.770667369,-0.001434673,0.046498445,NA,-0.277702384,NA,7,-162.7301311,347.4602621,82.19472777,3.06E-19
43,-4318.15453,NA,2.080329529,NA,0.053795134,NA,-0.452356958,NA,5,-166.8992745,347.548549,82.28301463,2.93E-19
12,-4226.044982,-1.317710436,1.863510273,NA,0.052835427,NA,NA,NA,5,-166.9526108,347.6552217,82.38968729,2.78E-19
49,723.7224995,NA,NA,NA,NA,-2.567167563,0.859582078,NA,4,-168.688309,347.7295593,82.4640249,2.67E-19
42,-4008.30582,2.283861398,NA,NA,0.050976649,NA,-0.214310724,NA,5,-167.092115,347.93423,82.66869561,2.41E-19
19,712.3169959,NA,0.824410734,NA,NA,-2.291134262,NA,NA,4,-168.8338226,348.0205863,82.75505195,2.31E-19
18,733.3722974,-1.730156282,NA,NA,NA,-2.215667634,NA,NA,4,-168.8556541,348.0642495,82.79871511,2.26E-19
40,742.2332294,-0.582287831,0.02182698,-0.001601629,NA,NA,0.134267045,NA,6,-165.9879303,349.5758606,84.3103262,1.06E-19
60,-5044.312994,-4.361954727,3.421823235,NA,0.060907868,-3.334949169,0.611354457,NA,7,-163.9532976,349.9065953,84.64106091,9.00E-20
4,745.4576513,-2.345322009,0.194900009,NA,NA,NA,NA,NA,4,-169.95831,350.2695611,85.00402673,7.51E-20
34,749.7035709,-2.084978171,NA,NA,NA,NA,0.038339896,NA,4,-169.9592968,350.2715349,85.00600049,7.50E-20
35,751.6025502,NA,-0.10799976,NA,NA,NA,-0.007046628,NA,4,-169.972732,350.2984053,85.03287089,7.40E-20
50,724.3225269,-3.805537483,NA,NA,NA,-2.610743733,0.985611201,NA,5,-168.6365409,351.0230819,85.75754751,5.15E-20
51,716.942048,NA,0.292835453,NA,NA,-2.577188148,0.821109072,NA,5,-168.6844273,351.1188546,85.85332023,4.91E-20
20,700.5690382,-4.158660042,1.388216142,NA,NA,-2.332270262,NA,NA,5,-168.7837985,351.317597,86.05206261,4.45E-20
56,706.5205377,-3.137774074,0.674781281,-0.001510229,NA,-2.210252924,0.866675706,NA,7,-164.6648974,351.3297949,86.06426051,4.42E-20
44,-4313.966909,-0.860796655,2.182860706,NA,0.053727688,NA,-0.441747109,NA,6,-166.8967403,351.3934806,86.12794626,4.28E-20
36,745.6423838,-2.365798973,0.181335732,NA,NA,NA,0.020578853,NA,5,-169.9582163,353.6664326,88.40089825,1.37E-20
52,702.415496,-5.319692061,0.956435847,NA,NA,-2.66081034,0.910098443,NA,6,-168.6031082,354.8062165,89.54068213,7.77E-21
