,(Intercept),agr_gdp,dev_agri,dev_env,fdi,gdp,gdp_gr,pop_den,time,df,logLik,AICc,delta,weight
174,676.8953289,-33.99815138,NA,2.854154954,-0.351407732,NA,-8.409375024,NA,1.11249997,7,-140.61966,304.5726534,19.8507721,1.04E-05
144,684.4066423,-33.14797234,0.08641469,2.922780611,-0.416063968,NA,NA,NA,1.061684331,7,-140.6457089,304.6247512,19.90286993,1.01E-05
175,715.9604081,NA,0.095063082,2.850842219,-0.379053717,NA,-8.54181505,NA,1.169095372,7,-140.7197659,304.7728651,20.05098377,9.38E-06
172,675.991423,-31.46544535,0.075943477,NA,-0.239154537,NA,-8.451230539,NA,1.110178479,7,-140.8474155,305.0281643,20.306283,8.25E-06
168,639.5606804,-41.74836187,0.111442446,1.976367683,NA,NA,-16.63905204,NA,1.159070974,7,-140.8813911,305.0961155,20.37423422,7.98E-06
2,482.9662596,-215.1704659,NA,NA,NA,NA,NA,NA,NA,3,-149.1499108,305.7998215,21.07794025,5.61E-06
58,992.6744506,-200.6156831,NA,NA,-0.420241982,-13.38673025,60.52154713,NA,NA,6,-143.7330732,305.9276848,21.20580356,5.26E-06
20,814.8753662,-252.2688717,0.327118762,NA,NA,-11.04351047,NA,NA,NA,5,-145.9055478,306.0968098,21.3749285,4.84E-06
248,253.9777568,-43.47987104,0.031098858,1.207757677,NA,-6.454474611,5.445693952,454.3467569,1.059037039,9,-135.2906549,306.5813099,21.85942857,3.80E-06
254,253.9499467,-43.05425011,NA,1.090341858,0.014927421,-6.511612522,5.922248811,455.5549172,1.062810977,9,-135.2978984,306.5957969,21.87391557,3.77E-06
52,960.0087114,-221.8781984,0.106163223,NA,NA,-14.1372137,53.46198058,NA,NA,6,-144.0855116,306.6325616,21.91068031,3.70E-06
224,194.7741827,-41.54183036,0.046199594,1.276749436,0.035862775,-5.991412644,NA,485.1608551,1.087021288,9,-135.3206129,306.6412257,21.91934441,3.68E-06
26,822.3851008,-246.4093758,NA,NA,-0.190923254,-10.5709896,NA,NA,NA,5,-146.1904536,306.6666215,21.94474017,3.64E-06
114,1118.049722,-227.0056604,NA,NA,NA,-14.97920318,56.75571329,-100.0408942,NA,6,-144.1029823,306.6675031,21.94562181,3.64E-06
54,970.6750081,-219.5504221,NA,-0.572562564,NA,-14.31552715,56.44262655,NA,NA,6,-144.1182626,306.6980636,21.97618227,3.58E-06
252,249.829332,-41.98344984,0.013451081,NA,0.060987975,-6.609295847,6.375909622,460.8356995,1.062254498,9,-135.359248,306.7184959,21.99661461,3.54E-06
22,811.4160853,-257.4568268,NA,1.342304132,NA,-11.1310344,NA,NA,NA,5,-146.2188894,306.7234931,22.00161184,3.54E-06
66,-389.8842889,-187.3731471,NA,NA,NA,NA,NA,673.6847326,NA,4,-148.0494921,306.7656509,22.04376959,3.46E-06
82,702.9002745,-249.6162618,NA,NA,NA,-10.61969942,NA,76.38869015,NA,5,-146.246424,306.7785623,22.05668098,3.44E-06
255,96.29420109,NA,0.018768775,0.991433339,0.009371128,-5.104852278,2.958008473,572.2722604,1.154218928,9,-135.5813442,307.1626885,22.4408072,2.84E-06
10,549.8530402,-196.3411449,NA,NA,-0.581110344,NA,NA,NA,NA,4,-148.6156602,307.897987,23.17610574,1.97E-06
34,506.8202014,-195.7411514,NA,NA,NA,NA,24.3294686,NA,NA,4,-148.831963,308.3305927,23.60871137,1.58E-06
4,483.2569636,-213.0657793,0.344282443,NA,NA,NA,NA,NA,NA,4,-148.8583961,308.3834589,23.66157765,1.54E-06
49,1167.288756,NA,NA,NA,NA,-12.61233503,77.35166588,NA,NA,4,-148.8999917,308.4666501,23.74476886,1.48E-06
192,949.3656305,-80.73553394,0.017364154,1.30171949,-0.101976083,-9.857078516,15.75116275,NA,0.951146138,9,-136.2469888,308.4939776,23.77209634,1.46E-06
