,(Intercept),agr_gdp,dev_agri,dev_env,fdi,gdp,gdp_gr,ind_gdp,pop_den,time,df,logLik,AICc,delta,weight
431,0.003812472,NA,-4.81E-08,9.92E-07,-6.32E-07,NA,7.62E-05,NA,-0.001455602,-1.93E-06,8,-148.8615856,326.8140804,20.38325549,4.40E-06
456,0.003115949,-0.000147838,5.44E-07,2.96E-06,NA,NA,NA,-6.48E-05,-0.001091693,-1.80E-06,8,-149.0433207,327.1775505,20.74672559,3.67E-06
460,0.002992307,-0.000143096,5.24E-07,NA,3.01E-07,NA,NA,-5.77E-05,-0.001015175,-1.77E-06,8,-149.0491558,327.1892207,20.75839582,3.65E-06
400,0.002915008,-0.000138382,6.72E-07,2.53E-06,4.29E-07,NA,NA,NA,-0.000999129,-1.85E-06,8,-149.0600154,327.2109398,20.78011495,3.61E-06
462,0.003087435,-0.000156669,NA,2.24E-06,1.65E-07,NA,NA,-9.70E-05,-0.001076473,-1.62E-06,8,-149.088292,327.2674931,20.83666824,3.51E-06
463,0.003160888,NA,5.71E-07,1.60E-06,1.79E-07,NA,NA,-4.51E-05,-0.001037136,-1.42E-06,8,-149.1186376,327.3281842,20.89735933,3.41E-06
364,0.001627234,-9.17E-05,2.32E-07,NA,4.88E-07,NA,4.42E-05,2.71E-05,NA,-2.21E-06,8,-149.1488471,327.3886034,20.95777849,3.30E-06
304,0.001646296,-9.36E-05,1.81E-07,-1.44E-06,4.85E-07,NA,4.12E-05,NA,NA,-2.14E-06,8,-149.1495959,327.3901009,20.95927604,3.30E-06
366,0.00164489,-7.78E-05,NA,-1.78E-06,5.25E-07,NA,5.11E-05,2.32E-05,NA,-2.15E-06,8,-149.1507642,327.3924374,20.96161253,3.30E-06
360,0.001687823,-8.35E-05,1.81E-07,-5.44E-07,NA,NA,5.11E-05,1.39E-05,NA,-2.27E-06,8,-149.1628759,327.416661,20.98583608,3.26E-06
367,0.001710748,NA,1.07E-07,-2.17E-06,5.23E-07,NA,5.42E-05,4.24E-05,NA,-2.01E-06,8,-149.1701129,327.4311348,21.00030994,3.23E-06
120,0.001261794,0.000226985,-5.46E-07,-4.40E-06,NA,2.90E-05,-6.01E-05,-0.000301985,NA,NA,8,-149.2191628,327.5292347,21.09840977,3.08E-06
336,0.001567868,-0.000141259,5.63E-07,-2.36E-07,8.11E-07,NA,NA,-3.02E-05,NA,-1.98E-06,8,-149.2245541,327.5400174,21.10919248,3.06E-06
244,0.000808203,0.000197048,-5.70E-07,NA,NA,3.10E-05,-7.44E-05,-0.000312721,0.000258269,NA,8,-149.2260079,327.5429249,21.11210006,3.06E-06
246,0.000789177,0.000239288,NA,-4.91E-06,NA,3.15E-05,-8.07E-05,-0.000295313,0.00029183,NA,8,-149.2448351,327.5805793,21.14975442,3.00E-06
126,0.001259987,0.00023946,NA,-4.09E-06,-4.05E-09,2.87E-05,-7.35E-05,-0.000281808,NA,NA,8,-149.2603488,327.6116068,21.18078188,2.96E-06
250,0.000879928,0.000210669,NA,NA,1.59E-08,3.02E-05,-8.66E-05,-0.000287817,0.00021381,NA,8,-149.2696869,327.6302828,21.19945795,2.93E-06
216,0.001297543,0.000339994,-1.09E-06,-8.87E-06,NA,2.76E-05,NA,-0.000260308,8.94E-05,NA,8,-149.3925222,327.8759535,21.44512862,2.59E-06
