"","year","commGIS","ForPix","khum_name","area","diffPix"
"280",2007,80504,0,"Peam Reang",51560023.49,0
"281",2007,210703,0,"Cheung Kuon",21264088.09,0
"282",2007,70404,291,"Srae Chaeng",177465079,0
"283",2007,140904,0,"Chey Kampok",33739279.51,0
"284",2007,210603,0,"Champa",15540308.24,0
"285",2007,210708,0,"Samraong",17817171.01,0
"286",2007,200708,32,"Romeang Thkaol",40272518.82,0
"287",2007,200710,0,"Sangkhoar",29870306.39,0
"288",2007,210606,0,"Kampong Reab",19381386.41,0
"289",2007,80411,0,"Preaek Thmei",31291461.16,0
"290",2007,50106,0,"Phong",23275732.04,0
"291",2007,140909,0,"Reathor",32105654.34,0
"292",2007,210610,0,"Prey Lvea",20852065.44,0
"293",2007,200512,0,"Pouthi Reach",22298971.02,0
"294",2007,70309,4005,"Trapeang Plang",591803739,-29
"295",2007,210611,0,"Prey Phdau",21100391.83,0
"296",2007,200709,97,"Sambuor",43857850.92,0
"297",2007,90607,50,NA,56399356.03,0
"298",2007,210608,0,"Pou Rumchak",26427213.48,0
"299",2007,210605,0,"Kampeaeng",26321622.12,0
"300",2007,200506,0,"Chek",30258756.29,0
"301",2007,200507,0,"Chheu Teal",37227889.46,0
"302",2007,210906,0,"Ou Saray",107568910,0
"303",2007,200505,0,"Ta Suos",40181496.55,0
"304",2007,140310,0,"Pratheat",28209194.19,0
"305",2007,90601,250,"Boeng Preav",99730323.59,0
"306",2007,140301,0,"Ansaong",28705783.21,0
"307",2007,70302,1566,"Ta Kaen",376407175.5,0
"308",2007,210602,0,"Ban Kam",18362794.3,0
"309",2007,50107,0,"Pou Angkrang",33133319.53,0
"310",2007,200514,0,"Svay Chrum",13267109.64,0
"311",2007,210701,0,"Boeng Tranh Khang Cheung",19447395.31,0
"312",2007,200602,0,"Prey Chhlak",4665876.25,0
"313",2007,140903,0,"Boeng Daol",51414789.31,0
"314",2007,210609,0,"Prey Kabbas",22160820.21,0
"315",2007,80410,0,"Preaek Sdei",52928015.86,0
"316",2007,140911,0,"Seena Reach Otdam",49219843.53,0
